contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Burger Belangen Brunssum Lijst Palmen,VVD,PAK (Progressief Akkoord),Partij van de Arbeid (P.v.d.A.),BCD,Lijst Borger,CDA,Lijst Huisman-Peeters,Democraten 66 (D66),SP (Socialistische Partij),1Parkstad.nl
,Brunssum,GR2014_Brunssum,Gemeenteraad Brunssum 2014,0899,Brunssum,2014-03-19,Stembureau D'r Brikkeoave,0899::SB1,6444 AT,1566,1225,3,2,0,0,0,1073,157,0,0,0,0,0,0,1230,246,214,128,117,78,95,165,45,21,88,28
,Brunssum,GR2014_Brunssum,Gemeenteraad Brunssum 2014,0899,Brunssum,2014-03-19,Stembureau Parochiezaal Gregoriuskerk,0899::SB2,6441 BD,1390,892,5,0,0,0,0,767,130,0,0,0,0,0,0,897,236,115,115,74,58,66,112,27,25,55,9
,Brunssum,GR2014_Brunssum,Gemeenteraad Brunssum 2014,0899,Brunssum,2014-03-19,Stembureau Zaal café de Kroeg,0899::SB3,6441 TE,968,526,3,0,0,0,0,468,61,0,0,0,0,0,0,529,124,51,68,119,24,44,23,26,4,34,9
,Brunssum,GR2014_Brunssum,Gemeenteraad Brunssum 2014,0899,Brunssum,2014-03-19,Stembureau Verpleeghuis Schuttershof,0899::SB4,6442 BE,1183,652,4,2,0,0,0,622,36,0,0,0,0,0,0,658,111,85,113,88,15,76,64,32,16,40,12
,Brunssum,GR2014_Brunssum,Gemeenteraad Brunssum 2014,0899,Brunssum,2014-03-19,Stembureau Basisschool Meander,0899::SB5,6442 EJ,1790,677,4,1,0,0,0,584,98,0,0,0,0,0,0,682,208,33,88,141,38,42,20,26,8,62,11
,Brunssum,GR2014_Brunssum,Gemeenteraad Brunssum 2014,0899,Brunssum,2014-03-19,Stembureau Zorgcentrum Huize Louise,0899::SB6,6443 BA,1533,849,7,7,0,0,0,756,107,0,0,0,0,0,0,863,189,76,117,114,45,70,85,34,22,83,14
,Brunssum,GR2014_Brunssum,Gemeenteraad Brunssum 2014,0899,Brunssum,2014-03-19,Stembureau Speeltuingebouw Buschkesberg,0899::SB7,6443 CW,1197,601,3,1,0,0,0,525,80,0,0,0,0,0,0,605,91,89,65,108,39,35,80,13,19,52,10
,Brunssum,GR2014_Brunssum,Gemeenteraad Brunssum 2014,0899,Brunssum,2014-03-19,Stembureau Brede School Langeberg,0899::SB8,6445 EM,1179,657,2,0,0,0,0,586,73,0,0,0,0,0,0,659,128,100,66,83,53,45,85,10,14,67,6
,Brunssum,GR2014_Brunssum,Gemeenteraad Brunssum 2014,0899,Brunssum,2014-03-19,Stembureau Verenigingsgebouw De Burcht,0899::SB9,6445 CE,1263,658,0,2,0,0,0,560,100,0,0,0,0,0,0,660,106,81,100,98,33,83,58,17,20,52,10
,Brunssum,GR2014_Brunssum,Gemeenteraad Brunssum 2014,0899,Brunssum,2014-03-19,Stembureau Parochiezaal Barbarakerk,0899::SB10,6444 XM,1184,808,2,3,0,0,0,718,95,0,0,0,0,0,0,813,105,78,117,64,165,47,88,45,14,74,11
,Brunssum,GR2014_Brunssum,Gemeenteraad Brunssum 2014,0899,Brunssum,2014-03-19,Stembureau Casino Treebeek,0899::SB11,6446 VK,872,611,4,0,0,0,0,524,91,0,0,0,0,0,0,615,82,62,95,47,97,22,56,33,17,94,6
,Brunssum,GR2014_Brunssum,Gemeenteraad Brunssum 2014,0899,Brunssum,2014-03-19,Stembureau Casino Treebeek ( vh Franciscus),0899::SB12,6446 VK,1551,619,3,2,0,0,0,521,103,0,0,0,0,0,0,624,88,34,98,69,99,27,59,34,22,76,13
,Brunssum,GR2014_Brunssum,Gemeenteraad Brunssum 2014,0899,Brunssum,2014-03-19,Stembureau Zorgcentrum Emmastaete,0899::SB13,6446 XC,2038,904,4,5,0,0,0,857,56,0,0,0,0,0,0,913,135,125,113,112,89,35,130,30,30,78,27
,Brunssum,GR2014_Brunssum,Gemeenteraad Brunssum 2014,0899,Brunssum,2014-03-19,Stembureau Basisschool Fatima,0899::SB14,6444 CL,2107,1105,7,1,0,0,0,973,140,0,0,0,0,0,0,1113,186,166,127,165,102,86,121,33,32,76,11
,Brunssum,GR2014_Brunssum,Gemeenteraad Brunssum 2014,0899,Brunssum,2014-03-19,Stembureau Microhal,0899::SB15,6441 HV,1651,481,3,1,0,0,0,431,54,0,0,0,0,0,0,485,127,41,79,61,18,27,38,9,12,64,5
,Brunssum,GR2014_Brunssum,Gemeenteraad Brunssum 2014,0899,Brunssum,2014-03-19,Stembureau Microhal,0899::SB16,6441 HV,1369,761,5,0,0,0,0,684,82,0,0,0,0,0,0,766,217,70,91,96,40,38,52,35,15,103,4
,Brunssum,GR2014_Brunssum,Gemeenteraad Brunssum 2014,0899,Brunssum,2014-03-19,Stembureau Basisschool Titus Brandsma,0899::SB17,6441 JJ,1010,694,3,2,0,0,0,605,94,0,0,0,0,0,0,699,111,73,172,110,30,35,97,7,11,41,7
