contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Lokaal Belang (GVS),CDA,Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),VVD,SP (Socialistische Partij)
,Oude IJsselstreek,GR2014_OudeIJsselstreek,Gemeenteraad Oude IJsselstreek 2014,1509,Oude IJsselstreek,2014-03-19,"Stembureau Zorgcentrum MMP, Kerkplein 3, Gendringen",1509::SB1,7081 BZ,1853,1087,4,2,0,0,0,990,103,0,0,0,0,0,0,1093,217,287,133,132,108,210
,Oude IJsselstreek,GR2014_OudeIJsselstreek,Gemeenteraad Oude IJsselstreek 2014,1509,Oude IJsselstreek,2014-03-19,"Stembureau Sportzaal Prinsenhof, Prinsenhof 2A, Gendringen",1509::SB2,7081 DG,1786,1140,3,1,0,0,0,1018,126,0,0,0,0,0,0,1144,288,327,138,123,89,175
,Oude IJsselstreek,GR2014_OudeIJsselstreek,Gemeenteraad Oude IJsselstreek 2014,1509,Oude IJsselstreek,2014-03-19,"Stembureau DRU Cultuurfabriek, Hutteweg 24, Ulft",1509::SB3,7071 BV,1725,1108,3,4,0,0,0,1016,99,0,0,0,0,0,0,1115,245,214,260,125,54,210
,Oude IJsselstreek,GR2014_OudeIJsselstreek,Gemeenteraad Oude IJsselstreek 2014,1509,Oude IJsselstreek,2014-03-19,"Stembureau RK Basisschool Mariaschool, Neptunus 8, Ulft",1509::SB4,7071 VG,1643,1032,1,0,0,0,0,943,90,0,0,0,0,0,0,1033,261,166,166,152,97,190
,Oude IJsselstreek,GR2014_OudeIJsselstreek,Gemeenteraad Oude IJsselstreek 2014,1509,Oude IJsselstreek,2014-03-19,"Stembureau Clubgebouw De Eendracht, Dr. Ariënsstraat 5A, Ulft",1509::SB5,7071 AH,1727,895,1,1,0,0,0,797,100,0,0,0,0,0,0,897,220,179,183,84,66,163
,Oude IJsselstreek,GR2014_OudeIJsselstreek,Gemeenteraad Oude IJsselstreek 2014,1509,Oude IJsselstreek,2014-03-19,"Stembureau RK Basisschool de Dobbelsteen, Hofstraat 23, Ulft",1509::SB6,7071 KA,1703,1011,3,2,0,0,0,910,106,0,0,0,0,0,0,1016,272,190,198,110,72,169
,Oude IJsselstreek,GR2014_OudeIJsselstreek,Gemeenteraad Oude IJsselstreek 2014,1509,Oude IJsselstreek,2014-03-19,"Stembureau Gildegebouw, Woldenburgseweg 1, Netterden",1509::SB7,7077 AG,375,254,4,3,0,0,0,234,27,0,0,0,0,0,0,261,47,75,9,62,22,39
,Oude IJsselstreek,GR2014_OudeIJsselstreek,Gemeenteraad Oude IJsselstreek 2014,1509,Oude IJsselstreek,2014-03-19,"Stembureau De Glazeren Kast, Oudekerkstraat 2, Etten",1509::SB8,7075 AB,1496,922,1,3,0,0,0,856,70,0,0,0,0,0,0,926,234,409,54,85,56,84
,Oude IJsselstreek,GR2014_OudeIJsselstreek,Gemeenteraad Oude IJsselstreek 2014,1509,Oude IJsselstreek,2014-03-19,"Stembureau Gemeenschapshuis 't Dorpshuus, Hoofdstraat 29A, Varsselder",1509::SB9,7076 AG,607,394,1,0,0,0,0,373,22,0,0,0,0,0,0,395,80,128,30,103,24,29
,Oude IJsselstreek,GR2014_OudeIJsselstreek,Gemeenteraad Oude IJsselstreek 2014,1509,Oude IJsselstreek,2014-03-19,"Stembureau Café-Restaurant Koenders, Terborgseweg 61, Breedenbroek",1509::SB10,7084 AB,803,517,3,1,0,0,0,479,42,0,0,0,0,0,0,521,160,235,12,37,39,34
,Oude IJsselstreek,GR2014_OudeIJsselstreek,Gemeenteraad Oude IJsselstreek 2014,1509,Oude IJsselstreek,2014-03-19,"Stembureau Serre/café Ter Voert, Oranjeplein 1, Megchelen",1509::SB11,7078 BC,837,521,4,1,0,0,0,471,55,0,0,0,0,0,0,526,67,321,20,42,22,49
,Oude IJsselstreek,GR2014_OudeIJsselstreek,Gemeenteraad Oude IJsselstreek 2014,1509,Oude IJsselstreek,2014-03-19,"Stembureau Sporthal Van Pallandt -vergaderruimte-, van Pallandtstraat 8, Varsseveld",1509::SB12,7051 DE,1604,1026,3,2,0,0,0,938,93,0,0,0,0,0,0,1031,492,190,48,74,120,102
,Oude IJsselstreek,GR2014_OudeIJsselstreek,Gemeenteraad Oude IJsselstreek 2014,1509,Oude IJsselstreek,2014-03-19,"Stembureau Basisschool Op Koers, Oranjestraat 72-74, Varsseveld",1509::SB13,7051 AK,1578,943,2,6,0,0,0,855,96,0,0,0,0,0,0,951,457,151,54,61,112,108
,Oude IJsselstreek,GR2014_OudeIJsselstreek,Gemeenteraad Oude IJsselstreek 2014,1509,Oude IJsselstreek,2014-03-19,"Stembureau Zorgcentrum De Bettekamp, de Egge 63, Varsseveld",1509::SB14,7051 AK,1619,1026,6,2,0,1,0,954,81,0,0,0,1,0,0,1035,464,179,79,75,88,141
,Oude IJsselstreek,GR2014_OudeIJsselstreek,Gemeenteraad Oude IJsselstreek 2014,1509,Oude IJsselstreek,2014-03-19,"Stembureau Kulturhus De Rietborgh, Borgsche Rieten 15, Terborg",1509::SB15,7061 ZM,1615,956,4,6,0,1,0,875,92,0,0,0,1,0,0,967,362,152,110,76,67,189
,Oude IJsselstreek,GR2014_OudeIJsselstreek,Gemeenteraad Oude IJsselstreek 2014,1509,Oude IJsselstreek,2014-03-19,"Stembureau Antonia Verpleeghuis, Industrieweg 115, Terborg",1509::SB16,7061 AP,1609,906,5,5,0,0,0,829,87,0,0,0,0,0,0,916,261,195,113,94,73,170
,Oude IJsselstreek,GR2014_OudeIJsselstreek,Gemeenteraad Oude IJsselstreek 2014,1509,Oude IJsselstreek,2014-03-19,"Stembureau Zorgcentrum De Schuylenburgh, Laan van Schuylenburch 10, Silvolde",1509::SB17,7064 AL,1584,845,0,0,0,0,0,763,82,0,0,0,0,0,0,845,293,189,90,73,85,115
,Oude IJsselstreek,GR2014_OudeIJsselstreek,Gemeenteraad Oude IJsselstreek 2014,1509,Oude IJsselstreek,2014-03-19,"Stembureau Ons Pakhuus, Molenberg 2, Silvolde",1509::SB18,7064 GK,1622,1004,3,4,0,0,0,921,90,0,0,0,0,0,0,1011,428,195,109,84,38,150
,Oude IJsselstreek,GR2014_OudeIJsselstreek,Gemeenteraad Oude IJsselstreek 2014,1509,Oude IJsselstreek,2014-03-19,"Stembureau Basisschool De Drie Linden, Schoolstraat 2A, Silvolde",1509::SB19,7064 GP,1624,940,11,2,0,0,0,877,76,0,0,0,0,0,0,953,370,211,93,96,43,127
,Oude IJsselstreek,GR2014_OudeIJsselstreek,Gemeenteraad Oude IJsselstreek 2014,1509,Oude IJsselstreek,2014-03-19,"Stembureau Buurtschapshuis, Sinderenseweg 112, Sinderen",1509::SB20,7065 BM,764,461,4,0,0,0,0,413,52,0,0,0,0,0,0,465,218,121,31,36,26,29
,Oude IJsselstreek,GR2014_OudeIJsselstreek,Gemeenteraad Oude IJsselstreek 2014,1509,Oude IJsselstreek,2014-03-19,"Stembureau Prinses Julianaschool, Molenweg 39, Heelweg",1509::SB21,7055 AH,808,450,2,0,0,0,0,401,51,0,0,0,0,0,0,452,234,84,19,34,35,44
,Oude IJsselstreek,GR2014_OudeIJsselstreek,Gemeenteraad Oude IJsselstreek 2014,1509,Oude IJsselstreek,2014-03-19,"Stembureau Zaal De Vos, Halseweg 2, Westendorp",1509::SB22,7054 BH,892,531,2,1,0,0,0,483,51,0,0,0,0,0,0,534,292,114,26,43,23,33
,Oude IJsselstreek,GR2014_OudeIJsselstreek,Gemeenteraad Oude IJsselstreek 2014,1509,Oude IJsselstreek,2014-03-19,"Stembureau Basisschool de Woelwaters, Middelgraaf 46, Ulft",1509::SB23,7071 WT,1681,739,5,4,0,0,0,660,88,0,0,0,0,0,0,748,200,109,147,92,49,142
