contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),GROENLINKS,Liberaal Democraten IJsselstein LDIJ,SP (Socialistische Partij),ChristenUnie
,IJsselstein,GR2014_IJsselstein,Gemeenteraad IJsselstein 2014,0353,IJsselstein,2014-03-19,"Stembureau Stadhuis, Overtoom 1",0353::SB1,3401 BK,1221,1021,2,1,0,0,0,888,136,0,0,0,0,0,0,1024,211,143,206,56,77,199,88,41
,IJsselstein,GR2014_IJsselstein,Gemeenteraad IJsselstein 2014,0353,IJsselstein,2014-03-19,"Stembureau OBS De Tandem, Planetenbaan 40",0353::SB2,3402 HP,1556,914,2,6,0,0,0,842,80,0,0,0,0,0,0,922,112,70,197,61,138,200,101,35
,IJsselstein,GR2014_IJsselstein,Gemeenteraad IJsselstein 2014,0353,IJsselstein,2014-03-19,"Stembureau Studio 10, Televisiebaan 143",0353::SB3,3402 VD,1875,691,3,1,0,0,0,622,73,0,0,0,0,0,0,695,74,49,102,105,66,129,135,31
,IJsselstein,GR2014_IJsselstein,Gemeenteraad IJsselstein 2014,0353,IJsselstein,2014-03-19,"Stembureau Ver. gebouw Kanovereniging, Zomerdijk 41",0353::SB4,3402 MJ,1455,649,2,2,0,0,0,585,68,0,0,0,0,0,0,653,119,108,105,37,70,105,68,37
,IJsselstein,GR2014_IJsselstein,Gemeenteraad IJsselstein 2014,0353,IJsselstein,2014-03-19,"Stembureau Vecht en IJssel locatie Ewoud, Jan v.d. Heydenweg 2",0353::SB5,3401 RH,1865,938,4,2,0,0,0,837,107,0,0,0,0,0,0,944,150,179,153,62,40,166,95,93
,IJsselstein,GR2014_IJsselstein,Gemeenteraad IJsselstein 2014,0353,IJsselstein,2014-03-19,"Stembureau De Ontmoetingskerk, Andorrastraat 2",0353::SB6,3402 BG,1099,710,2,4,1,0,0,664,51,0,0,1,0,0,0,715,126,126,115,46,47,120,83,47
,IJsselstein,GR2014_IJsselstein,Gemeenteraad IJsselstein 2014,0353,IJsselstein,2014-03-19,"Stembureau Gebouw 't Kruispunt, Touwlaan 36",0353::SB7,3401 CB,2002,1179,1,3,0,0,0,1071,112,0,0,0,0,0,0,1183,156,134,216,83,150,234,115,91
,IJsselstein,GR2014_IJsselstein,Gemeenteraad IJsselstein 2014,0353,IJsselstein,2014-03-19,"Stembureau Dienstencentrum de Oase, Benschopperweg 342",0353::SB8,3401 BZ,764,382,0,3,0,0,0,354,31,0,0,0,0,0,0,385,64,133,58,23,25,54,10,15
,IJsselstein,GR2014_IJsselstein,Gemeenteraad IJsselstein 2014,0353,IJsselstein,2014-03-19,"Stembureau Ver.gebouw de groene olijftak, Heemradenlaan 11",0353::SB9,3403 NK,1579,830,1,7,0,0,0,757,81,0,0,0,0,0,0,838,170,91,166,56,61,146,87,53
,IJsselstein,GR2014_IJsselstein,Gemeenteraad IJsselstein 2014,0353,IJsselstein,2014-03-19,"Stembureau WAC (wijkactiviteitengebouw Achterveld), Heemradenlaan 34 a",0353::SB10,3401 GX,1407,1031,4,2,0,0,0,923,114,0,0,0,0,0,0,1037,176,136,247,49,86,190,88,59
,IJsselstein,GR2014_IJsselstein,Gemeenteraad IJsselstein 2014,0353,IJsselstein,2014-03-19,"Stembureau RKBS De Opstap, Heemradenlaan 30-32",0353::SB11,3401 GX,1546,838,1,1,0,0,0,731,109,0,0,0,0,0,0,840,105,109,171,40,82,200,60,71
,IJsselstein,GR2014_IJsselstein,Gemeenteraad IJsselstein 2014,0353,IJsselstein,2014-03-19,"Stembureau WOC (Wijkonderwijscentrum), Merkelbachlaan 2",0353::SB12,3404 EX,1779,763,0,1,0,0,0,657,107,0,0,0,0,0,0,764,173,67,180,77,54,129,61,22
,IJsselstein,GR2014_IJsselstein,Gemeenteraad IJsselstein 2014,0353,IJsselstein,2014-03-19,"Stembureau OBS De Torenuil, Sint Petersburglaan 29",0353::SB13,3404 CJ,1723,829,3,2,0,0,0,719,115,0,0,0,0,0,0,834,176,76,189,63,37,148,112,28
,IJsselstein,GR2014_IJsselstein,Gemeenteraad IJsselstein 2014,0353,IJsselstein,2014-03-19,"Stembureau Tramzicht, Praagsingel 372",0353::SB14,3404 CS,2031,1052,2,3,0,0,0,947,110,0,0,0,0,0,0,1057,228,97,218,78,54,204,129,44
,IJsselstein,GR2014_IJsselstein,Gemeenteraad IJsselstein 2014,0353,IJsselstein,2014-03-19,"Stembureau OBS De Trekvogel, Heemradenlaan 26",0353::SB15,3401 GX,1245,514,1,2,0,0,0,446,71,0,0,0,0,0,0,517,112,59,105,29,41,90,39,39
,IJsselstein,GR2014_IJsselstein,Gemeenteraad IJsselstein 2014,0353,IJsselstein,2014-03-19,"Stembureau IJVO Gebouw, Duitslandstraat 7",0353::SB16,3402 TJ,1070,449,0,0,0,0,0,414,35,0,0,0,0,0,0,449,61,71,93,25,33,69,72,25
,IJsselstein,GR2014_IJsselstein,Gemeenteraad IJsselstein 2014,0353,IJsselstein,2014-03-19,"Stembureau KBS De Ark van Noach, Aalbersestraat 2",0353::SB17,3404 JS,1809,558,3,0,0,0,0,493,68,0,0,0,0,0,0,561,145,40,133,30,23,131,34,22
