contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Samen Verder,Ronduit Open,CDA,VVD,Progressief Leudal,Partij van de Arbeid (P.v.d.A.),OPA,Democraten 66 (D66)
,Leudal,GR2014_Leudal,Gemeenteraad Leudal 2014,1640,Leudal,2014-03-19,Stembureau Kantine Voetbalver SV Heythuysen,1640::SB1,6093 GM,1731,616,5,4,0,0,0,558,67,0,0,0,0,0,0,625,97,274,99,43,14,21,11,57
,Leudal,GR2014_Leudal,Gemeenteraad Leudal 2014,1640,Leudal,2014-03-19,"Stembureau Zorgcentrum ""De Kreppel""",1640::SB2,6093 KE,1738,851,3,0,0,0,0,758,97,0,1,0,1,0,0,855,109,299,227,76,19,15,46,60
,Leudal,GR2014_Leudal,Gemeenteraad Leudal 2014,1640,Leudal,2014-03-19,Stembureau De Bombardon,1640::SB3,6093 GA,1838,1328,6,0,0,0,0,1158,176,0,0,0,0,0,0,1334,210,583,207,78,46,50,44,110
,Leudal,GR2014_Leudal,Gemeenteraad Leudal 2014,1640,Leudal,2014-03-19,Stembureau Gemeenschapshuis Baexheimerhof,1640::SB4,6095 BD,1961,1058,8,1,0,0,0,946,121,0,0,0,0,0,0,1067,329,255,279,57,24,30,27,57
,Leudal,GR2014_Leudal,Gemeenteraad Leudal 2014,1640,Leudal,2014-03-19,Stembureau Café-Zaal Geraats,1640::SB5,6096 AL,1380,783,6,0,0,0,0,716,73,0,0,0,0,0,0,789,312,190,130,46,43,15,15,32
,Leudal,GR2014_Leudal,Gemeenteraad Leudal 2014,1640,Leudal,2014-03-19,Stembureau Trefcentrum Kelpen-Oler,1640::SB6,6037 RX,947,625,3,2,0,0,0,560,70,0,0,0,0,0,0,630,41,395,114,36,5,6,9,19
,Leudal,GR2014_Leudal,Gemeenteraad Leudal 2014,1640,Leudal,2014-03-19,Stembureau Hotel - Restaurant De Beukelaer,1640::SB7,6088 EG,1678,874,2,0,0,0,0,786,90,0,0,0,0,0,0,876,228,137,168,92,32,112,15,90
,Leudal,GR2014_Leudal,Gemeenteraad Leudal 2014,1640,Leudal,2014-03-19,Stembureau Kloeästerhoaf,1640::SB8,6088 BC,1720,918,8,3,0,0,0,827,102,0,0,0,0,0,0,929,295,178,121,57,30,84,30,123
,Leudal,GR2014_Leudal,Gemeenteraad Leudal 2014,1640,Leudal,2014-03-19,Stembureau Gemeenschapshuis de Klokkestoel,1640::SB9,6089 NG,614,396,4,0,0,0,0,356,44,0,0,0,0,0,0,400,100,132,65,28,18,8,7,38
,Leudal,GR2014_Leudal,Gemeenteraad Leudal 2014,1640,Leudal,2014-03-19,Stembureau Handbooglokaal Vriendschap & Strijd,1640::SB10,6086 NR,1275,487,1,2,0,0,0,429,61,0,0,0,0,0,0,490,148,80,76,32,13,8,11,119
,Leudal,GR2014_Leudal,Gemeenteraad Leudal 2014,1640,Leudal,2014-03-19,Stembureau Gemeenschapshuis In d'n Haammaeker,1640::SB11,6086 BH,1465,884,3,8,0,0,0,797,98,0,0,0,0,0,0,895,191,149,135,48,52,20,23,266
,Leudal,GR2014_Leudal,Gemeenteraad Leudal 2014,1640,Leudal,2014-03-19,Stembureau Bibliocenter Haelen,1640::SB12,6081 AV,1813,802,1,3,0,0,0,723,84,0,0,0,1,0,0,807,307,171,129,52,23,12,40,68
,Leudal,GR2014_Leudal,Gemeenteraad Leudal 2014,1640,Leudal,2014-03-19,Stembureau Trefcentrum Aldenghoor,1640::SB13,6081 AN,1690,843,5,2,0,0,0,749,101,0,0,0,0,0,0,850,319,153,124,50,59,19,50,69
,Leudal,GR2014_Leudal,Gemeenteraad Leudal 2014,1640,Leudal,2014-03-19,Stembureau De Postkoets,1640::SB14,6085 AG,1640,1041,4,3,0,0,0,936,111,0,0,1,0,0,0,1047,628,93,69,89,31,35,21,75
,Leudal,GR2014_Leudal,Gemeenteraad Leudal 2014,1640,Leudal,2014-03-19,Stembureau Hotel-Restaurant De Abdij,1640::SB15,6085 BA,1515,799,4,4,0,0,0,699,108,0,0,0,0,0,0,807,515,68,48,47,26,20,16,59
,Leudal,GR2014_Leudal,Gemeenteraad Leudal 2014,1640,Leudal,2014-03-19,Stembureau Gemeenschapshuis De Roffert,1640::SB16,6082 AM,775,449,2,2,0,0,0,391,62,0,0,0,0,0,0,453,229,112,51,9,10,8,8,22
,Leudal,GR2014_Leudal,Gemeenteraad Leudal 2014,1640,Leudal,2014-03-19,Stembureau Gemeenschapshuis St. Servaas,1640::SB17,6083 AK,556,402,2,0,0,0,0,357,47,0,0,0,0,0,0,404,189,54,55,27,23,12,15,27
,Leudal,GR2014_Leudal,Gemeenteraad Leudal 2014,1640,Leudal,2014-03-19,Stembureau Parochiehuis Hunsel,1640::SB18,6013 RK,782,494,3,1,0,0,0,451,47,0,0,0,0,0,0,498,284,56,58,36,27,5,11,17
,Leudal,GR2014_Leudal,Gemeenteraad Leudal 2014,1640,Leudal,2014-03-19,Stembureau Gemeenschapshuis Ellenhof,1640::SB19,6011 RE,1128,698,3,1,0,0,0,634,68,0,0,0,0,0,0,702,159,266,129,26,59,11,20,28
,Leudal,GR2014_Leudal,Gemeenteraad Leudal 2014,1640,Leudal,2014-03-19,Stembureau Café De Heerlijckheid,1640::SB20,6015 AS,1054,563,7,2,0,0,0,507,65,0,0,0,0,0,0,572,84,46,155,32,204,12,5,25
,Leudal,GR2014_Leudal,Gemeenteraad Leudal 2014,1640,Leudal,2014-03-19,Stembureau Cultuur Centrum de Mortel,1640::SB21,6014 EL,1437,666,7,4,0,0,0,619,58,0,0,0,0,0,0,677,181,81,118,52,149,19,23,43
,Leudal,GR2014_Leudal,Gemeenteraad Leudal 2014,1640,Leudal,2014-03-19,"Stembureau Ons Dorpshuis, Café bie Winy",1640::SB22,6012 RJ,420,242,1,0,0,0,0,207,36,0,0,0,0,0,0,243,79,93,29,17,10,2,3,9
,Leudal,GR2014_Leudal,Gemeenteraad Leudal 2014,1640,Leudal,2014-03-19,Stembureau Mobiel Stembureau,1640::SB23,,0,130,0,0,0,0,0,112,18,0,0,0,0,0,0,130,12,18,75,3,6,3,5,8
