contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD/Volkspartij voor Vrijheid en Democratie,Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),LHN (Lijst Hilbrand Nawijn),CDA,SP (Socialistische Partij),Zó! Zoetermeer,GroenLinks,ChristenUnie/SGP,TROTS,- -,GROEP HOP,OPA Zoetermeer
,Zoetermeer,GR2014_Zoetermeer,Gemeenteraad Zoetermeer 2014,0637,Zoetermeer,2014-03-19,Stembureau Stichting Welzijn&Zorg Doven WeZoDo,0637::SB1,2712 VD,1430,519,1,1,0,0,0,462,60,0,1,0,1,0,0,522,48,25,55,103,48,70,25,23,96,5,4,4,13
,Zoetermeer,GR2014_Zoetermeer,Gemeenteraad Zoetermeer 2014,0637,Zoetermeer,2014-03-19,Stembureau Gereformeerde Kerk Vrijgemaakt,0637::SB2,2712 KC,1416,850,5,4,0,0,0,764,95,0,0,0,0,0,0,859,93,54,131,102,119,74,40,31,162,15,5,7,17
,Zoetermeer,GR2014_Zoetermeer,Gemeenteraad Zoetermeer 2014,0637,Zoetermeer,2014-03-19,Stembureau Woon- en Zorgcentrum De Morgenster,0637::SB3,2712 AT,1256,800,5,2,0,0,0,723,84,0,0,0,0,0,0,807,71,72,149,82,141,48,37,32,143,5,4,2,14
,Zoetermeer,GR2014_Zoetermeer,Gemeenteraad Zoetermeer 2014,0637,Zoetermeer,2014-03-19,Stembureau RK Basisschool De Achtsprong,0637::SB4,2722 BN,1432,352,1,3,0,1,0,320,35,0,0,1,0,0,0,355,22,44,55,45,39,63,11,20,26,2,18,1,6
,Zoetermeer,GR2014_Zoetermeer,Gemeenteraad Zoetermeer 2014,0637,Zoetermeer,2014-03-19,Stembureau OBS De Meerpaal,0637::SB5,2722 BN,1573,314,3,2,0,0,0,274,45,0,0,0,0,0,0,319,22,70,41,50,19,57,13,10,19,4,2,3,4
,Zoetermeer,GR2014_Zoetermeer,Gemeenteraad Zoetermeer 2014,0637,Zoetermeer,2014-03-19,Stembureau Castellum Palensteyn,0637::SB6,2722 BN,1604,797,1,4,0,0,0,712,93,0,0,0,0,0,0,805,63,132,121,113,67,119,35,22,58,9,34,9,15
,Zoetermeer,GR2014_Zoetermeer,Gemeenteraad Zoetermeer 2014,0637,Zoetermeer,2014-03-19,Stembureau Paulusschool,0637::SB7,2712 RN,1505,954,7,0,0,0,0,864,97,0,0,0,0,0,0,961,136,80,230,144,84,96,37,31,59,20,11,3,23
,Zoetermeer,GR2014_Zoetermeer,Gemeenteraad Zoetermeer 2014,0637,Zoetermeer,2014-03-19,Stembureau De Meervogels,0637::SB8,2712 PT,1554,241,2,1,0,0,0,215,29,0,0,0,0,0,0,244,23,25,57,46,17,16,22,8,16,6,3,1,1
,Zoetermeer,GR2014_Zoetermeer,Gemeenteraad Zoetermeer 2014,0637,Zoetermeer,2014-03-19,Stembureau Recreatieruimte Bijdorp,0637::SB9,2713 SZ,1662,1026,1,2,0,1,0,935,95,0,0,0,1,0,0,1030,145,115,193,141,134,117,44,32,63,11,9,2,20
,Zoetermeer,GR2014_Zoetermeer,Gemeenteraad Zoetermeer 2014,0637,Zoetermeer,2014-03-19,Stembureau Centrum voor Kunst en Cultuur,0637::SB10,2722 PC,1090,431,7,0,0,0,0,396,42,0,0,0,0,0,0,438,43,36,103,73,36,36,23,25,35,4,5,4,8
,Zoetermeer,GR2014_Zoetermeer,Gemeenteraad Zoetermeer 2014,0637,Zoetermeer,2014-03-19,Stembureau Gemeentehuis Driemanspolderzaal,0637::SB11,2711 CZ,1340,1355,7,2,0,1,0,1233,132,0,0,0,1,0,0,1365,203,124,226,307,144,130,75,47,29,12,16,11,31
,Zoetermeer,GR2014_Zoetermeer,Gemeenteraad Zoetermeer 2014,0637,Zoetermeer,2014-03-19,Stembureau Recreatieruimte Flat De Leliënborgh,0637::SB12,2711 BG,1149,633,0,5,2,0,0,599,41,0,0,0,2,0,0,640,78,61,95,105,75,95,42,12,14,16,11,0,29
,Zoetermeer,GR2014_Zoetermeer,Gemeenteraad Zoetermeer 2014,0637,Zoetermeer,2014-03-19,Stembureau Prinses Amaliaschool,0637::SB13,2715 BT,1561,879,6,8,0,0,0,809,84,0,0,0,0,0,0,893,77,101,184,127,88,110,58,32,49,20,7,6,20
,Zoetermeer,GR2014_Zoetermeer,Gemeenteraad Zoetermeer 2014,0637,Zoetermeer,2014-03-19,Stembureau Middin Haagsebos,0637::SB14,2715 XW,1375,403,0,4,0,0,0,373,34,0,0,0,0,0,0,407,32,58,59,76,27,59,31,17,18,7,3,5,11
,Zoetermeer,GR2014_Zoetermeer,Gemeenteraad Zoetermeer 2014,0637,Zoetermeer,2014-03-19,Stembureau Dienstencentrum Albrandswaard,0637::SB15,2716 DA,1217,582,2,2,0,0,0,535,51,0,0,0,0,0,0,586,54,74,93,76,79,89,27,15,30,6,6,6,27
,Zoetermeer,GR2014_Zoetermeer,Gemeenteraad Zoetermeer 2014,0637,Zoetermeer,2014-03-19,Stembureau VrijeTijdsCentrum Voorweg,0637::SB16,2715 NG,1646,489,5,3,0,0,0,430,67,0,0,0,0,0,0,497,70,49,78,67,32,88,22,27,35,8,4,1,8
,Zoetermeer,GR2014_Zoetermeer,Gemeenteraad Zoetermeer 2014,0637,Zoetermeer,2014-03-19,Stembureau Uiterwaard zaal 121,0637::SB17,2716 VB,1218,678,1,8,0,2,0,641,48,0,0,0,2,0,0,689,46,102,132,104,56,90,42,22,31,9,18,4,22
,Zoetermeer,GR2014_Zoetermeer,Gemeenteraad Zoetermeer 2014,0637,Zoetermeer,2014-03-19,Stembureau Uiterwaard zaal 122,0637::SB18,2716 VB,923,471,3,2,0,0,0,429,47,0,0,0,0,0,0,476,49,72,67,57,39,76,24,20,31,9,9,3,15
,Zoetermeer,GR2014_Zoetermeer,Gemeenteraad Zoetermeer 2014,0637,Zoetermeer,2014-03-19,Stembureau Informatiecentrum Onderwijs (ICOZ),0637::SB19,2716 AP,1319,891,2,4,0,0,0,816,81,0,0,0,0,0,0,897,113,85,221,128,90,111,39,33,32,13,7,8,11
,Zoetermeer,GR2014_Zoetermeer,Gemeenteraad Zoetermeer 2014,0637,Zoetermeer,2014-03-19,Stembureau GBS De Schanskorf,0637::SB20,2715 BT,1202,200,0,0,0,0,0,176,24,0,0,0,0,0,0,200,29,20,32,26,16,18,3,7,40,4,1,1,3
,Zoetermeer,GR2014_Zoetermeer,Gemeenteraad Zoetermeer 2014,0637,Zoetermeer,2014-03-19,Stembureau RK Basisschool 't Schrijverke,0637::SB21,2716 LW,1519,980,8,3,0,0,0,881,110,0,0,0,0,0,0,991,100,109,221,138,121,107,38,51,48,14,7,9,17
,Zoetermeer,GR2014_Zoetermeer,Gemeenteraad Zoetermeer 2014,0637,Zoetermeer,2014-03-19,Stembureau RK Basisschool De Horizon,0637::SB22,2717 CR,1719,466,0,3,0,0,0,429,39,0,0,1,0,1,0,468,67,40,70,83,48,69,27,18,14,7,6,5,12
,Zoetermeer,GR2014_Zoetermeer,Gemeenteraad Zoetermeer 2014,0637,Zoetermeer,2014-03-19,Stembureau OBS De Watersnip,0637::SB23,2717 BG,1600,925,5,5,0,1,0,837,99,0,0,0,1,0,0,936,95,102,157,145,62,141,66,47,64,14,5,4,23
,Zoetermeer,GR2014_Zoetermeer,Gemeenteraad Zoetermeer 2014,0637,Zoetermeer,2014-03-19,Stembureau REAKT,0637::SB25,2717 HR,1495,889,4,2,0,0,0,818,77,0,0,0,0,0,0,895,85,88,170,150,53,141,72,42,30,14,10,8,26
,Zoetermeer,GR2014_Zoetermeer,Gemeenteraad Zoetermeer 2014,0637,Zoetermeer,2014-03-19,Stembureau OBS Annie M.G. Schmidt,0637::SB26,2726 BL,1594,743,3,2,0,0,0,694,54,0,0,0,0,0,0,748,96,91,160,89,48,100,51,37,27,9,9,14,12
,Zoetermeer,GR2014_Zoetermeer,Gemeenteraad Zoetermeer 2014,0637,Zoetermeer,2014-03-19,Stembureau RK Basisschool 't Schrijverke,0637::SB27,2717 XK,1588,548,6,3,0,0,0,512,45,0,0,0,0,0,0,557,47,76,71,103,27,91,44,22,33,11,5,4,14
,Zoetermeer,GR2014_Zoetermeer,Gemeenteraad Zoetermeer 2014,0637,Zoetermeer,2014-03-19,Stembureau Woon- en Zorgcentrum Buytenhage,0637::SB28,2726 RR,1457,820,2,7,0,1,0,756,74,0,0,0,1,0,0,830,97,86,162,134,73,90,50,41,24,9,17,11,26
,Zoetermeer,GR2014_Zoetermeer,Gemeenteraad Zoetermeer 2014,0637,Zoetermeer,2014-03-19,Stembureau Vierstroom Locatie Vivaldi,0637::SB29,2725 NR,1439,780,0,1,0,2,0,697,82,0,0,2,0,0,0,779,115,63,155,104,80,69,48,34,46,15,23,5,23
,Zoetermeer,GR2014_Zoetermeer,Gemeenteraad Zoetermeer 2014,0637,Zoetermeer,2014-03-19,Stembureau OBS 't Plankier,0637::SB30,2725 PG,1179,675,5,1,0,0,0,609,70,0,0,2,0,2,0,679,87,68,159,88,67,59,38,29,17,22,22,9,10
,Zoetermeer,GR2014_Zoetermeer,Gemeenteraad Zoetermeer 2014,0637,Zoetermeer,2014-03-19,Stembureau App. Het Fregat,0637::SB31,2725 CS,1455,940,2,2,0,1,0,859,86,0,0,0,1,0,0,945,172,100,197,133,90,68,54,41,37,12,7,7,22
,Zoetermeer,GR2014_Zoetermeer,Gemeenteraad Zoetermeer 2014,0637,Zoetermeer,2014-03-19,Stembureau OBS De Tjalk,0637::SB32,2725 BV,1353,898,3,0,0,1,0,810,92,0,0,0,1,0,0,902,184,73,281,95,71,46,37,47,24,8,15,3,14
,Zoetermeer,GR2014_Zoetermeer,Gemeenteraad Zoetermeer 2014,0637,Zoetermeer,2014-03-19,Stembureau RK De Doortocht,0637::SB33,2725 AR,950,690,0,2,0,0,0,630,62,0,0,0,0,0,0,692,85,74,135,106,82,58,45,33,33,13,15,4,7
,Zoetermeer,GR2014_Zoetermeer,Gemeenteraad Zoetermeer 2014,0637,Zoetermeer,2014-03-19,Stembureau Chr. Basisschool De Hofvijver,0637::SB34,2727 CV,1337,704,9,2,0,0,0,629,86,0,0,0,0,0,0,715,63,72,142,101,35,100,55,36,63,9,8,8,12
,Zoetermeer,GR2014_Zoetermeer,Gemeenteraad Zoetermeer 2014,0637,Zoetermeer,2014-03-19,Stembureau Nevenvestiging De Voorde,0637::SB35,2727 GN,1397,534,5,3,0,0,0,479,63,0,0,0,0,0,0,542,48,60,116,83,33,68,48,17,28,9,4,9,11
,Zoetermeer,GR2014_Zoetermeer,Gemeenteraad Zoetermeer 2014,0637,Zoetermeer,2014-03-19,Stembureau RK Basisschool De Touwladder,0637::SB36,2727 CV,1382,544,2,2,0,0,0,497,51,0,0,0,0,0,0,548,54,68,103,89,37,70,36,20,26,18,6,7,10
,Zoetermeer,GR2014_Zoetermeer,Gemeenteraad Zoetermeer 2014,0637,Zoetermeer,2014-03-19,Stembureau Basisschool De Spelevaert,0637::SB37,2724 TT,1386,645,3,1,0,0,0,573,76,0,0,0,0,0,0,649,75,59,144,119,57,74,33,32,20,10,8,1,13
,Zoetermeer,GR2014_Zoetermeer,Gemeenteraad Zoetermeer 2014,0637,Zoetermeer,2014-03-19,Stembureau Dienstencentrum Seghwaert,0637::SB38,2724 NA,1378,1169,6,10,0,0,0,1085,104,0,4,0,4,0,0,1189,137,139,225,141,107,133,84,66,47,11,25,9,45
,Zoetermeer,GR2014_Zoetermeer,Gemeenteraad Zoetermeer 2014,0637,Zoetermeer,2014-03-19,Stembureau Woon- en Zorgcentrum 't Seghe Waert,0637::SB39,2724 GE,1438,773,7,1,0,0,0,709,72,0,0,0,0,0,0,781,109,61,166,106,74,74,36,46,50,8,4,6,33
,Zoetermeer,GR2014_Zoetermeer,Gemeenteraad Zoetermeer 2014,0637,Zoetermeer,2014-03-19,Stembureau Daltonbasisschool De Springplank,0637::SB40,2724 TT,1373,321,2,0,0,0,0,290,33,0,0,0,0,0,0,323,46,30,82,25,18,48,34,13,16,2,1,3,3
,Zoetermeer,GR2014_Zoetermeer,Gemeenteraad Zoetermeer 2014,0637,Zoetermeer,2014-03-19,Stembureau OBS De Triangel,0637::SB41,2723 TP,1494,709,2,3,0,0,0,650,64,0,0,0,0,0,0,714,85,66,181,103,49,64,55,29,41,17,3,5,11
,Zoetermeer,GR2014_Zoetermeer,Gemeenteraad Zoetermeer 2014,0637,Zoetermeer,2014-03-19,Stembureau Ontmoetingsruimte Doing,0637::SB42,2724 CA,1233,591,4,1,0,0,0,545,51,0,0,0,0,0,0,596,77,67,121,95,44,53,42,18,25,9,16,10,14
,Zoetermeer,GR2014_Zoetermeer,Gemeenteraad Zoetermeer 2014,0637,Zoetermeer,2014-03-19,Stembureau Schoolgebouw Moerbeigaarde 58,0637::SB43,2723 AG,728,338,0,0,0,0,0,317,21,0,0,0,6,0,0,338,42,29,91,38,29,42,23,5,20,3,8,2,6
