contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),CDA,VVD,Gemeentebelangen Olst-Wijhe,Democraten 66 (D66)
,Olst-Wijhe,GR2014_OlstWijhe,Gemeenteraad Olst-Wijhe 2014,1773,Olst-Wijhe,2014-03-19,"Stembureau Huize ""Westervoorde""",1773::SB1,8121 AW,1777,868,7,11,0,0,0,823,63,0,0,0,0,0,0,886,241,141,104,239,143
,Olst-Wijhe,GR2014_OlstWijhe,Gemeenteraad Olst-Wijhe 2014,1773,Olst-Wijhe,2014-03-19,"Stembureau ""Het Averbergen""",1773::SB2,8121 CA,1102,422,2,1,0,0,0,382,43,0,0,0,0,0,0,425,86,94,58,108,76
,Olst-Wijhe,GR2014_OlstWijhe,Gemeenteraad Olst-Wijhe 2014,1773,Olst-Wijhe,2014-03-19,"Stembureau ""Sint Willibrord""",1773::SB3,8121 CW,1487,836,1,4,0,0,0,763,78,0,0,0,0,0,0,841,114,295,117,189,121
,Olst-Wijhe,GR2014_OlstWijhe,Gemeenteraad Olst-Wijhe 2014,1773,Olst-Wijhe,2014-03-19,Stembureau Buurthuis Den Nul,1773::SB4,8121 ET,773,397,4,0,0,0,0,364,37,0,0,0,0,0,0,401,73,89,93,85,57
,Olst-Wijhe,GR2014_OlstWijhe,Gemeenteraad Olst-Wijhe 2014,1773,Olst-Wijhe,2014-03-19,"Stembureau Dorpshuis ""De Bongerd""",1773::SB5,8196 KW,458,292,1,3,0,0,0,271,25,0,0,0,0,0,0,296,42,82,69,35,64
,Olst-Wijhe,GR2014_OlstWijhe,Gemeenteraad Olst-Wijhe 2014,1773,Olst-Wijhe,2014-03-19,Stembureau Het Wapen van Wesepe,1773::SB6,8124 AP,915,565,1,0,0,0,0,523,43,0,0,0,0,0,0,566,54,82,162,205,62
,Olst-Wijhe,GR2014_OlstWijhe,Gemeenteraad Olst-Wijhe 2014,1773,Olst-Wijhe,2014-03-19,Stembureau Het Holstohus,1773::SB7,8121 CM,1211,1069,13,7,0,0,0,1004,85,0,0,0,0,0,0,1089,261,169,168,261,210
,Olst-Wijhe,GR2014_OlstWijhe,Gemeenteraad Olst-Wijhe 2014,1773,Olst-Wijhe,2014-03-19,Stembureau Gemeentehuis Wijhe,1773::SB8,8131BN,1221,757,7,3,0,0,0,717,50,0,0,0,0,0,0,767,192,198,78,175,114
,Olst-Wijhe,GR2014_OlstWijhe,Gemeenteraad Olst-Wijhe 2014,1773,Olst-Wijhe,2014-03-19,"Stembureau ""Het Weijtendaal""",1773::SB9,8131 DW,961,638,4,3,0,0,0,595,50,0,0,0,0,0,0,645,143,230,79,95,91
,Olst-Wijhe,GR2014_OlstWijhe,Gemeenteraad Olst-Wijhe 2014,1773,Olst-Wijhe,2014-03-19,"Stembureau OBS ""de Peperhof""",1773::SB10,8131 WE,1543,873,10,0,0,0,0,805,78,0,0,0,0,0,0,883,263,187,95,199,129
,Olst-Wijhe,GR2014_OlstWijhe,Gemeenteraad Olst-Wijhe 2014,1773,Olst-Wijhe,2014-03-19,"Stembureau Gemeenschapshuis ""Pinokkio""",1773::SB11,8131 SW,1406,666,10,0,0,0,0,593,83,0,0,0,0,0,0,676,103,221,106,146,90
,Olst-Wijhe,GR2014_OlstWijhe,Gemeenteraad Olst-Wijhe 2014,1773,Olst-Wijhe,2014-03-19,Stembureau Buurthuis Elshof,1773::SB12,8131 RJ,642,374,1,0,0,0,0,327,48,0,0,0,0,0,0,375,44,145,64,80,41
,Olst-Wijhe,GR2014_OlstWijhe,Gemeenteraad Olst-Wijhe 2014,1773,Olst-Wijhe,2014-03-19,Stembureau Dorpshuis Herxen,1773::SB13,8131 PC,380,214,1,4,0,0,0,201,18,0,0,0,0,0,0,219,13,78,41,40,42
,Olst-Wijhe,GR2014_OlstWijhe,Gemeenteraad Olst-Wijhe 2014,1773,Olst-Wijhe,2014-03-19,"Stembureau ""Westhoff""",1773::SB14,8198 KP,47,64,0,1,0,0,0,55,10,0,0,0,0,0,0,65,11,31,6,6,10
