contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Lokaalbelang,Staatkundig Gereformeerde Partij (SGP),ChristenUnie,JEZUS LEEFT,Progressief Altena (P.v.d.A.-D66-GROENLINKS)
,Werkendam,GR2014_Werkendam,Gemeenteraad Werkendam 2014,0870,Werkendam,2014-03-19,Stembureau Gemeentehuis Werkendam,0870::SB1,4251 VZ,1782,1193,1,5,0,0,0,990,209,0,0,0,0,0,0,1199,207,270,339,236,17,124
,Werkendam,GR2014_Werkendam,Gemeenteraad Werkendam 2014,0870,Werkendam,2014-03-19,Stembureau Zorgcentrum Goezate,0870::SB2,4251 VS,1870,1054,2,6,0,0,0,879,183,0,0,0,0,0,0,1062,238,214,298,177,9,118
,Werkendam,GR2014_Werkendam,Gemeenteraad Werkendam 2014,0870,Werkendam,2014-03-19,Stembureau Partycentrum De Kwinter,0870::SB3,4251 HE,1695,984,2,9,0,0,0,798,197,0,0,0,0,0,0,995,166,157,401,150,15,95
,Werkendam,GR2014_Werkendam,Gemeenteraad Werkendam 2014,0870,Werkendam,2014-03-19,Stembureau Grote zaal Chr. Ger. kerk,0870::SB4,4251 DG,1440,874,1,3,0,0,0,714,164,0,0,0,0,0,0,878,168,182,232,202,2,88
,Werkendam,GR2014_Werkendam,Gemeenteraad Werkendam 2014,0870,Werkendam,2014-03-19,Stembureau Wooncomplex d'Altenaer,0870::SB5,4251 TW,1658,910,4,2,0,0,0,762,154,0,0,0,0,0,0,916,153,184,349,138,9,77
,Werkendam,GR2014_Werkendam,Gemeenteraad Werkendam 2014,0870,Werkendam,2014-03-19,Stembureau Het Trefpunt ingang Ontmoetingskerk,0870::SB6,4254 CC,1252,858,0,4,0,0,0,771,91,0,0,0,0,0,0,862,194,409,10,103,8,134
,Werkendam,GR2014_Werkendam,Gemeenteraad Werkendam 2014,0870,Werkendam,2014-03-19,Stembureau De Klimroos,0870::SB7,4254 XT,1183,706,2,1,0,0,0,645,64,0,0,0,0,0,0,709,155,385,18,63,5,80
,Werkendam,GR2014_Werkendam,Gemeenteraad Werkendam 2014,0870,Werkendam,2014-03-19,Stembureau De Bolderik,0870::SB8,4254 EP,1667,1109,2,2,0,0,0,997,116,0,0,0,0,0,0,1113,250,492,19,147,1,200
,Werkendam,GR2014_Werkendam,Gemeenteraad Werkendam 2014,0870,Werkendam,2014-03-19,Stembureau Steunpunt,0870::SB9,4255 HJ,1394,649,2,0,0,0,0,589,62,0,0,0,0,0,0,651,407,55,15,68,2,102
,Werkendam,GR2014_Werkendam,Gemeenteraad Werkendam 2014,0870,Werkendam,2014-03-19,Stembureau Tavenu,0870::SB10,4255 HD,1383,933,0,4,0,0,0,815,122,0,0,0,0,0,0,937,475,149,14,99,9,187
,Werkendam,GR2014_Werkendam,Gemeenteraad Werkendam 2014,0870,Werkendam,2014-03-19,Stembureau Gereformeerde Kerk De Hoeksteen,0870::SB11,4271 AN,889,531,5,2,0,0,0,483,55,0,0,0,0,0,0,538,129,194,32,90,10,76
,Werkendam,GR2014_Werkendam,Gemeenteraad Werkendam 2014,0870,Werkendam,2014-03-19,Stembureau De Molenwiek,0870::SB12,4271 AX,1071,549,1,3,0,0,0,489,64,0,0,0,0,0,0,553,109,262,16,79,6,77
,Werkendam,GR2014_Werkendam,Gemeenteraad Werkendam 2014,0870,Werkendam,2014-03-19,Stembureau Steunpunt Den Dotter,0870::SB13,4273 CG,1530,780,6,2,0,0,0,713,75,0,0,0,0,0,0,788,215,412,4,24,13,112
,Werkendam,GR2014_Werkendam,Gemeenteraad Werkendam 2014,0870,Werkendam,2014-03-19,Stembureau Basisschool de Bolderik,0870::SB14,4273 ET,1574,929,4,2,0,0,0,835,100,0,0,0,0,0,0,935,259,543,3,14,4,106
