contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Fractie Franssen,Balans Gulpen-Wittem,GROENLINKS,Partij van de Arbeid (P.v.d.A.)
,Gulpen-Wittem,GR2014_GulpenWittem,Gemeenteraad Gulpen-Wittem 2014,1729,Gulpen-Wittem,2014-03-19,Stembureau Gemeentehuis Gulpen,1729::SB1,,1362,799,0,2,0,0,0,683,118,0,0,0,0,0,0,801,171,323,69,173,63
,Gulpen-Wittem,GR2014_GulpenWittem,Gemeenteraad Gulpen-Wittem 2014,1729,Gulpen-Wittem,2014-03-19,Stembureau Zorgcentrum Dr. Ackenshuis,1729::SB2,,1056,588,2,1,0,0,0,510,81,0,0,0,0,0,0,591,104,291,55,91,47
,Gulpen-Wittem,GR2014_GulpenWittem,Gemeenteraad Gulpen-Wittem 2014,1729,Gulpen-Wittem,2014-03-19,Stembureau Gemeenschapshuis Reijmerstok,1729::SB3,,643,362,0,4,0,0,0,313,53,0,0,0,0,0,0,366,205,61,18,68,10
,Gulpen-Wittem,GR2014_GulpenWittem,Gemeenteraad Gulpen-Wittem 2014,1729,Gulpen-Wittem,2014-03-19,Stembureau Gemeenschapshuis Wielderhoes,1729::SB4,,1096,650,3,2,0,0,0,587,68,0,0,0,0,0,0,655,171,322,38,84,35
,Gulpen-Wittem,GR2014_GulpenWittem,Gemeenteraad Gulpen-Wittem 2014,1729,Gulpen-Wittem,2014-03-19,Stembureau Basisschool Op de Tien Bunder,1729::SB5,,1067,645,7,0,0,0,0,564,88,0,0,0,0,0,0,652,215,261,41,91,37
,Gulpen-Wittem,GR2014_GulpenWittem,Gemeenteraad Gulpen-Wittem 2014,1729,Gulpen-Wittem,2014-03-19,Stembureau Gemeenschapshuis A gen Sjoeël,1729::SB6,,1543,1046,6,4,0,0,0,901,154,0,0,1,0,0,1,1055,282,393,34,312,25
,Gulpen-Wittem,GR2014_GulpenWittem,Gemeenteraad Gulpen-Wittem 2014,1729,Gulpen-Wittem,2014-03-19,Stembureau Gemeenschapshuis Patronaat,1729::SB7,,931,578,6,4,0,0,0,497,91,0,0,0,0,0,0,588,188,196,35,144,15
,Gulpen-Wittem,GR2014_GulpenWittem,Gemeenteraad Gulpen-Wittem 2014,1729,Gulpen-Wittem,2014-03-19,Stembureau Café A gen Baag,1729::SB8,,624,390,2,2,0,0,0,341,53,0,0,0,0,0,0,394,52,64,237,31,6
,Gulpen-Wittem,GR2014_GulpenWittem,Gemeenteraad Gulpen-Wittem 2014,1729,Gulpen-Wittem,2014-03-19,Stembureau Gemeenschapshuis A ge Wienhoes,1729::SB9,,642,433,1,1,0,0,0,382,53,0,0,0,0,0,0,435,61,198,71,82,21
,Gulpen-Wittem,GR2014_GulpenWittem,Gemeenteraad Gulpen-Wittem 2014,1729,Gulpen-Wittem,2014-03-19,Stembureau Woonzorgcomplex Agathahöfke,1729::SB10,,1454,1043,8,7,0,0,0,936,122,0,0,0,0,0,0,1058,542,97,180,204,20
,Gulpen-Wittem,GR2014_GulpenWittem,Gemeenteraad Gulpen-Wittem 2014,1729,Gulpen-Wittem,2014-03-19,Stembureau Gemeenschapshuis Wilder Tref,1729::SB11,,377,311,0,0,0,0,0,266,45,0,0,0,0,0,0,311,42,181,36,38,14
,Gulpen-Wittem,GR2014_GulpenWittem,Gemeenteraad Gulpen-Wittem 2014,1729,Gulpen-Wittem,2014-03-19,Stembureau Fanfarezaal Berg en Dal,1729::SB12,,545,384,2,0,0,0,0,340,46,0,0,0,0,0,0,386,164,77,52,77,14
,Gulpen-Wittem,GR2014_GulpenWittem,Gemeenteraad Gulpen-Wittem 2014,1729,Gulpen-Wittem,2014-03-19,Stembureau Café Paddock,1729::SB13,,901,643,1,3,0,0,0,531,116,0,0,0,0,0,0,647,101,328,56,126,32
