contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),CDA,Partij van de Arbeid (P.v.d.A.),Gemeentebelangen Zwartewaterland,VVD
,Zwartewaterland,GR2014_Zwartewaterland,Gemeenteraad Zwartewaterland 2014,1896,Zwartewaterland,2014-03-19,Stembureau Gemeentehuis Hasselt,1896::SB1,8061 CB,1556,953,4,0,4,0,0,851,102,0,0,4,0,0,0,953,322,78,142,201,94,116
,Zwartewaterland,GR2014_Zwartewaterland,Gemeenteraad Zwartewaterland 2014,1896,Zwartewaterland,2014-03-19,Stembureau Cultureel Centrum Teeuwland,1896::SB2,8061 JR,1437,901,0,7,0,0,0,795,113,0,0,0,0,0,0,908,301,59,145,221,105,70
,Zwartewaterland,GR2014_Zwartewaterland,Gemeenteraad Zwartewaterland 2014,1896,Zwartewaterland,2014-03-19,Stembureau Hervormd Centrum De Baak,1896::SB3,8061 DA,1130,870,0,4,0,0,0,792,82,0,0,0,0,0,0,874,366,44,142,164,93,61
,Zwartewaterland,GR2014_Zwartewaterland,Gemeenteraad Zwartewaterland 2014,1896,Zwartewaterland,2014-03-19,Stembureau Gemeentehuis Hasselt,1896::SB4,8061 CB,1145,793,2,0,3,0,0,702,96,0,0,0,3,0,0,798,264,45,125,186,75,98
,Zwartewaterland,GR2014_Zwartewaterland,Gemeenteraad Zwartewaterland 2014,1896,Zwartewaterland,2014-03-19,Stembureau 't Olde Staduus Genemuiden,1896::SB5,8281 EV,1447,1037,3,3,0,0,0,903,140,0,0,0,0,0,0,1043,183,444,125,85,135,65
,Zwartewaterland,GR2014_Zwartewaterland,Gemeenteraad Zwartewaterland 2014,1896,Zwartewaterland,2014-03-19,Stembureau Verenigingsgebouw De Schakel,1896::SB6,8281 AB,1749,909,0,0,0,0,0,759,150,0,0,0,0,0,0,909,181,404,122,69,107,26
,Zwartewaterland,GR2014_Zwartewaterland,Gemeenteraad Zwartewaterland 2014,1896,Zwartewaterland,2014-03-19,Stembureau Gemeenschapscentrum De Driester,1896::SB7,8281 PG,569,447,0,1,0,0,0,398,50,0,0,0,0,0,0,448,113,120,184,10,13,7
,Zwartewaterland,GR2014_Zwartewaterland,Gemeenteraad Zwartewaterland 2014,1896,Zwartewaterland,2014-03-19,Stembureau Zorgcentrum De Meente,1896::SB8,8281 DG,1735,1087,0,3,0,0,0,948,141,0,0,1,0,1,0,1089,252,440,137,91,147,20
,Zwartewaterland,GR2014_Zwartewaterland,Gemeenteraad Zwartewaterland 2014,1896,Zwartewaterland,2014-03-19,Stembureau Eben Haëzerschool,1896::SB9,8281 KN,1699,1234,0,1,0,0,0,1044,191,0,0,0,0,0,0,1235,263,647,122,63,103,36
,Zwartewaterland,GR2014_Zwartewaterland,Gemeenteraad Zwartewaterland 2014,1896,Zwartewaterland,2014-03-19,Stembureau Openbare basisschool Aremberg,1896::SB10,8064 CD,1287,780,0,1,0,1,0,689,93,0,0,0,1,0,0,782,109,35,226,129,111,170
,Zwartewaterland,GR2014_Zwartewaterland,Gemeenteraad Zwartewaterland 2014,1896,Zwartewaterland,2014-03-19,Stembureau Verzorgingshuis De Schans,1896::SB11,8064 DC,1086,752,2,3,0,0,0,685,72,0,0,0,0,0,0,757,173,11,200,87,171,110
,Zwartewaterland,GR2014_Zwartewaterland,Gemeenteraad Zwartewaterland 2014,1896,Zwartewaterland,2014-03-19,Stembureau Hotel Zwartewater,1896::SB12,8064 PC,1286,720,0,2,0,0,0,632,90,0,0,0,0,0,0,722,151,30,183,97,120,139
,Zwartewaterland,GR2014_Zwartewaterland,Gemeenteraad Zwartewaterland 2014,1896,Zwartewaterland,2014-03-19,Stembureau Mobiel bureau De Schakel,1896::SB13,8281 AB,0,301,0,1,0,0,0,269,33,0,0,0,0,0,0,302,63,137,42,11,41,7
,Zwartewaterland,GR2014_Zwartewaterland,Gemeenteraad Zwartewaterland 2014,1896,Zwartewaterland,2014-03-19,Stembureau Mobiel bureau De Meente,1896::SB14,8281 DG,0,333,0,1,0,0,0,285,49,0,0,0,0,0,0,334,74,148,34,23,39,15
