contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Leerdam 2000,Partij van de Arbeid (P.v.d.A.),Staatkundig Gereformeerde Partij (SGP),CDA,VVD,ChristenUnie
,Leerdam,GR2014_Leerdam,Gemeenteraad Leerdam 2014,0545,Leerdam,2014-03-19,Stembureau Stadskantoor,0545::SB1,,2474,1224,7,3,0,0,0,1069,165,0,0,0,0,0,0,1234,378,205,142,215,167,117
,Leerdam,GR2014_Leerdam,Gemeenteraad Leerdam 2014,0545,Leerdam,2014-03-19,Stembureau Maranatha,0545::SB2,,1937,1279,2,3,0,0,0,1111,173,0,0,0,0,0,0,1284,333,132,270,233,155,156
,Leerdam,GR2014_Leerdam,Gemeenteraad Leerdam 2014,0545,Leerdam,2014-03-19,Stembureau Johannes Calvijnschool,0545::SB3,,1554,768,2,1,0,0,0,672,99,0,0,0,0,0,0,771,224,85,192,138,41,88
,Leerdam,GR2014_Leerdam,Gemeenteraad Leerdam 2014,0545,Leerdam,2014-03-19,Stembureau Huis ter Leede,0545::SB4,,2035,1399,6,10,0,0,0,1230,185,0,0,0,0,0,0,1415,413,169,227,258,142,190
,Leerdam,GR2014_Leerdam,Gemeenteraad Leerdam 2014,0545,Leerdam,2014-03-19,Stembureau de Wilgenhoek,0545::SB5,,1126,627,1,1,0,0,0,554,75,0,0,0,0,0,0,629,191,82,72,144,73,65
,Leerdam,GR2014_Leerdam,Gemeenteraad Leerdam 2014,0545,Leerdam,2014-03-19,Stembureau het Mozaïek bovenbouw,0545::SB6,,906,467,1,3,0,0,0,406,65,0,0,0,0,0,0,471,165,193,19,32,28,30
,Leerdam,GR2014_Leerdam,Gemeenteraad Leerdam 2014,0545,Leerdam,2014-03-19,Stembureau Koningin Emmahuis,0545::SB7,,1509,523,3,7,0,0,0,453,80,0,0,0,0,0,0,533,146,187,24,84,21,61
,Leerdam,GR2014_Leerdam,Gemeenteraad Leerdam 2014,0545,Leerdam,2014-03-19,Stembureau het Mozaïek onderbouw,0545::SB8,,2281,1107,6,18,0,0,0,937,194,0,0,0,0,0,0,1131,364,426,84,95,46,92
,Leerdam,GR2014_Leerdam,Gemeenteraad Leerdam 2014,0545,Leerdam,2014-03-19,Stembureau dorpshuis de Stoof,0545::SB9,,648,421,0,0,0,0,0,380,41,0,0,0,0,0,0,421,166,50,22,42,126,15
,Leerdam,GR2014_Leerdam,Gemeenteraad Leerdam 2014,0545,Leerdam,2014-03-19,Stembureau Partycentrum Schoonrewoerd,0545::SB10,,1450,927,2,4,0,0,0,809,124,0,0,0,0,0,0,933,176,47,313,134,126,131
