contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,SP (Socialistische Partij),CDA,Partij van de Arbeid (P.v.d.A.),Stadspartij Heerlen,Ouderen Partij Heerlen,VVD,Hart-Leers,Democraten 66 (D66),GROENLINKS,RPN,Partij Hoensbroeks Belang,1Parkstad.nl
,Heerlen,GR2014_Heerlen,Gemeenteraad Heerlen 2014,0917,Heerlen,2014-03-19,Stembureau Stadhuis ingang Raadhuisplein,0917::SB1,,2176,1584,7,5,0,0,0,1446,150,0,0,0,0,0,0,1596,380,160,153,39,217,116,238,147,64,26,8,36
,Heerlen,GR2014_Heerlen,Gemeenteraad Heerlen 2014,0917,Heerlen,2014-03-19,Stembureau Zorgcentrum Douvenrade,0917::SB2,,963,543,0,0,0,0,0,489,54,0,0,0,0,0,0,543,66,121,16,7,140,43,90,27,13,15,1,4
,Heerlen,GR2014_Heerlen,Gemeenteraad Heerlen 2014,0917,Heerlen,2014-03-19,Stembureau Trefcentrum 't Loon,0917::SB4,,2219,969,4,4,0,0,0,869,107,0,0,1,0,0,0,976,333,67,62,22,191,39,102,54,43,28,4,24
,Heerlen,GR2014_Heerlen,Gemeenteraad Heerlen 2014,0917,Heerlen,2014-03-19,"Stembureau Luciushof, Grote Zaal",0917::SB6,,1631,853,4,1,0,0,0,786,75,0,0,0,3,0,0,861,180,120,67,14,207,66,85,62,22,6,1,23
,Heerlen,GR2014_Heerlen,Gemeenteraad Heerlen 2014,0917,Heerlen,2014-03-19,Stembureau Bernardinuscollege,0917::SB7,,1653,1005,1,2,0,0,0,882,126,0,0,0,0,0,0,1008,167,82,130,15,108,171,59,209,29,21,2,12
,Heerlen,GR2014_Heerlen,Gemeenteraad Heerlen 2014,0917,Heerlen,2014-03-19,Stembureau Basisschool St. Tarcisius,0917::SB10,,1642,955,3,3,0,0,0,876,86,0,0,0,1,0,0,962,234,97,107,13,108,84,88,137,32,19,0,36
,Heerlen,GR2014_Heerlen,Gemeenteraad Heerlen 2014,0917,Heerlen,2014-03-19,Stembureau MEE,0917::SB11,,955,678,0,0,0,0,0,608,76,0,0,0,6,0,0,684,92,88,54,13,191,66,54,64,14,37,0,5
,Heerlen,GR2014_Heerlen,Gemeenteraad Heerlen 2014,0917,Heerlen,2014-03-19,Stembureau Zorgcentrum St. Anna,0917::SB12,,1906,1220,5,6,0,0,0,1146,88,0,0,0,3,0,0,1234,205,124,66,15,341,108,132,129,24,24,2,50
,Heerlen,GR2014_Heerlen,Gemeenteraad Heerlen 2014,0917,Heerlen,2014-03-19,Stembureau VKH (Verpleegkliniek),0917::SB14,,386,146,0,0,0,0,0,116,30,0,0,0,0,0,0,146,30,18,5,5,28,14,12,13,8,8,3,2
,Heerlen,GR2014_Heerlen,Gemeenteraad Heerlen 2014,0917,Heerlen,2014-03-19,Stembureau Basisschool de Windwijzer,0917::SB16,,1838,733,3,2,0,0,0,666,72,0,0,0,0,0,0,738,237,78,38,15,216,22,36,30,15,4,5,37
,Heerlen,GR2014_Heerlen,Gemeenteraad Heerlen 2014,0917,Heerlen,2014-03-19,Stembureau Gemeenschapshuis Caumerbron,0917::SB17,,2400,1322,7,4,0,0,0,1206,127,0,0,0,0,0,0,1333,384,148,63,33,360,52,108,60,41,17,3,53
,Heerlen,GR2014_Heerlen,Gemeenteraad Heerlen 2014,0917,Heerlen,2014-03-19,Stembureau Vitalis Parc Imstenrade,0917::SB18,,1827,879,6,6,0,0,0,776,115,0,0,0,0,0,0,891,121,165,66,20,183,155,35,83,13,15,0,23
,Heerlen,GR2014_Heerlen,Gemeenteraad Heerlen 2014,0917,Heerlen,2014-03-19,Stembureau Zorgcentrum Tobias,0917::SB19,,1781,1134,6,4,0,0,0,1031,110,0,0,3,0,0,0,1141,246,164,87,17,221,107,64,161,20,20,0,27
,Heerlen,GR2014_Heerlen,Gemeenteraad Heerlen 2014,0917,Heerlen,2014-03-19,Stembureau Wijkgebouw stg. buurtbeheer Molenberg,0917::SB22,,2294,849,2,6,0,0,0,760,98,0,0,0,1,0,0,858,317,64,51,13,113,42,136,37,35,13,1,27
,Heerlen,GR2014_Heerlen,Gemeenteraad Heerlen 2014,0917,Heerlen,2014-03-19,Stembureau Verpleeghuis Bergweide,0917::SB23,,967,454,2,2,0,0,0,401,57,0,0,0,0,0,0,458,126,82,24,11,43,12,103,23,10,6,0,14
,Heerlen,GR2014_Heerlen,Gemeenteraad Heerlen 2014,0917,Heerlen,2014-03-19,Stembureau Gemeenschapshuis Schaesbergerveld,0917::SB25,,1902,758,3,1,0,0,0,670,92,0,0,0,0,0,0,762,223,96,54,18,83,46,157,18,25,14,2,22
,Heerlen,GR2014_Heerlen,Gemeenteraad Heerlen 2014,0917,Heerlen,2014-03-19,Stembureau OBS Theo Thijssen,0917::SB26,,1237,515,2,4,0,0,0,459,62,0,0,0,1,0,0,521,235,55,41,16,55,10,46,18,17,7,1,14
,Heerlen,GR2014_Heerlen,Gemeenteraad Heerlen 2014,0917,Heerlen,2014-03-19,Stembureau Scouting- en Totemcentrum St. Jan Baptist,0917::SB27,,1220,387,6,3,0,0,0,354,42,0,0,0,0,0,0,396,216,30,26,14,45,4,26,9,5,4,0,8
,Heerlen,GR2014_Heerlen,Gemeenteraad Heerlen 2014,0917,Heerlen,2014-03-19,Stembureau Zorgcentrum De Regenboog,0917::SB29,,1002,435,4,1,0,0,0,394,48,0,0,0,2,0,0,442,127,77,16,13,81,18,42,13,4,6,1,37
,Heerlen,GR2014_Heerlen,Gemeenteraad Heerlen 2014,0917,Heerlen,2014-03-19,Stembureau Gemeenschapshuis 't Juphuis,0917::SB30,,1363,683,1,6,0,0,0,619,71,0,0,0,0,0,0,690,290,62,41,17,110,28,62,36,22,4,1,10
,Heerlen,GR2014_Heerlen,Gemeenteraad Heerlen 2014,0917,Heerlen,2014-03-19,Stembureau Stichting Humanitas,0917::SB31,,1247,436,3,0,0,0,0,408,32,0,0,0,1,0,0,440,188,31,38,19,63,13,30,17,7,13,1,16
,Heerlen,GR2014_Heerlen,Gemeenteraad Heerlen 2014,0917,Heerlen,2014-03-19,Stembureau Op den Dreek,0917::SB32,,1300,573,1,2,0,0,0,522,54,0,0,0,0,0,0,576,254,39,30,25,105,31,39,22,5,14,0,9
,Heerlen,GR2014_Heerlen,Gemeenteraad Heerlen 2014,0917,Heerlen,2014-03-19,Stembureau Basisschool Frans Postma,0917::SB33,,1510,609,0,5,0,0,0,523,91,0,0,0,0,0,0,614,172,67,31,58,124,35,71,16,14,8,2,11
,Heerlen,GR2014_Heerlen,Gemeenteraad Heerlen 2014,0917,Heerlen,2014-03-19,Stembureau Ouderencentrum Hooghendael,0917::SB34,,1161,504,3,3,0,0,0,451,59,0,0,0,0,0,0,510,126,129,15,98,51,18,26,6,7,12,1,15
,Heerlen,GR2014_Heerlen,Gemeenteraad Heerlen 2014,0917,Heerlen,2014-03-19,Stembureau Zorgcentrum Ter Eyck,0917::SB35,,2273,1081,8,8,0,0,0,1006,144,0,0,0,53,0,0,1150,262,297,45,193,140,26,43,23,16,19,9,8
,Heerlen,GR2014_Heerlen,Gemeenteraad Heerlen 2014,0917,Heerlen,2014-03-19,Stembureau Basisschool Windekind,0917::SB36,,2101,1153,0,1,0,0,0,1029,125,0,0,0,0,0,0,1154,245,154,76,14,180,127,84,168,27,33,1,44
,Heerlen,GR2014_Heerlen,Gemeenteraad Heerlen 2014,0917,Heerlen,2014-03-19,Stembureau Sporthal Varenbeuk,0917::SB37,,1278,382,6,2,0,0,0,342,48,0,0,0,0,0,0,390,151,37,31,51,49,15,25,2,5,8,0,8
,Heerlen,GR2014_Heerlen,Gemeenteraad Heerlen 2014,0917,Heerlen,2014-03-19,Stembureau Gemeenschapshuis De Koekoek,0917::SB38,,1670,586,3,2,0,0,0,522,69,0,0,0,0,0,0,591,182,83,36,131,65,10,34,11,14,10,0,10
,Heerlen,GR2014_Heerlen,Gemeenteraad Heerlen 2014,0917,Heerlen,2014-03-19,Stembureau Buurtcentrum 't Heitje,0917::SB39,,1871,580,6,1,0,0,0,520,74,0,0,0,7,0,0,594,214,77,48,69,54,16,20,12,33,23,0,14
,Heerlen,GR2014_Heerlen,Gemeenteraad Heerlen 2014,0917,Heerlen,2014-03-19,Stembureau Gemeenschapshuis Heksenberg,0917::SB42,,1739,1017,1,3,0,0,0,997,24,0,0,0,0,0,0,1021,216,180,39,288,80,32,90,24,29,21,4,14
,Heerlen,GR2014_Heerlen,Gemeenteraad Heerlen 2014,0917,Heerlen,2014-03-19,Stembureau Ouderencentrum Vogelsanck,0917::SB43,,1298,355,1,1,0,0,0,319,38,0,0,0,0,0,0,357,122,51,14,54,74,3,13,2,8,6,5,3
,Heerlen,GR2014_Heerlen,Gemeenteraad Heerlen 2014,0917,Heerlen,2014-03-19,Stembureau Gemeenschapshuis De Laurier,0917::SB44,,1137,415,1,3,0,0,0,359,60,0,0,0,0,0,0,419,178,68,19,37,44,16,17,5,10,9,8,4
,Heerlen,GR2014_Heerlen,Gemeenteraad Heerlen 2014,0917,Heerlen,2014-03-19,"Stembureau Basisschool De Piramide,  Zeswegen",0917::SB45,,1040,443,4,1,0,0,0,408,42,0,0,0,2,0,0,450,191,17,26,11,54,8,87,18,16,3,0,12
,Heerlen,GR2014_Heerlen,Gemeenteraad Heerlen 2014,0917,Heerlen,2014-03-19,"Stembureau Basisschool De Piramide, Rennemig",0917::SB46,,2030,659,4,3,0,0,0,589,74,0,0,3,0,0,0,663,266,76,35,47,69,20,37,17,27,35,9,21
