contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Staatkundig Gereformeerde Partij (SGP),VVD,Leefbaar Krimpen,Partij van de Arbeid (P.v.d.A.),CDA,ChristenUnie,Stem van Krimpen,GROENLINKS,Democraten 66 (D66)
,Krimpen aan den IJssel,GR2014_KrimpenaandenIJssel,Gemeenteraad Krimpen aan den IJssel 2014,0542,Krimpen aan den IJssel,2014-03-19,Stembureau Bowling en Partycentrum Krimpenhof,0542::SB1,2922 HM,960,558,2,0,0,0,0,478,82,0,0,0,0,0,0,560,193,40,75,45,51,33,74,25,22
,Krimpen aan den IJssel,GR2014_KrimpenaandenIJssel,Gemeenteraad Krimpen aan den IJssel 2014,0542,Krimpen aan den IJssel,2014-03-19,Stembureau Muziekschool Krimpen aan den IJssel,0542::SB2,2921 XH,1385,798,5,3,0,0,0,680,126,0,0,0,0,0,0,806,228,67,196,54,38,51,89,34,41
,Krimpen aan den IJssel,GR2014_KrimpenaandenIJssel,Gemeenteraad Krimpen aan den IJssel 2014,0542,Krimpen aan den IJssel,2014-03-19,Stembureau Zwembad /Sauna De Lansingh,0542::SB3,2923 AM,1511,765,1,2,0,0,0,654,114,0,0,0,0,0,0,768,229,96,117,60,75,48,94,10,36
,Krimpen aan den IJssel,GR2014_KrimpenaandenIJssel,Gemeenteraad Krimpen aan den IJssel 2014,0542,Krimpen aan den IJssel,2014-03-19,Stembureau Woonzorgcentrum Tiendhove,0542::SB4,2922 EN,1079,715,0,3,0,0,0,635,83,0,0,0,0,0,0,718,189,64,124,53,84,46,92,24,39
,Krimpen aan den IJssel,GR2014_KrimpenaandenIJssel,Gemeenteraad Krimpen aan den IJssel 2014,0542,Krimpen aan den IJssel,2014-03-19,Stembureau Krimpenerwaard College,0542::SB5,2924 AN,1149,901,2,2,0,0,0,786,119,0,0,0,0,0,0,905,180,99,114,69,119,83,136,29,72
,Krimpen aan den IJssel,GR2014_KrimpenaandenIJssel,Gemeenteraad Krimpen aan den IJssel 2014,0542,Krimpen aan den IJssel,2014-03-19,Stembureau Sociëteit Gouden Regen,0542::SB6,2923 EK,1212,770,1,1,0,0,0,662,110,0,0,0,0,0,0,772,181,77,90,79,80,58,133,26,46
,Krimpen aan den IJssel,GR2014_KrimpenaandenIJssel,Gemeenteraad Krimpen aan den IJssel 2014,0542,Krimpen aan den IJssel,2014-03-19,Stembureau Wijkcentrum De Sperwer,0542::SB7,2926 TA,1400,1183,0,2,0,0,0,1016,169,0,0,0,0,0,0,1185,148,170,205,66,121,88,270,31,84
,Krimpen aan den IJssel,GR2014_KrimpenaandenIJssel,Gemeenteraad Krimpen aan den IJssel 2014,0542,Krimpen aan den IJssel,2014-03-19,Stembureau Basisschool Het Mozaïek,0542::SB8,2925 BX,1116,862,3,6,0,0,0,806,65,0,0,0,0,0,0,871,113,107,100,80,87,131,164,18,62
,Krimpen aan den IJssel,GR2014_KrimpenaandenIJssel,Gemeenteraad Krimpen aan den IJssel 2014,0542,Krimpen aan den IJssel,2014-03-19,Stembureau Basisschool De Fontein,0542::SB9,2924 XP,1330,802,2,1,0,0,0,722,83,0,0,0,0,0,0,805,109,92,122,74,87,57,134,33,94
,Krimpen aan den IJssel,GR2014_KrimpenaandenIJssel,Gemeenteraad Krimpen aan den IJssel 2014,0542,Krimpen aan den IJssel,2014-03-19,Stembureau Zorgcentrum Crimpenersteyn,0542::SB10,2924 BC,1272,842,0,2,0,0,0,762,82,0,0,0,0,0,0,844,77,65,194,114,94,55,165,29,49
