contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),STADSPARTIJ Zutphen Warnsveld,VVD,GROENLINKS,Democraten 66 (D66),Burgerbelang Zutphen Warnsveld,CDA,SP (Socialistische Partij),ChristenUnie
,Zutphen,GR2014_Zutphen,Gemeenteraad Zutphen 2014,0301,Zutphen,2014-03-19,Stembureau Nieuwe Stadhuis,0301::SB1,,891,827,6,3,0,1,0,777,60,0,0,0,1,0,0,837,83,109,75,107,156,98,47,113,39
,Zutphen,GR2014_Zutphen,Gemeenteraad Zutphen 2014,0301,Zutphen,2014-03-19,Stembureau Oude Stadhuis,0301::SB2,,995,902,0,3,0,5,0,839,61,0,0,5,0,0,0,900,75,133,105,135,141,128,31,136,18
,Zutphen,GR2014_Zutphen,Gemeenteraad Zutphen 2014,0301,Zutphen,2014-03-19,Stembureau De Martinet,0301::SB3,,1446,659,3,2,0,0,0,634,31,0,1,0,1,0,0,665,79,75,55,68,98,90,30,143,21
,Zutphen,GR2014_Zutphen,Gemeenteraad Zutphen 2014,0301,Zutphen,2014-03-19,Stembureau Het Bornhof,0301::SB4,,1268,688,4,4,0,0,0,658,38,0,0,0,0,0,0,696,107,54,43,50,74,98,69,163,30
,Zutphen,GR2014_Zutphen,Gemeenteraad Zutphen 2014,0301,Zutphen,2014-03-19,Stembureau Waterkracht,0301::SB5,,1653,814,4,3,0,0,0,771,50,0,0,0,0,0,0,821,121,91,51,80,74,102,59,192,44
,Zutphen,GR2014_Zutphen,Gemeenteraad Zutphen 2014,0301,Zutphen,2014-03-19,Stembureau OBS De Waaier,0301::SB6,,1882,476,5,0,0,0,0,437,44,0,0,0,0,0,0,481,94,30,19,41,54,68,30,110,30
,Zutphen,GR2014_Zutphen,Gemeenteraad Zutphen 2014,0301,Zutphen,2014-03-19,Stembureau Lokaal Emmanuelkerk,0301::SB7,,1856,627,4,1,0,0,0,583,49,0,0,0,0,0,0,632,109,46,28,47,34,107,46,188,22
,Zutphen,GR2014_Zutphen,Gemeenteraad Zutphen 2014,0301,Zutphen,2014-03-19,Stembureau de Plotter,0301::SB8,,1419,827,3,0,0,1,0,771,58,0,0,1,0,0,0,829,104,70,69,136,108,103,50,144,43
,Zutphen,GR2014_Zutphen,Gemeenteraad Zutphen 2014,0301,Zutphen,2014-03-19,Stembureau De Lunette,0301::SB9,,1753,1164,1,2,0,2,0,1070,99,0,0,0,2,0,0,1169,122,110,103,159,213,126,105,178,48
,Zutphen,GR2014_Zutphen,Gemeenteraad Zutphen 2014,0301,Zutphen,2014-03-19,Stembureau De Polbeek,0301::SB10,,1837,1170,0,3,0,0,0,1079,94,0,0,0,0,0,0,1173,132,96,83,115,122,164,175,194,89
,Zutphen,GR2014_Zutphen,Gemeenteraad Zutphen 2014,0301,Zutphen,2014-03-19,Stembureau St.Elisabeth,0301::SB11,,1613,644,2,0,0,0,0,599,47,0,0,0,0,0,0,646,63,80,85,91,82,70,56,93,24
,Zutphen,GR2014_Zutphen,Gemeenteraad Zutphen 2014,0301,Zutphen,2014-03-19,Stembureau School Theo Thijssen,0301::SB12,,1963,1048,0,6,0,1,0,981,72,0,0,1,0,0,0,1053,112,115,57,74,102,268,77,203,40
,Zutphen,GR2014_Zutphen,Gemeenteraad Zutphen 2014,0301,Zutphen,2014-03-19,Stembureau Serviceflat De IJssel,0301::SB13,,1060,597,1,0,0,0,0,558,40,0,0,0,0,0,0,598,75,51,50,46,59,73,82,119,42
