contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Gemeentebelangen,VVD,Partij van de Arbeid-GroenLinks,CDA,Democraten 66 (D66),SP (Socialistische Partij)
,Vught,GR2014_Vught,Gemeenteraad Vught 2014,0865,Vught,2014-03-19,Stembureau Basisschool Het Molenven,0865::SB1,5261 AE,1502,1198,1,0,0,0,0,1072,127,0,0,0,0,0,0,1199,270,265,127,142,331,63
,Vught,GR2014_Vught,Gemeenteraad Vught 2014,0865,Vught,2014-03-19,Stembureau Huize Elisabeth,0865::SB2,5261 VM,1408,965,8,2,0,0,0,880,95,0,0,0,0,0,0,975,333,120,152,93,142,125
,Vught,GR2014_Vught,Gemeenteraad Vught 2014,0865,Vught,2014-03-19,Stembureau De Vlasborch,0865::SB3,5261 TB,1637,817,5,5,0,0,0,757,70,0,0,0,0,0,0,827,365,45,117,57,76,157
,Vught,GR2014_Vught,Gemeenteraad Vught 2014,0865,Vught,2014-03-19,Stembureau Woonzorgcentrum De Braacken,0865::SB4,5263 AT,1559,947,0,3,1,0,0,843,106,0,0,1,0,0,0,949,239,293,73,111,180,51
,Vught,GR2014_Vught,Gemeenteraad Vught 2014,0865,Vught,2014-03-19,Stembureau Brasserie Brac,0865::SB5,5263 CN,1582,1080,0,0,0,0,0,930,150,0,0,0,0,0,0,1080,239,508,54,99,151,29
,Vught,GR2014_Vught,Gemeenteraad Vught 2014,0865,Vught,2014-03-19,Stembureau The Battle Axe,0865::SB6,5266 AG,1032,417,1,0,0,0,0,381,37,0,0,0,0,0,0,418,255,51,26,24,26,35
,Vught,GR2014_Vught,Gemeenteraad Vught 2014,0865,Vught,2014-03-19,Stembureau Gebouw Schoonveld,0865::SB7,5262 XD,1660,990,1,1,0,0,0,900,92,0,0,0,0,0,0,992,242,143,157,57,254,137
,Vught,GR2014_Vught,Gemeenteraad Vught 2014,0865,Vught,2014-03-19,Stembureau Gebouw De Gouden Zonne,0865::SB8,5262 BA,1407,732,0,4,0,0,0,670,66,0,0,0,0,0,0,736,303,55,90,49,102,133
,Vught,GR2014_Vught,Gemeenteraad Vught 2014,0865,Vught,2014-03-19,Stembureau Basisschool De Wieken,0865::SB9,5262 EN,1284,833,0,2,0,0,0,748,87,0,0,0,0,0,0,835,355,75,85,72,91,155
,Vught,GR2014_Vught,Gemeenteraad Vught 2014,0865,Vught,2014-03-19,Stembureau OJBS De Lichtstraat,0865::SB10,5262 JH,1326,756,0,1,0,0,0,690,67,0,0,0,0,0,0,757,229,89,110,52,174,102
,Vught,GR2014_Vught,Gemeenteraad Vught 2014,0865,Vught,2014-03-19,Stembureau Basisschool De Baarzen,0865::SB11,5262 HC,1257,1111,2,1,0,0,0,1020,94,0,0,0,0,0,0,1114,419,136,134,94,188,140
,Vught,GR2014_Vught,Gemeenteraad Vught 2014,0865,Vught,2014-03-19,Stembureau Woonzorgcentrum Theresia,0865::SB12,5262 TN,1614,1057,2,2,0,0,0,967,94,0,0,0,0,0,0,1061,428,119,129,81,131,169
,Vught,GR2014_Vught,Gemeenteraad Vught 2014,0865,Vught,2014-03-19,Stembureau Paviljoen Bergenshuizen,0865::SB13,5262 LK,1837,738,0,0,0,0,0,654,84,0,0,0,0,0,0,738,301,87,80,53,116,101
,Vught,GR2014_Vught,Gemeenteraad Vught 2014,0865,Vught,2014-03-19,Stembureau Raadhuis,0865::SB14,5261 EV,1052,422,1,2,0,0,0,395,30,0,0,0,0,0,0,425,131,100,47,30,64,50
