contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Gemeentebelangen,ChristenUnie,VVD,Progressief Altena (P.v.d.A.-D66-GROENLINKS),JEZUS LEEFT
,Woudrichem,GR2014_Woudrichem,Gemeenteraad Woudrichem 2014,0874,Woudrichem,2014-03-19,Stembureau Gemeentehuis Woudrichem,0874::SB1,4285 CP,1271,1235,3,5,0,0,0,1092,151,0,0,0,0,0,0,1243,420,262,127,138,270,18
,Woudrichem,GR2014_Woudrichem,Gemeenteraad Woudrichem 2014,0874,Woudrichem,2014-03-19,Stembureau De Veste,0874::SB2,4285 AG,1299,484,3,5,0,0,0,432,60,0,0,0,0,0,0,492,108,76,42,74,180,4
,Woudrichem,GR2014_Woudrichem,Gemeenteraad Woudrichem 2014,0874,Woudrichem,2014-03-19,Stembureau 't Verlaat Almkerk,0874::SB3,4286 DB,1507,981,0,4,0,0,0,864,121,0,0,0,0,0,0,985,357,309,138,53,103,21
,Woudrichem,GR2014_Woudrichem,Gemeenteraad Woudrichem 2014,0874,Woudrichem,2014-03-19,Stembureau Wapen van Emmickhoven,0874::SB4,4286 AX,1309,830,0,0,0,0,0,738,92,0,0,0,0,0,0,830,334,226,150,31,80,9
,Woudrichem,GR2014_Woudrichem,Gemeenteraad Woudrichem 2014,0874,Woudrichem,2014-03-19,Stembureau Herv.Centr.De Ark,0874::SB5,4281 LH,1054,642,0,1,0,0,0,559,84,0,0,0,0,0,0,643,177,86,266,45,64,4
,Woudrichem,GR2014_Woudrichem,Gemeenteraad Woudrichem 2014,0874,Woudrichem,2014-03-19,Stembureau de Schutskooi (bijgebouw Ger.Kerk),0874::SB6,4281 LR,815,460,0,0,0,0,0,412,48,0,0,0,0,0,0,460,161,44,175,31,40,9
,Woudrichem,GR2014_Woudrichem,Gemeenteraad Woudrichem 2014,0874,Woudrichem,2014-03-19,Stembureau openbare bibliotheek,0874::SB7,4283 GM,1184,742,8,1,0,0,0,666,85,0,0,0,0,0,0,751,234,133,210,31,116,18
,Woudrichem,GR2014_Woudrichem,Gemeenteraad Woudrichem 2014,0874,Woudrichem,2014-03-19,Stembureau Het Brabantse Land,0874::SB8,4284 EA,1301,750,3,2,0,0,0,655,100,0,0,0,0,0,0,755,236,123,178,70,129,14
,Woudrichem,GR2014_Woudrichem,Gemeenteraad Woudrichem 2014,0874,Woudrichem,2014-03-19,Stembureau Gemeentecentrum De Hoogt,0874::SB9,4288 JJ,485,377,0,0,0,0,0,339,39,0,0,0,1,0,1,378,102,116,118,17,23,1
,Woudrichem,GR2014_Woudrichem,Gemeenteraad Woudrichem 2014,0874,Woudrichem,2014-03-19,Stembureau OVO Verenigingsgebouw,0874::SB10,4285 WL,1045,315,0,2,0,0,0,281,36,0,0,0,0,0,0,317,103,63,29,61,58,1
