contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Onafhankelijk Rijswijk,Gemeentebelangen Rijswijk (GR),VVD,Partij van de Arbeid (P.v.d.A.),CDA,Democraten 66 (D66),GROENLINKS,SP (Socialistische Partij),BETER VOOR RIJSWIJK (BVR)
,Rijswijk,GR2014_Rijswijk,Gemeenteraad Rijswijk 2014,0603,Rijswijk,2014-03-19,Stembureau Basisschool Het Zonnelicht,0603::SB1,2281 TC,1629,821,5,3,0,0,0,735,94,0,0,0,0,0,0,829,53,129,73,84,54,146,137,68,77
,Rijswijk,GR2014_Rijswijk,Gemeenteraad Rijswijk 2014,0603,Rijswijk,2014-03-19,Stembureau Ned.Gereformeerde kerk Den Haag-Rijswijk,0603::SB2,2281 GG,1838,1303,7,4,0,0,0,1130,184,0,0,0,0,0,0,1314,62,196,253,136,104,289,164,47,52
,Rijswijk,GR2014_Rijswijk,Gemeenteraad Rijswijk 2014,0603,Rijswijk,2014-03-19,Stembureau Dienstencentrum Het Oude Raadhuis,0603::SB3,2282 AL,1437,768,6,5,0,1,0,710,70,0,0,0,1,0,0,780,47,174,70,61,65,68,91,75,117
,Rijswijk,GR2014_Rijswijk,Gemeenteraad Rijswijk 2014,0603,Rijswijk,2014-03-19,Stembureau Wijkcentrum Oud Rijswijk,0603::SB4,2282 RZ,2155,1198,2,1,0,0,0,1088,113,0,0,0,0,0,0,1201,85,205,156,97,97,213,126,83,136
,Rijswijk,GR2014_Rijswijk,Gemeenteraad Rijswijk 2014,0603,Rijswijk,2014-03-19,Stembureau Kindercentr. de Dwergenhut (Cirkelflat),0603::SB5,2285 GJ,1664,920,3,3,0,0,0,827,99,0,0,0,0,0,0,926,138,97,108,91,57,119,70,58,182
,Rijswijk,GR2014_Rijswijk,Gemeenteraad Rijswijk 2014,0603,Rijswijk,2014-03-19,Stembureau Woonzorgcentrum Vredenburch,0603::SB6,2282 SK,2118,1155,4,5,0,0,0,1061,103,0,0,0,0,0,0,1164,86,251,98,68,141,122,97,107,185
,Rijswijk,GR2014_Rijswijk,Gemeenteraad Rijswijk 2014,0603,Rijswijk,2014-03-19,Stembureau speeltuinvereniging Inter Amicos,0603::SB7,2282 KV,1483,739,1,6,0,0,0,693,53,0,0,0,0,0,0,746,83,107,76,65,56,139,63,65,85
,Rijswijk,GR2014_Rijswijk,Gemeenteraad Rijswijk 2014,0603,Rijswijk,2014-03-19,Stembureau Amateurspalet,0603::SB8,2282 HM,1760,798,2,3,0,0,0,734,69,0,0,0,0,0,0,803,59,192,58,68,48,70,56,80,167
,Rijswijk,GR2014_Rijswijk,Gemeenteraad Rijswijk 2014,0603,Rijswijk,2014-03-19,Stembureau Gemeentehuis,0603::SB9,2284 DP,822,630,3,3,0,0,0,583,53,0,0,0,0,0,0,636,64,79,94,79,62,60,32,66,94
,Rijswijk,GR2014_Rijswijk,Gemeenteraad Rijswijk 2014,0603,Rijswijk,2014-03-19,Stembureau Rehobothschool (ingang Mr. D. Fockstr.),0603::SB10,2283 JA,2336,944,1,5,0,0,0,851,99,0,0,0,0,0,0,950,83,158,105,93,83,80,56,107,179
,Rijswijk,GR2014_Rijswijk,Gemeenteraad Rijswijk 2014,0603,Rijswijk,2014-03-19,Stembureau Dependance Elsenburgschool,0603::SB11,2283 EG,1879,961,4,4,0,0,0,888,81,0,0,0,0,0,0,969,89,159,141,77,115,117,73,45,145
,Rijswijk,GR2014_Rijswijk,Gemeenteraad Rijswijk 2014,0603,Rijswijk,2014-03-19,Stembureau Nieuwe Kerk,0603::SB12,2284 EH,2202,1093,9,4,0,0,0,1031,75,0,0,0,0,0,0,1106,109,146,128,127,111,94,44,147,187
