contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,H&G,Partij van de Arbeid (P.v.d.A.),VVD,Democraten 66 (D66),Valkenswaard Lokaal
,Valkenswaard,GR2014_Valkenswaard,Gemeenteraad Valkenswaard 2014,0858,Valkenswaard,2014-03-19,Stembureau Zorgcentrum Kempenhof,0858::SB1,5554 JV,1801,1134,0,9,0,0,0,997,146,0,0,0,0,0,0,1143,285,320,103,95,75,256
,Valkenswaard,GR2014_Valkenswaard,Gemeenteraad Valkenswaard 2014,0858,Valkenswaard,2014-03-19,Stembureau Buurtgebouw De Horizon,0858::SB2,5554 PA,1340,706,3,7,0,0,0,657,59,0,0,0,0,0,0,716,131,232,71,49,51,172
,Valkenswaard,GR2014_Valkenswaard,Gemeenteraad Valkenswaard 2014,0858,Valkenswaard,2014-03-19,Stembureau Lunet zorg,0858::SB3,5554 TK,1721,676,4,2,0,0,0,615,67,0,0,0,0,0,0,682,187,199,65,36,36,153
,Valkenswaard,GR2014_Valkenswaard,Gemeenteraad Valkenswaard 2014,0858,Valkenswaard,2014-03-19,Stembureau Buurthuis de Hijskraan 't Gegraaf,0858::SB4,5552 NL,1354,718,1,3,0,0,0,657,65,0,0,0,0,0,0,722,148,254,60,29,36,191
,Valkenswaard,GR2014_Valkenswaard,Gemeenteraad Valkenswaard 2014,0858,Valkenswaard,2014-03-19,Stembureau TafeltennisVereniging Valkenswaard,0858::SB5,5552 KK,1762,730,2,2,0,0,0,646,89,0,1,0,1,0,0,735,124,234,73,80,58,161
,Valkenswaard,GR2014_Valkenswaard,Gemeenteraad Valkenswaard 2014,0858,Valkenswaard,2014-03-19,Stembureau Carolus gebouw,0858::SB6,5554 AG,1967,1003,5,4,0,0,0,904,108,0,0,0,0,0,0,1012,211,286,86,66,47,307
,Valkenswaard,GR2014_Valkenswaard,Gemeenteraad Valkenswaard 2014,0858,Valkenswaard,2014-03-19,Stembureau Trefcentrum D'n Turfberg,0858::SB7,5553 EL,1526,1030,6,9,0,0,0,929,116,0,0,0,0,0,0,1045,230,275,85,81,46,313
,Valkenswaard,GR2014_Valkenswaard,Gemeenteraad Valkenswaard 2014,0858,Valkenswaard,2014-03-19,Stembureau Gemeentehuis,0858::SB8,5554 DA,1907,994,2,2,0,0,0,887,111,0,0,0,0,0,0,998,211,257,118,88,43,277
,Valkenswaard,GR2014_Valkenswaard,Gemeenteraad Valkenswaard 2014,0858,Valkenswaard,2014-03-19,Stembureau Gemeentehuis,0858::SB9,5554 DA,1810,729,8,1,0,0,0,656,82,0,0,0,0,0,0,738,141,197,74,65,45,207
,Valkenswaard,GR2014_Valkenswaard,Gemeenteraad Valkenswaard 2014,0858,Valkenswaard,2014-03-19,Stembureau Zorgcentrum Taxandria,0858::SB10,5555 KL,1704,984,9,2,0,0,0,874,121,0,0,0,0,0,0,995,259,227,66,60,46,326
,Valkenswaard,GR2014_Valkenswaard,Gemeenteraad Valkenswaard 2014,0858,Valkenswaard,2014-03-19,Stembureau Parochiezaal H. Martinuskerk,0858::SB11,5551 AW,987,645,3,3,0,0,0,573,78,0,0,0,0,0,0,651,165,213,53,50,39,125
,Valkenswaard,GR2014_Valkenswaard,Gemeenteraad Valkenswaard 2014,0858,Valkenswaard,2014-03-19,Stembureau Dommelsche Bierbrouwerij,0858::SB12,5551 AE,1411,692,4,1,0,0,0,625,72,0,0,0,0,0,0,697,128,315,41,39,36,133
,Valkenswaard,GR2014_Valkenswaard,Gemeenteraad Valkenswaard 2014,0858,Valkenswaard,2014-03-19,Stembureau Sporthal de Belleman,0858::SB13,5551 EV,1548,938,8,11,0,0,0,876,81,0,0,0,0,0,0,957,170,360,93,62,45,208
,Valkenswaard,GR2014_Valkenswaard,Gemeenteraad Valkenswaard 2014,0858,Valkenswaard,2014-03-19,Stembureau Basisschool Schepelweijen,0858::SB14,5551 PN,1506,736,4,1,0,0,0,672,69,0,0,0,0,0,0,741,118,278,89,30,42,179
,Valkenswaard,GR2014_Valkenswaard,Gemeenteraad Valkenswaard 2014,0858,Valkenswaard,2014-03-19,Stembureau Clubgebouw  't Heike V.V. Dommelen,0858::SB15,5551 TE,1655,740,3,3,0,0,0,647,99,0,0,0,0,0,0,746,77,323,60,53,41,186
,Valkenswaard,GR2014_Valkenswaard,Gemeenteraad Valkenswaard 2014,0858,Valkenswaard,2014-03-19,Stembureau Het Dorpshuis,0858::SB16,5556 VL,882,521,2,1,0,0,0,461,62,0,0,1,0,1,0,523,252,90,24,35,17,103
