contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Nieuw Gemeentebelang,VVD,Partij van de Arbeid (P.v.d.A.),Politieke Vereniging Lijst Babijn,Dorpsbelangen & Toerisme,Helder Zeeuws,Democraten 66 (D66),SP (Socialistische Partij)
,Sluis,GR2014_Sluis,Gemeenteraad Sluis 2014,1714,Sluis,2014-03-19,Stembureau Ver.geb. Pro rege Oostburg,1714::SB1,,1860,849,3,1,0,0,0,756,97,0,0,0,0,0,0,853,190,105,87,85,152,78,18,54,80
,Sluis,GR2014_Sluis,Gemeenteraad Sluis 2014,1714,Sluis,2014-03-19,Stembureau Sociaal Cultureel Centrum den Hoekzak,1714::SB2,,2043,1133,3,6,0,0,0,1008,134,0,0,0,0,0,0,1142,204,138,121,158,158,128,18,106,102
,Sluis,GR2014_Sluis,Gemeenteraad Sluis 2014,1714,Sluis,2014-03-19,Stembureau Multifunctioneel gebouw Zuidzande,1714::SB3,,482,296,2,1,0,0,0,271,28,0,0,0,0,0,0,299,72,25,63,25,29,25,4,18,35
,Sluis,GR2014_Sluis,Gemeenteraad Sluis 2014,1714,Sluis,2014-03-19,Stembureau Verenigingsgebouw 't Zwin Cadzand,1714::SB4,,651,427,0,0,0,0,0,363,64,0,0,0,0,0,0,427,61,30,119,72,37,42,13,31,22
,Sluis,GR2014_Sluis,Gemeenteraad Sluis 2014,1714,Sluis,2014-03-19,Stembureau Dorpshuis Nieuwvliet,1714::SB5,,365,225,3,0,0,0,0,194,34,0,0,0,0,0,0,228,37,14,70,19,21,32,2,23,7
,Sluis,GR2014_Sluis,Gemeenteraad Sluis 2014,1714,Sluis,2014-03-19,Stembureau Multifunctioneelcentrum 't Torentje Groede,1714::SB6,,871,492,0,4,0,0,0,496,0,0,0,0,0,0,0,496,75,33,74,59,59,90,13,41,48
,Sluis,GR2014_Sluis,Gemeenteraad Sluis 2014,1714,Sluis,2014-03-19,Stembureau Brandweerkazerne Breskens,1714::SB7,,2070,879,0,7,0,0,0,746,140,0,0,0,0,0,0,886,97,81,131,86,55,176,124,46,83
,Sluis,GR2014_Sluis,Gemeenteraad Sluis 2014,1714,Sluis,2014-03-19,Stembureau Hooge Platen Breskens,1714::SB8,,1883,1036,2,2,0,0,0,928,113,0,1,0,1,0,0,1041,166,80,137,120,95,181,127,39,91
,Sluis,GR2014_Sluis,Gemeenteraad Sluis 2014,1714,Sluis,2014-03-19,Stembureau Dorpshuis Hoofdplaat,1714::SB9,,664,328,0,1,0,0,0,284,45,0,0,0,0,0,0,329,51,27,59,28,41,71,15,11,25
,Sluis,GR2014_Sluis,Gemeenteraad Sluis 2014,1714,Sluis,2014-03-19,Stembureau Huize Emmaus IJzendijke,1714::SB10,,1963,1093,2,10,0,1,0,956,150,0,0,0,1,0,0,1106,261,161,165,130,76,111,16,89,84
,Sluis,GR2014_Sluis,Gemeenteraad Sluis 2014,1714,Sluis,2014-03-19,Stembureau Hoofdingang Prot. Kerk Schoondijke,1714::SB11,,1213,642,0,0,0,0,0,576,66,0,0,0,0,0,0,642,116,58,73,76,53,171,20,20,55
,Sluis,GR2014_Sluis,Gemeenteraad Sluis 2014,1714,Sluis,2014-03-19,Stembureau Dorpshuis Waterlandkerkje,1714::SB12,,467,272,2,4,0,0,0,230,48,0,0,0,0,0,0,278,56,53,32,23,34,21,6,23,24
,Sluis,GR2014_Sluis,Gemeenteraad Sluis 2014,1714,Sluis,2014-03-19,Stembureau Dorpshuis Aardenburg,1714::SB13,,1988,1046,1,1,0,0,0,910,138,0,0,0,0,0,0,1048,267,237,86,142,127,62,1,44,80
,Sluis,GR2014_Sluis,Gemeenteraad Sluis 2014,1714,Sluis,2014-03-19,Stembureau Dorpshuis St. Kruis,1714::SB14,,248,183,0,0,0,0,0,139,44,0,0,0,0,0,0,183,48,52,10,1,9,42,3,10,8
,Sluis,GR2014_Sluis,Gemeenteraad Sluis 2014,1714,Sluis,2014-03-19,Stembureau Dorpshuis Eede,1714::SB15,,721,474,0,5,0,0,0,370,109,0,0,0,0,0,0,479,210,181,14,13,13,27,1,7,8
,Sluis,GR2014_Sluis,Gemeenteraad Sluis 2014,1714,Sluis,2014-03-19,Stembureau MFC de Keure Sluis,1714::SB16,,1998,1039,4,5,0,1,0,865,184,0,0,0,1,0,0,1049,208,321,183,84,50,39,9,67,78
,Sluis,GR2014_Sluis,Gemeenteraad Sluis 2014,1714,Sluis,2014-03-19,Stembureau Dorpshuis Retranchement,1714::SB17,,305,191,0,0,0,0,0,176,15,0,0,0,0,0,0,191,42,29,36,19,17,19,0,10,19
