contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij Groot Meerssen,CDA,FOCUS,BRUG-M,KIJK!!!/P.v.d.A./GROENLINKS/D66
,Meerssen,GR2014_Meerssen,Gemeenteraad Meerssen 2014,0938,Meerssen,2014-03-19,"Stembureau Markt 5, vh Brasserie Dinnertime",0938::SB1,6231 LR,1452,966,3,5,0,0,0,842,132,0,0,0,0,0,0,974,84,116,65,233,329,139
,Meerssen,GR2014_Meerssen,Gemeenteraad Meerssen 2014,0938,Meerssen,2014-03-19,Stembureau Zorgcentrum Beukeloord,0938::SB2,6231 JZ,1234,696,2,7,0,0,0,620,85,0,0,0,0,0,0,705,45,123,58,136,258,76
,Meerssen,GR2014_Meerssen,Gemeenteraad Meerssen 2014,0938,Meerssen,2014-03-19,Stembureau Gem.schapshuis De Stip,0938::SB3,6231 HG,1060,787,1,4,0,0,0,702,90,0,0,0,0,0,0,792,41,222,32,189,235,68
,Meerssen,GR2014_Meerssen,Gemeenteraad Meerssen 2014,0938,Meerssen,2014-03-19,Stembureau Ontmoetingscentrum de Ketel,0938::SB4,6231 GH,1060,624,11,6,0,0,0,553,88,0,0,0,0,0,0,641,36,205,12,145,192,34
,Meerssen,GR2014_Meerssen,Gemeenteraad Meerssen 2014,0938,Meerssen,2014-03-19,Stembureau gemeenschapshuis de Koel,0938::SB6,6231 BP,1421,893,0,2,0,0,0,780,115,0,0,0,0,0,0,895,50,484,19,164,127,49
,Meerssen,GR2014_Meerssen,Gemeenteraad Meerssen 2014,0938,Meerssen,2014-03-19,Stembureau Scoutinggebouw Bunde,0938::SB12,6241 GA,1057,689,9,2,0,0,0,625,75,0,0,0,0,0,0,700,173,69,39,107,190,111
,Meerssen,GR2014_Meerssen,Gemeenteraad Meerssen 2014,0938,Meerssen,2014-03-19,Stembureau Zorgcentrum de Wilgenhof,0938::SB13,6241 BH,1219,909,8,6,0,0,0,827,96,0,0,0,0,0,0,923,123,156,98,181,260,91
,Meerssen,GR2014_Meerssen,Gemeenteraad Meerssen 2014,0938,Meerssen,2014-03-19,Stembureau Zalencentrum De Auw Kerk,0938::SB14,6241 CR,1183,831,1,3,0,0,0,729,106,0,0,0,0,0,0,835,198,95,40,202,173,123
,Meerssen,GR2014_Meerssen,Gemeenteraad Meerssen 2014,0938,Meerssen,2014-03-19,Stembureau Woonbegeleidingscentrum Aan de Pas,0938::SB15,6241 CT,1246,377,9,3,0,0,0,343,46,0,0,0,0,0,0,389,31,56,34,90,98,68
,Meerssen,GR2014_Meerssen,Gemeenteraad Meerssen 2014,0938,Meerssen,2014-03-19,Stembureau zaal 't Wapen van Geulle,0938::SB16,6243 BN,1302,857,4,7,0,0,0,776,92,0,0,0,0,0,0,868,36,172,174,262,149,64
,Meerssen,GR2014_Meerssen,Gemeenteraad Meerssen 2014,0938,Meerssen,2014-03-19,Stembureau Zorgcentrum  Avé Maria,0938::SB17,6243 AG,1228,721,3,6,0,0,0,656,74,0,0,0,0,0,0,730,74,85,187,148,156,71
,Meerssen,GR2014_Meerssen,Gemeenteraad Meerssen 2014,0938,Meerssen,2014-03-19,Stembureau Gemeenschapshuis D'n Huppel,0938::SB21,6235 AC,1234,823,5,1,0,0,0,725,104,0,0,0,0,0,0,829,39,44,116,255,314,55
,Meerssen,GR2014_Meerssen,Gemeenteraad Meerssen 2014,0938,Meerssen,2014-03-19,Stembureau Basisschool de Triangel,0938::SB22,6235 BP,1099,693,14,2,0,0,0,624,85,0,0,0,0,0,0,709,38,42,67,197,298,51
