contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),VVD,Democraten 66 (D66),ROODGEWOON,GROENLINKS,CDA,ChristenUnie,HS Centraal!,SP (Socialistische Partij)
,Hoogezand-Sappemeer,GR2014_HoogezandSappemeer,Gemeenteraad Hoogezand-Sappemeer 2014,0018,Hoogezand-Sappemeer,2014-03-19,Stembureau Gemeentehuis,0018::SB1,,1150,1017,3,7,0,0,0,925,103,0,0,0,1,0,0,1028,135,166,136,74,71,80,83,136,136
,Hoogezand-Sappemeer,GR2014_HoogezandSappemeer,Gemeenteraad Hoogezand-Sappemeer 2014,0018,Hoogezand-Sappemeer,2014-03-19,Stembureau De Reensche Compagnie,0018::SB2,,1159,588,2,3,0,0,0,535,58,0,0,0,0,0,0,593,151,27,35,64,25,35,48,56,147
,Hoogezand-Sappemeer,GR2014_HoogezandSappemeer,Gemeenteraad Hoogezand-Sappemeer 2014,0018,Hoogezand-Sappemeer,2014-03-19,Stembureau Woonzorgcentrum Voor Anker,0018::SB3,,1381,803,2,2,0,0,0,749,58,0,0,0,0,0,0,807,106,107,100,46,47,68,56,117,156
,Hoogezand-Sappemeer,GR2014_HoogezandSappemeer,Gemeenteraad Hoogezand-Sappemeer 2014,0018,Hoogezand-Sappemeer,2014-03-19,Stembureau Basisschool De Schakel,0018::SB4,,1307,478,3,2,0,0,0,434,49,0,0,0,0,0,0,483,74,31,38,76,26,36,24,77,96
,Hoogezand-Sappemeer,GR2014_HoogezandSappemeer,Gemeenteraad Hoogezand-Sappemeer 2014,0018,Hoogezand-Sappemeer,2014-03-19,Stembureau Dorpshuis Westerbroek,0018::SB5,,712,396,1,2,0,0,0,369,30,0,0,0,0,0,0,399,44,58,42,50,32,28,16,25,101
,Hoogezand-Sappemeer,GR2014_HoogezandSappemeer,Gemeenteraad Hoogezand-Sappemeer 2014,0018,Hoogezand-Sappemeer,2014-03-19,Stembureau MFC Foxhol,0018::SB6,,909,469,1,0,0,0,0,407,63,0,0,0,0,0,0,470,42,34,36,140,18,30,39,47,83
,Hoogezand-Sappemeer,GR2014_HoogezandSappemeer,Gemeenteraad Hoogezand-Sappemeer 2014,0018,Hoogezand-Sappemeer,2014-03-19,Stembureau Dorpshuis Kropswolde,0018::SB7,,1470,971,0,1,0,0,0,867,106,0,1,0,1,0,0,973,59,369,188,42,64,51,47,60,91
,Hoogezand-Sappemeer,GR2014_HoogezandSappemeer,Gemeenteraad Hoogezand-Sappemeer 2014,0018,Hoogezand-Sappemeer,2014-03-19,Stembureau Woldhuus Kiel-Windeweer,0018::SB8,,697,394,3,2,0,0,0,363,36,0,0,0,0,0,0,399,42,92,62,44,33,23,19,22,57
,Hoogezand-Sappemeer,GR2014_HoogezandSappemeer,Gemeenteraad Hoogezand-Sappemeer 2014,0018,Hoogezand-Sappemeer,2014-03-19,Stembureau Wijkcentrum Spokie,0018::SB9,,1210,577,3,2,0,0,0,520,62,0,0,0,0,0,0,582,102,29,38,62,65,27,35,105,114
,Hoogezand-Sappemeer,GR2014_HoogezandSappemeer,Gemeenteraad Hoogezand-Sappemeer 2014,0018,Hoogezand-Sappemeer,2014-03-19,Stembureau Centrum De Stijgbeugel,0018::SB10,,1215,628,4,2,0,0,0,579,55,0,0,0,0,0,0,634,110,66,38,77,72,40,46,73,106
,Hoogezand-Sappemeer,GR2014_HoogezandSappemeer,Gemeenteraad Hoogezand-Sappemeer 2014,0018,Hoogezand-Sappemeer,2014-03-19,Stembureau Wijkcentrum De Kern,0018::SB11,,1460,672,4,1,0,0,0,621,56,0,0,0,0,0,0,677,98,62,56,79,31,51,46,80,169
,Hoogezand-Sappemeer,GR2014_HoogezandSappemeer,Gemeenteraad Hoogezand-Sappemeer 2014,0018,Hoogezand-Sappemeer,2014-03-19,"Stembureau Wijkcentrum ""'t Spinneweb""",0018::SB12,,1228,558,1,0,0,0,0,501,58,0,0,0,0,0,0,559,89,42,43,73,43,49,49,53,117
,Hoogezand-Sappemeer,GR2014_HoogezandSappemeer,Gemeenteraad Hoogezand-Sappemeer 2014,0018,Hoogezand-Sappemeer,2014-03-19,Stembureau Basisschool Heidemeer,0018::SB13,,1126,517,4,0,0,0,0,475,46,0,0,0,0,0,0,521,61,65,54,61,37,40,34,79,86
