contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,GemeenteBelangen,Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),PW 2010,BAMM,ChristenUnie,Onafh. Westfriese Partij (OWP),Progressief West-Friesland,GROENLINKS
,Medemblik,GR2014_Medemblik,Gemeenteraad Medemblik 2014,0420,Medemblik,2014-03-19,Stembureau Voormalig stadhuis Medemblik,0420::SB1,1671 AW,1512,750,3,2,0,0,0,664,91,0,0,0,0,0,0,755,166,105,163,112,35,5,11,15,34,91,13
,Medemblik,GR2014_Medemblik,Gemeenteraad Medemblik 2014,0420,Medemblik,2014-03-19,Stembureau Verzorgingshuis Sint Martinus,0420::SB2,1671 CS,1295,631,1,4,0,0,0,574,62,0,0,0,0,0,0,636,132,102,141,69,30,2,2,18,45,70,20
,Medemblik,GR2014_Medemblik,Gemeenteraad Medemblik 2014,0420,Medemblik,2014-03-19,Stembureau Peuterspeelzaal Het Speelkasteel,0420::SB3,1671 KG,1430,633,3,4,0,1,0,580,59,0,0,1,0,0,0,639,133,73,144,54,52,4,4,27,55,68,19
,Medemblik,GR2014_Medemblik,Gemeenteraad Medemblik 2014,0420,Medemblik,2014-03-19,Stembureau Sporthal De Muiter,0420::SB4,1671 JA,1159,664,1,0,0,0,0,592,75,0,2,0,665,0,0,667,171,49,130,54,46,6,5,32,81,79,11
,Medemblik,GR2014_Medemblik,Gemeenteraad Medemblik 2014,0420,Medemblik,2014-03-19,Stembureau OBS de Meridiaan,0420::SB5,1671 JZ,1187,413,1,5,0,0,0,334,85,0,0,0,0,0,0,419,138,33,74,50,20,3,11,5,32,41,6
,Medemblik,GR2014_Medemblik,Gemeenteraad Medemblik 2014,0420,Medemblik,2014-03-19,Stembureau Woonzorgcentrum Koggenlandhuis,0420::SB6,1679 VH,1819,925,1,1,0,7,0,854,80,0,0,0,7,0,0,934,174,117,170,93,143,6,5,23,65,54,75
,Medemblik,GR2014_Medemblik,Gemeenteraad Medemblik 2014,0420,Medemblik,2014-03-19,Stembureau Wijksteunpunt Woudrust,0420::SB7,1678 HK,707,406,1,2,1,0,0,379,31,0,0,0,1,0,0,410,39,42,78,49,46,5,5,5,47,48,42
,Medemblik,GR2014_Medemblik,Gemeenteraad Medemblik 2014,0420,Medemblik,2014-03-19,Stembureau Dorpshuis  De Werf,0420::SB8,1691 EC,594,327,0,1,0,0,0,313,15,0,0,0,0,0,0,328,60,57,45,35,59,3,6,4,5,38,15
,Medemblik,GR2014_Medemblik,Gemeenteraad Medemblik 2014,0420,Medemblik,2014-03-19,Stembureau Dorpshuis De Vang,0420::SB9,1654 KB,1296,695,1,2,0,0,0,627,72,0,1,0,1,0,0,699,99,150,214,80,77,4,3,14,16,18,20
,Medemblik,GR2014_Medemblik,Gemeenteraad Medemblik 2014,0420,Medemblik,2014-03-19,Stembureau Dorpshuis De Nieuwe Haven,0420::SB10,1657 AH,1860,933,3,4,0,1,0,838,103,0,0,0,1,0,0,941,137,121,380,74,63,53,4,19,23,29,30
,Medemblik,GR2014_Medemblik,Gemeenteraad Medemblik 2014,0420,Medemblik,2014-03-19,Stembureau Dorpshuis Twisk,0420::SB11,1676 GG,787,476,0,0,0,0,0,420,56,0,0,0,0,0,0,476,97,28,154,32,59,4,7,17,27,16,35
,Medemblik,GR2014_Medemblik,Gemeenteraad Medemblik 2014,0420,Medemblik,2014-03-19,Stembureau Dorpshuis De Torenschouw,0420::SB12,1674 NE,1492,813,1,4,0,0,0,713,105,0,0,0,0,0,0,818,99,226,103,39,36,9,12,201,28,36,24
,Medemblik,GR2014_Medemblik,Gemeenteraad Medemblik 2014,0420,Medemblik,2014-03-19,Stembureau Gemeentehuis  Medemblik,0420::SB13,1687 CD,1487,935,0,2,0,2,0,843,96,0,0,0,2,0,0,939,237,268,83,61,185,5,8,8,7,49,24
,Medemblik,GR2014_Medemblik,Gemeenteraad Medemblik 2014,0420,Medemblik,2014-03-19,Stembureau Sweelinckhof,0420::SB14,1687 BV,1352,580,0,0,0,0,0,544,36,0,0,0,0,0,0,580,113,211,64,34,85,3,7,2,4,40,17
,Medemblik,GR2014_Medemblik,Gemeenteraad Medemblik 2014,0420,Medemblik,2014-03-19,Stembureau Cultureel Centrum Bessie,0420::SB15,1688 CH,998,607,0,0,0,0,0,559,48,0,0,0,0,0,0,607,114,197,28,16,200,5,2,7,0,32,6
,Medemblik,GR2014_Medemblik,Gemeenteraad Medemblik 2014,0420,Medemblik,2014-03-19,Stembureau Wijksteunpunt de Hoge Weide,0420::SB16,1688 BZ,869,545,1,0,0,0,0,498,48,0,0,0,0,0,0,546,67,190,30,16,207,1,1,6,6,16,5
,Medemblik,GR2014_Medemblik,Gemeenteraad Medemblik 2014,0420,Medemblik,2014-03-19,Stembureau De Wildebras,0420::SB17,1685 PK,448,263,1,0,0,0,0,231,33,0,0,0,0,0,0,264,41,75,5,8,7,0,4,1,2,115,5
,Medemblik,GR2014_Medemblik,Gemeenteraad Medemblik 2014,0420,Medemblik,2014-03-19,Stembureau De Bloesem,0420::SB18,1687 RA,1501,891,0,0,0,0,0,802,89,0,0,0,0,0,0,891,209,249,64,48,198,1,4,2,13,69,34
,Medemblik,GR2014_Medemblik,Gemeenteraad Medemblik 2014,0420,Medemblik,2014-03-19,Stembureau Verzorgingshuis Sorghvliet,0420::SB20,1619 XC,1410,739,3,1,0,0,0,686,57,0,0,0,0,0,0,743,86,192,11,58,37,8,123,132,8,31,53
,Medemblik,GR2014_Medemblik,Gemeenteraad Medemblik 2014,0420,Medemblik,2014-03-19,Stembureau Basisschool De Bangert,0420::SB21,1619 CT,1389,738,6,3,0,0,0,679,68,0,0,0,0,0,0,747,108,220,25,55,63,20,107,17,7,26,90
,Medemblik,GR2014_Medemblik,Gemeenteraad Medemblik 2014,0420,Medemblik,2014-03-19,Stembureau Idenburgschool,0420::SB22,1619 HB,942,510,1,1,0,0,0,447,65,0,0,0,0,0,0,512,53,140,9,31,18,4,79,111,6,14,45
,Medemblik,GR2014_Medemblik,Gemeenteraad Medemblik 2014,0420,Medemblik,2014-03-19,Stembureau Basisschool De Piramide,0420::SB23,1619 VC,1380,785,2,2,0,0,0,718,71,0,0,0,0,0,0,789,112,176,22,50,45,11,148,139,11,29,42
,Medemblik,GR2014_Medemblik,Gemeenteraad Medemblik 2014,0420,Medemblik,2014-03-19,Stembureau Verzorgingshuis St. Jozef,0420::SB25,1693 DC,1220,659,4,2,0,0,0,605,60,0,0,0,0,0,0,665,92,252,32,10,44,164,15,8,8,16,18
,Medemblik,GR2014_Medemblik,Gemeenteraad Medemblik 2014,0420,Medemblik,2014-03-19,Stembureau De Dijkwerkers,0420::SB26,1693 KT,988,476,1,0,0,0,0,435,42,0,0,0,0,0,0,477,75,117,26,9,35,174,2,8,6,12,12
,Medemblik,GR2014_Medemblik,Gemeenteraad Medemblik 2014,0420,Medemblik,2014-03-19,Stembureau Basisschool  De Schelp,0420::SB27,1693 GV,1113,609,4,1,0,0,0,614,0,0,0,0,0,0,0,614,63,146,54,31,48,210,6,10,7,22,12
,Medemblik,GR2014_Medemblik,Gemeenteraad Medemblik 2014,0420,Medemblik,2014-03-19,Stembureau Cafe De Hoek,0420::SB28,1693 AA,1278,691,3,2,0,0,0,645,51,0,0,0,0,0,0,696,130,244,22,16,32,198,1,5,1,25,17
,Medemblik,GR2014_Medemblik,Gemeenteraad Medemblik 2014,0420,Medemblik,2014-03-19,Stembureau Dorpshuis De Onderdijk,0420::SB29,1693 CZ,1263,702,5,4,0,0,0,641,70,0,0,0,0,0,0,711,65,136,305,14,38,72,14,10,14,25,9
,Medemblik,GR2014_Medemblik,Gemeenteraad Medemblik 2014,0420,Medemblik,2014-03-19,Stembureau Dorpshuis Zwaagdijk,0420::SB30,1682 NP,882,464,3,1,0,0,0,422,46,0,0,0,0,0,0,468,106,134,77,18,26,59,5,5,9,18,7
