contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,PAPENDRECHTS ALGEMEEN BELANG,VVD,Christen Democratisch Appèl (CDA),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Democraten 66 (D66),Staatkundig Gereformeerde Partij (SGP),GROENLINKS,Onafhankelijk Papendrecht
,Papendrecht,GR2014_Papendrecht,Gemeenteraad Papendrecht 2014,0590,Papendrecht,2014-03-19,Stembureau Gemeentehuis,0590::SB1,3351 PB,1562,1128,4,4,0,0,0,1021,115,0,0,0,0,0,0,1136,257,177,186,101,83,142,84,31,67
,Papendrecht,GR2014_Papendrecht,Gemeenteraad Papendrecht 2014,0590,Papendrecht,2014-03-19,Stembureau Elimkerk,0590::SB2,3351 ER,1086,599,3,3,0,0,0,552,53,0,0,0,0,0,0,605,151,25,76,39,106,29,102,32,39
,Papendrecht,GR2014_Papendrecht,Gemeenteraad Papendrecht 2014,0590,Papendrecht,2014-03-19,Stembureau Morgensterkerk,0590::SB3,3352 VD,1324,557,2,2,0,0,0,506,55,0,0,0,0,0,0,561,155,41,90,71,49,35,36,28,52
,Papendrecht,GR2014_Papendrecht,Gemeenteraad Papendrecht 2014,0590,Papendrecht,2014-03-19,Stembureau Oranje-Nassauschool,0590::SB4,3353 AT,1031,551,1,2,0,0,0,513,41,0,0,0,0,0,0,554,133,61,72,37,89,38,54,31,36
,Papendrecht,GR2014_Papendrecht,Gemeenteraad Papendrecht 2014,0590,Papendrecht,2014-03-19,Stembureau RK-parochie,0590::SB5,3352 VJ,1361,662,3,1,0,0,0,600,66,0,0,0,0,0,0,666,226,47,66,88,47,84,36,24,44
,Papendrecht,GR2014_Papendrecht,Gemeenteraad Papendrecht 2014,0590,Papendrecht,2014-03-19,Stembureau Bethlehemkerk,0590::SB6,3351 HA,1196,369,3,1,0,0,0,342,31,0,0,0,0,0,0,373,80,38,79,20,40,28,36,30,18
,Papendrecht,GR2014_Papendrecht,Gemeenteraad Papendrecht 2014,0590,Papendrecht,2014-03-19,Stembureau Sionskerk,0590::SB7,3351 JT,1219,742,3,0,0,0,0,667,78,0,0,0,0,0,0,745,169,90,89,36,102,77,72,64,43
,Papendrecht,GR2014_Papendrecht,Gemeenteraad Papendrecht 2014,0590,Papendrecht,2014-03-19,Stembureau De Viermaster,0590::SB8,3351 GZ,1279,556,1,1,0,0,0,501,57,0,0,0,0,0,0,558,129,55,39,50,70,67,32,43,71
,Papendrecht,GR2014_Papendrecht,Gemeenteraad Papendrecht 2014,0590,Papendrecht,2014-03-19,Stembureau Sporthal De Laaght,0590::SB9,3351 RL,1183,781,5,4,0,0,0,712,78,0,0,0,0,0,0,790,241,63,78,93,75,52,53,49,77
,Papendrecht,GR2014_Papendrecht,Gemeenteraad Papendrecht 2014,0590,Papendrecht,2014-03-19,Stembureau De Knotwilg loc. Leilinde,0590::SB10,3352 BM,1393,723,2,0,0,0,0,639,86,0,0,0,0,0,0,725,198,105,71,72,46,102,24,58,47
,Papendrecht,GR2014_Papendrecht,Gemeenteraad Papendrecht 2014,0590,Papendrecht,2014-03-19,Stembureau De Lage Waard,0590::SB11,3352 VH,1287,724,1,0,0,0,0,655,70,0,0,0,0,0,0,725,200,76,119,62,57,102,18,45,45
,Papendrecht,GR2014_Papendrecht,Gemeenteraad Papendrecht 2014,0590,Papendrecht,2014-03-19,Stembureau Prins Florisschool ingang Elzenzoom,0590::SB12,3355 AJ,1187,380,0,0,0,0,0,326,54,0,0,0,0,0,0,380,107,61,62,13,48,26,13,36,14
,Papendrecht,GR2014_Papendrecht,Gemeenteraad Papendrecht 2014,0590,Papendrecht,2014-03-19,Stembureau De Knotwilg loc. Moerbeihof,0590::SB13,3355 AJ,1194,1082,0,4,0,0,0,961,125,0,0,0,0,0,0,1086,342,193,115,72,56,134,50,53,67
