contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,RUCPHENSE VOLKSPARTIJ (RVP),CDA,Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.)
,Rucphen,GR2014_Rucphen,Gemeenteraad Rucphen 2014,0840,Rucphen,2014-03-19,Stembureau Oud Gemeentehuis,0840::SB1,4715CB,1333,991,1,0,0,0,0,823,169,0,0,0,0,0,0,992,406,232,199,98,56
,Rucphen,GR2014_Rucphen,Gemeenteraad Rucphen 2014,0840,Rucphen,2014-03-19,Stembureau Centrum voor wonen&zorg Kerkakkers,0840::SB2,4715HE,1276,614,3,1,0,0,0,531,87,0,0,0,0,0,0,618,256,108,145,68,37
,Rucphen,GR2014_Rucphen,Gemeenteraad Rucphen 2014,0840,Rucphen,2014-03-19,Stembureau Steunpunt de Schuitvaart,0840::SB3,4715ET,1059,398,2,0,0,0,0,341,59,0,0,0,0,0,0,400,180,103,51,33,31
,Rucphen,GR2014_Rucphen,Gemeenteraad Rucphen 2014,0840,Rucphen,2014-03-19,Stembureau Gemeenschapshuis d'n Hoge Dries,0840::SB4,4721AC,1366,754,0,0,0,0,0,645,109,0,0,0,0,0,0,754,295,65,308,67,19
,Rucphen,GR2014_Rucphen,Gemeenteraad Rucphen 2014,0840,Rucphen,2014-03-19,Stembureau Centrum Jeugd en Gezin,0840::SB5,4714AB,1245,663,2,5,0,0,0,535,135,0,0,0,0,0,0,670,289,154,53,108,59
,Rucphen,GR2014_Rucphen,Gemeenteraad Rucphen 2014,0840,Rucphen,2014-03-19,Stembureau Steunpunt St Janshof,0840::SB6,4714EV,1490,844,3,7,0,0,0,681,173,0,0,0,0,0,0,854,441,148,120,92,43
,Rucphen,GR2014_Rucphen,Gemeenteraad Rucphen 2014,0840,Rucphen,2014-03-19,Stembureau Sportpark de Kerlinge,0840::SB7,4714BW,1238,581,0,1,0,0,0,481,101,0,0,0,0,0,0,582,296,71,111,63,40
,Rucphen,GR2014_Rucphen,Gemeenteraad Rucphen 2014,0840,Rucphen,2014-03-19,Stembureau Sportpark Rood-Wit,0840::SB8,4711AV,1500,666,4,0,0,0,0,516,154,0,0,0,0,0,0,670,193,340,45,59,29
,Rucphen,GR2014_Rucphen,Gemeenteraad Rucphen 2014,0840,Rucphen,2014-03-19,Stembureau Zorgcentrum de Vlegter/Kim,0840::SB9,4711EH,1605,717,1,2,0,0,0,544,176,0,0,0,0,0,0,720,240,349,38,52,38
,Rucphen,GR2014_Rucphen,Gemeenteraad Rucphen 2014,0840,Rucphen,2014-03-19,Stembureau MFC Scouting,0840::SB10,4711HA,1496,716,2,6,0,0,0,542,182,0,0,0,0,0,0,724,194,406,38,45,33
,Rucphen,GR2014_Rucphen,Gemeenteraad Rucphen 2014,0840,Rucphen,2014-03-19,Stembureau Voormalig Politiebureau,0840::SB11,4711JZ,1995,689,0,0,0,0,0,533,156,0,0,0,0,0,0,689,200,331,29,81,48
,Rucphen,GR2014_Rucphen,Gemeenteraad Rucphen 2014,0840,Rucphen,2014-03-19,Stembureau Gemeentehuis,0840::SB12,4715RW,1282,468,1,0,0,0,0,371,98,0,0,0,0,0,0,469,187,158,43,65,15
,Rucphen,GR2014_Rucphen,Gemeenteraad Rucphen 2014,0840,Rucphen,2014-03-19,Stembureau Steunpunt Mariavaart,0840::SB13,4735AT,1662,804,4,4,0,0,0,704,108,0,0,0,0,0,0,812,223,156,104,287,34
