contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Progressief Oegstgeest,Leefbaar Oegstgeest,VVD,CDA,Libertarische Partij (LP),Lokaal Oegstgeest,Democraten 66 (D66)
,Oegstgeest,GR2014_Oegstgeest,Gemeenteraad Oegstgeest 2014,0579,Oegstgeest,2014-03-19,Stembureau Gemeentehuis,0579::SB1,2342 AN,1447,1138,10,2,0,0,0,1024,126,0,0,0,0,0,0,1150,163,221,278,130,6,57,283
,Oegstgeest,GR2014_Oegstgeest,Gemeenteraad Oegstgeest 2014,0579,Oegstgeest,2014-03-19,"Stembureau Zorgcentrum ""van Wijckerslooth""",0579::SB2,2341 DB,1346,816,2,5,0,2,0,757,68,0,0,0,2,0,0,825,117,125,220,129,3,49,173
,Oegstgeest,GR2014_Oegstgeest,Gemeenteraad Oegstgeest 2014,0579,Oegstgeest,2014-03-19,Stembureau Recreatiezaal Trompenburg,0579::SB3,2341 TJ,1440,872,2,4,0,0,0,757,121,0,0,0,0,0,0,878,145,198,157,90,9,71,202
,Oegstgeest,GR2014_Oegstgeest,Gemeenteraad Oegstgeest 2014,0579,Oegstgeest,2014-03-19,"Stembureau zorgcentrum ""Hofwijck""",0579::SB4,2341 SC,898,718,2,1,0,0,0,649,72,0,0,0,0,0,0,721,100,130,160,90,4,46,188
,Oegstgeest,GR2014_Oegstgeest,Gemeenteraad Oegstgeest 2014,0579,Oegstgeest,2014-03-19,"Stembureau Basisschool ""de Kring""",0579::SB5,2343 SR,1144,814,9,1,0,3,0,742,85,0,0,0,3,0,0,827,135,149,176,87,6,76,185
,Oegstgeest,GR2014_Oegstgeest,Gemeenteraad Oegstgeest 2014,0579,Oegstgeest,2014-03-19,Stembureau Gemeentecentrum Lijtweg,0579::SB6,2341 HA,1486,1182,6,5,0,0,0,1096,97,0,0,0,0,0,0,1193,207,181,213,221,13,99,248
,Oegstgeest,GR2014_Oegstgeest,Gemeenteraad Oegstgeest 2014,0579,Oegstgeest,2014-03-19,Stembureau Brandweerkazerne,0579::SB7,2343 BB,1554,873,2,3,0,1,0,796,83,0,0,0,1,0,0,879,165,135,132,155,16,113,157
,Oegstgeest,GR2014_Oegstgeest,Gemeenteraad Oegstgeest 2014,0579,Oegstgeest,2014-03-19,"Stembureau Buurthuis ""De Kratong""",0579::SB8,2341 XB,1260,403,5,1,0,0,0,370,39,0,0,0,0,0,0,409,60,49,77,70,13,50,84
,Oegstgeest,GR2014_Oegstgeest,Gemeenteraad Oegstgeest 2014,0579,Oegstgeest,2014-03-19,Stembureau woonlocatie Tilly Koenen,0579::SB9,2343 PG,1134,640,1,1,0,1,0,585,58,0,0,0,1,0,0,643,132,97,97,99,9,79,127
,Oegstgeest,GR2014_Oegstgeest,Gemeenteraad Oegstgeest 2014,0579,Oegstgeest,2014-03-19,Stembureau recreatiezaal Boerhaaveplein,0579::SB10,2343 LW,1259,736,8,4,0,0,0,680,69,0,1,0,1,0,0,749,197,107,93,116,8,78,137
,Oegstgeest,GR2014_Oegstgeest,Gemeenteraad Oegstgeest 2014,0579,Oegstgeest,2014-03-19,Stembureau Daltonschool Oegstgeest,0579::SB11,2341 BK,1013,694,6,3,0,0,0,633,71,0,1,0,1,0,0,704,143,83,118,106,8,68,168
,Oegstgeest,GR2014_Oegstgeest,Gemeenteraad Oegstgeest 2014,0579,Oegstgeest,2014-03-19,Stembureau Verenigingsgebouw Attila,0579::SB12,2343 MA,1425,705,2,2,0,0,0,634,75,0,0,0,0,0,0,709,125,123,133,100,6,92,126
,Oegstgeest,GR2014_Oegstgeest,Gemeenteraad Oegstgeest 2014,0579,Oegstgeest,2014-03-19,Stembureau BSO de Vrije Vogels,0579::SB13,2341 PM,1027,733,6,0,0,0,0,652,87,0,0,0,0,0,0,739,166,63,174,74,8,77,171
,Oegstgeest,GR2014_Oegstgeest,Gemeenteraad Oegstgeest 2014,0579,Oegstgeest,2014-03-19,Stembureau Wellantcollege,0579::SB14,2341 KD,1106,501,1,3,0,0,0,449,56,0,0,0,0,0,0,505,68,64,145,56,8,61,99
