contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,FNP,Partij van de Arbeid (P.v.d.A.),ChristenUnie,Algemeen Belang Dongeradeel,VVD,Dongeradeel Sociaal,Artikel50
,Dongeradeel,GR2014_Dongeradeel,Gemeenteraad Dongeradeel 2014,0058,Dongeradeel,2014-03-19,Stembureau gebouw Het Bolwerk (zij-ingang),0058::SB1,9101 JV,1368,704,4,3,0,0,0,663,48,0,0,0,0,0,0,711,148,151,123,47,61,90,51,33
,Dongeradeel,GR2014_Dongeradeel,Gemeenteraad Dongeradeel 2014,0058,Dongeradeel,2014-03-19,Stembureau CBS Eben Haëzer,0058::SB2,9101 AC,1326,880,2,1,0,1,0,812,72,0,0,0,1,0,0,884,280,190,70,129,59,41,94,17
,Dongeradeel,GR2014_Dongeradeel,Gemeenteraad Dongeradeel 2014,0058,Dongeradeel,2014-03-19,Stembureau verzorgingshuis Dongeraheem,0058::SB3,9101 GC,1251,764,1,7,0,0,0,700,71,0,0,1,0,1,0,771,264,128,49,123,67,39,72,22
,Dongeradeel,GR2014_Dongeradeel,Gemeenteraad Dongeradeel 2014,0058,Dongeradeel,2014-03-19,Stembureau CBS De Hoeksteen,0058::SB4,9101 HE,1077,562,2,3,0,0,0,512,53,0,0,2,0,2,0,565,108,110,59,99,52,25,86,23
,Dongeradeel,GR2014_Dongeradeel,Gemeenteraad Dongeradeel 2014,0058,Dongeradeel,2014-03-19,Stembureau De Fontein,0058::SB5,9101 DG,1237,714,3,2,0,0,0,669,50,0,0,0,0,0,0,719,204,150,71,101,52,28,92,16
,Dongeradeel,GR2014_Dongeradeel,Gemeenteraad Dongeradeel 2014,0058,Dongeradeel,2014-03-19,Stembureau CBS De Regenboog,0058::SB6,9101 DR,947,642,5,1,0,0,0,600,48,0,0,0,0,0,0,648,170,122,59,73,83,32,89,14
,Dongeradeel,GR2014_Dongeradeel,Gemeenteraad Dongeradeel 2014,0058,Dongeradeel,2014-03-19,Stembureau verpleeghuis De Waadwente,0058::SB7,9101 DA,1736,965,4,0,0,0,0,908,61,0,0,0,0,0,0,969,345,178,78,117,81,57,83,26
,Dongeradeel,GR2014_Dongeradeel,Gemeenteraad Dongeradeel 2014,0058,Dongeradeel,2014-03-19,Stembureau CBS De Bron,0058::SB8,9101 WB,1078,697,5,1,0,0,0,647,58,2,0,0,2,0,0,705,206,112,74,65,57,57,118,8
,Dongeradeel,GR2014_Dongeradeel,Gemeenteraad Dongeradeel 2014,0058,Dongeradeel,2014-03-19,Stembureau gemeenschapscentrum De Dobbe,0058::SB11,9133 MA,870,465,6,3,0,0,0,419,55,0,0,0,0,0,0,474,166,98,17,44,79,18,32,11
,Dongeradeel,GR2014_Dongeradeel,Gemeenteraad Dongeradeel 2014,0058,Dongeradeel,2014-03-19,Stembureau dorpshuis De Nije Pôle,0058::SB12,9155 AM,243,187,2,0,0,0,0,174,15,0,0,0,0,0,0,189,58,78,13,17,7,2,11,1
