contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,FNP,Partij van de Arbeid (P.v.d.A.),ChristenUnie,GemeenteBelangen Achtkarspelen,VVD
,Achtkarspelen,GR2014_Achtkarspelen,Gemeenteraad Achtkarspelen 2014,0059,Achtkarspelen,2014-03-19,"Stembureau BP I, Streekmuzieksch. De Wâldsang",0059::SB1,9285 RZ,1738,1015,5,2,0,0,0,926,96,0,0,0,0,0,0,1022,254,135,178,288,95,65
,Achtkarspelen,GR2014_Achtkarspelen,Gemeenteraad Achtkarspelen 2014,0059,Achtkarspelen,2014-03-19,"Stembureau BP II, ""It Koartling""",0059::SB2,9285 NE,1270,687,3,1,0,0,0,623,68,0,0,0,0,0,0,691,170,124,120,113,100,60
,Achtkarspelen,GR2014_Achtkarspelen,Gemeenteraad Achtkarspelen 2014,0059,Achtkarspelen,2014-03-19,"Stembureau BP III, Zorgcentrum ""Haersmahiem""",0059::SB3,9285 TR,1486,1147,3,4,0,0,0,1064,90,0,0,0,0,0,0,1154,305,157,194,295,129,67
,Achtkarspelen,GR2014_Achtkarspelen,Gemeenteraad Achtkarspelen 2014,0059,Achtkarspelen,2014-03-19,"Stembureau SV I, Schoolgebouw ""De Bêrnebrege"".",0059::SB4,9231 JJ,1495,794,2,1,0,0,0,691,106,0,0,0,0,0,0,797,211,97,131,135,165,55
,Achtkarspelen,GR2014_Achtkarspelen,Gemeenteraad Achtkarspelen 2014,0059,Achtkarspelen,2014-03-19,"Stembureau SV II, Zorgcentrum""'t Suyderhuys""",0059::SB5,9231 BB,1714,970,8,1,0,0,0,858,121,0,0,0,0,0,0,979,301,147,193,133,114,82
,Achtkarspelen,GR2014_Achtkarspelen,Gemeenteraad Achtkarspelen 2014,0059,Achtkarspelen,2014-03-19,"Stembureau SV III, Ver. gebouw ""De Lantearne""",0059::SB6,9231 CA,1453,875,1,0,0,0,0,755,121,0,0,0,0,0,0,876,228,171,124,135,158,59
,Achtkarspelen,GR2014_Achtkarspelen,Gemeenteraad Achtkarspelen 2014,0059,Achtkarspelen,2014-03-19,"Stembureau HK I, ""De Fûgelkamp""",0059::SB7,9281 MA,1534,645,1,1,0,0,0,536,111,0,0,0,0,0,0,647,110,156,96,58,182,43
,Achtkarspelen,GR2014_Achtkarspelen,Gemeenteraad Achtkarspelen 2014,0059,Achtkarspelen,2014-03-19,"Stembureau HK II, SCW ""Clubhuis""",0059::SB8,9281 RD,1733,769,5,3,0,0,0,658,119,0,0,0,0,0,0,777,145,191,84,77,238,34
,Achtkarspelen,GR2014_Achtkarspelen,Gemeenteraad Achtkarspelen 2014,0059,Achtkarspelen,2014-03-19,"Stembureau KT, MFC ""Tillehûs""",0059::SB9,9288 BC,1884,850,2,2,0,0,0,772,82,0,0,0,0,0,0,854,109,376,88,136,100,41
,Achtkarspelen,GR2014_Achtkarspelen,Gemeenteraad Achtkarspelen 2014,0059,Achtkarspelen,2014-03-19,"Stembureau TH, Dorpshuis ""De Jister""",0059::SB10,9287 LC,1409,700,1,1,0,0,0,600,102,0,0,0,0,0,0,702,95,389,44,104,47,21
