contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,TOP/GEMEENTEBELANGEN,Partij van de Arbeid (P.v.d.A.),CDA,VVD,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),GROENLINKS,Democraten 66 (D66),PARTIJ VOOR ZEELAND (PVZ),55 terneuzen,OPA Terneuzen (OPAZ)
,Terneuzen,GR2014_Terneuzen,Gemeenteraad Terneuzen 2014,0715,Terneuzen,2014-03-19,"Stembureau Dienstencentrum ""De Veste""",0715::SB1,4531 GV,2196,1254,3,8,4,0,0,1122,139,0,0,4,0,0,0,1261,284,141,206,132,70,63,51,103,52,128,24
,Terneuzen,GR2014_Terneuzen,Gemeenteraad Terneuzen 2014,0715,Terneuzen,2014-03-19,"Stembureau Buurtcentrum ""De Triangel""",0715::SB2,4531 CL,1505,478,2,6,0,0,0,438,48,0,0,0,0,0,0,486,90,50,39,48,16,9,69,35,57,52,13
,Terneuzen,GR2014_Terneuzen,Gemeenteraad Terneuzen 2014,0715,Terneuzen,2014-03-19,"Stembureau Buurthuis ""De Kameleon""",0715::SB3,4537 RJ,1165,546,3,1,0,0,0,476,74,0,0,0,0,0,0,550,130,136,29,15,40,37,54,31,20,42,12
,Terneuzen,GR2014_Terneuzen,Gemeenteraad Terneuzen 2014,0715,Terneuzen,2014-03-19,"Stembureau Sportcentrum ""Vliegende Vaart""",0715::SB4,4537 DH,1581,711,3,3,0,0,0,639,78,0,0,0,0,0,0,717,127,107,115,70,50,51,40,60,39,36,16
,Terneuzen,GR2014_Terneuzen,Gemeenteraad Terneuzen 2014,0715,Terneuzen,2014-03-19,"Stembureau Zorgcentrum ""Bachten Dieke""",0715::SB5,4532 BP,1927,1174,4,3,0,0,0,1056,126,0,1,0,1,0,0,1182,270,122,211,65,82,111,57,74,58,96,28
,Terneuzen,GR2014_Terneuzen,Gemeenteraad Terneuzen 2014,0715,Terneuzen,2014-03-19,"Stembureau Zorgcentrum ""De Blide""",0715::SB6,4532 CZ,1370,568,3,2,0,0,0,534,39,0,0,0,0,0,0,573,145,97,91,28,40,53,13,16,16,54,15
,Terneuzen,GR2014_Terneuzen,Gemeenteraad Terneuzen 2014,0715,Terneuzen,2014-03-19,"Stembureau Praktijkschool ""De Sprong""",0715::SB7,4535 AD,1444,553,0,4,0,0,0,505,52,0,0,0,0,0,0,557,121,94,91,38,30,32,24,41,20,48,14
,Terneuzen,GR2014_Terneuzen,Gemeenteraad Terneuzen 2014,0715,Terneuzen,2014-03-19,Stembureau CZR Ter Schorre,0715::SB8,4536 GD,1880,1061,3,0,0,0,0,932,132,0,0,0,0,0,0,1064,267,194,127,38,80,74,52,51,28,126,24
,Terneuzen,GR2014_Terneuzen,Gemeenteraad Terneuzen 2014,0715,Terneuzen,2014-03-19,Stembureau Scalda,0715::SB9,4535 HA,1782,779,2,1,0,0,0,667,115,0,0,0,0,0,0,782,141,112,143,73,59,51,34,72,35,48,11
,Terneuzen,GR2014_Terneuzen,Gemeenteraad Terneuzen 2014,0715,Terneuzen,2014-03-19,"Stembureau O.B.S. ""De Meerpaal""",0715::SB10,4535 ED,1616,912,2,1,0,0,0,829,86,0,0,0,0,0,0,915,147,119,183,95,70,35,53,91,41,60,18
,Terneuzen,GR2014_Terneuzen,Gemeenteraad Terneuzen 2014,0715,Terneuzen,2014-03-19,"Stembureau Brede School ""De Twijn""",0715::SB11,4532 JM,1507,830,3,2,0,1,0,752,84,0,0,0,1,0,0,836,168,96,147,72,57,76,46,69,20,59,20
,Terneuzen,GR2014_Terneuzen,Gemeenteraad Terneuzen 2014,0715,Terneuzen,2014-03-19,Stembureau Brede School Othene,0715::SB12,4533 DW,2345,1284,3,2,0,0,0,1121,168,0,0,0,0,0,0,1289,217,129,248,280,104,44,35,120,45,55,7
,Terneuzen,GR2014_Terneuzen,Gemeenteraad Terneuzen 2014,0715,Terneuzen,2014-03-19,Stembureau Annelot Ter Walle,0715::SB13,4521 AZ,1301,751,2,2,0,0,0,657,98,0,0,0,0,0,0,755,48,80,311,52,18,73,38,50,22,38,21
,Terneuzen,GR2014_Terneuzen,Gemeenteraad Terneuzen 2014,0715,Terneuzen,2014-03-19,"Stembureau Zorgcentrum ""Vremdieke""",0715::SB14,4542 EE,1183,648,0,5,0,0,0,601,52,0,0,0,0,0,0,653,277,53,66,33,45,96,17,20,17,18,6
,Terneuzen,GR2014_Terneuzen,Gemeenteraad Terneuzen 2014,0715,Terneuzen,2014-03-19,Stembureau Kerkcentrum,0715::SB15,4542 AE,1196,704,1,5,0,0,0,617,93,0,0,0,0,0,0,710,319,34,72,32,36,135,17,23,11,21,4
,Terneuzen,GR2014_Terneuzen,Gemeenteraad Terneuzen 2014,0715,Terneuzen,2014-03-19,"Stembureau Zorgcentrum ""De Molenhof""",0715::SB16,4543 CM,2333,1363,0,2,0,0,0,1175,191,0,1,0,1,0,0,1366,467,74,205,64,195,210,35,46,19,36,12
,Terneuzen,GR2014_Terneuzen,Gemeenteraad Terneuzen 2014,0715,Terneuzen,2014-03-19,"Stembureau Welzijnscentrum  "" 't Meulengat""",0715::SB17,4541 GS,1896,749,1,7,1,0,0,664,94,0,0,0,1,0,0,758,138,137,157,52,15,29,30,33,31,62,65
,Terneuzen,GR2014_Terneuzen,Gemeenteraad Terneuzen 2014,0715,Terneuzen,2014-03-19,Stembureau Voormalig gemeentehuis Sas van Gent,0715::SB18,4551 CE,1168,500,1,3,0,0,0,455,49,0,0,0,0,0,0,504,268,38,42,45,3,1,16,33,11,28,15
,Terneuzen,GR2014_Terneuzen,Gemeenteraad Terneuzen 2014,0715,Terneuzen,2014-03-19,"Stembureau Verzorgingshuis ""De Redoute""",0715::SB19,4551 HT,1801,749,2,7,0,0,0,645,113,0,0,0,0,0,0,758,394,77,74,27,7,6,23,42,14,42,43
,Terneuzen,GR2014_Terneuzen,Gemeenteraad Terneuzen 2014,0715,Terneuzen,2014-03-19,"Stembureau Buurtcentrum ""De Straete""",0715::SB20,4551 LN,294,147,2,0,0,0,0,132,17,0,0,0,0,0,0,149,51,15,24,13,7,8,6,7,4,5,7
,Terneuzen,GR2014_Terneuzen,Gemeenteraad Terneuzen 2014,0715,Terneuzen,2014-03-19,"Stembureau Woonzorgcentrum "" 't Verlaet""",0715::SB21,4554 BE,1604,704,2,5,0,0,0,617,94,0,0,0,0,0,0,711,276,92,137,36,7,1,24,46,11,57,17
,Terneuzen,GR2014_Terneuzen,Gemeenteraad Terneuzen 2014,0715,Terneuzen,2014-03-19,"Stembureau Gemeenschapscentrum ""De Kaaie""",0715::SB22,4553 AW,1672,856,2,4,0,0,0,760,102,0,0,0,0,0,0,862,161,88,240,100,10,20,37,95,31,65,9
,Terneuzen,GR2014_Terneuzen,Gemeenteraad Terneuzen 2014,0715,Terneuzen,2014-03-19,Stembureau Voormalig stadhuis Axel,0715::SB23,4571 BG,1511,798,2,3,0,0,0,699,104,0,0,0,0,0,0,803,318,100,89,59,81,23,24,41,10,37,16
,Terneuzen,GR2014_Terneuzen,Gemeenteraad Terneuzen 2014,0715,Terneuzen,2014-03-19,"Stembureau Zorgcentrum ""De Vurssche""",0715::SB24,4571 HT,1516,765,0,3,0,0,0,683,85,0,0,0,0,0,0,768,255,130,104,51,107,25,23,23,6,23,18
