contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),VVD,GROENLINKS,STADSPARTIJ,SP (Socialistische Partij),Democraten 66 (D66),CDA,ChristenUnie,Student en Stad,Partij voor de Dieren,11,Piratenpartij,Libertarische Partij (LP)
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,"Stembureau Stadhuis, ontvangstruimte trouwzaal",0014::SB1,9712 HN,1539,1790,9,1,3,0,0,1717,86,0,0,0,3,0,0,1803,187,228,168,75,126,582,84,41,210,47,1,28,13
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau Het Kruithuis,0014::SB2,9711 VX,746,380,0,1,0,0,0,364,18,0,0,0,1,0,1,382,55,28,65,27,45,91,9,1,24,24,0,8,3
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau Hulpverleningsdienst Groningen,0014::SB3,9713 GW,1419,457,1,0,0,0,0,429,29,0,0,0,0,0,0,458,75,43,40,33,64,111,18,15,32,10,1,9,6
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau Gebouw Dienst RO/EZ,0014::SB4,9711 HL,787,831,8,2,0,0,0,789,52,0,0,0,0,0,0,841,133,107,77,45,80,225,23,19,62,33,0,18,9
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau Het Pepergasthuis,0014::SB5,9711 PE,1119,421,2,1,1,0,0,401,22,0,0,1,0,0,0,423,23,57,41,25,18,137,14,13,70,12,0,5,6
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau St. Michaelschool,0014::SB6,9712 EW,1075,519,4,3,1,0,0,506,20,0,0,1,0,0,0,526,60,50,64,28,50,151,15,7,61,21,0,4,8
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau Hanzehogeschool,0014::SB7,9711 EJ,1396,553,1,0,0,0,0,535,19,0,0,0,0,0,0,554,58,76,66,27,48,177,26,7,37,17,1,12,1
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau Centrale Bibliotheek Groningen,0014::SB8,9712 ER,1220,816,4,2,0,1,0,789,34,0,0,0,1,0,0,823,76,74,118,30,67,264,29,35,74,39,0,8,2
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau Remonstrantse kerk,0014::SB9,9711 BS,1029,444,2,2,0,0,0,420,28,0,0,0,0,0,0,448,34,62,44,16,30,163,17,11,45,13,0,6,3
,Groningen,GR2014_Groningen,Gemeenteraad Groningen 2014,0014,Groningen,2014-03-19,Stembureau Activiteitencentrum De Holm,0014::SB10,9711 JS,1715,765,1,1,0,0,0,722,46,0,1,0,1,0,0,768,96,76,86,29,63,249,19,10,88,26,2,12,9
