contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Staatkundig Gereformeerde Partij (SGP),CDA,Pro'98 (Pro Barneveld - PvdA - D66),ChristenUnie,VVD,Burger Initiatief
,Barneveld,GR2014_Barneveld,Gemeenteraad Barneveld 2014,0203,Barneveld,2014-03-19,"Stembureau Gemeentehuis ingang ""Oude Raadhuis""",0203::SB1,3772 ER,874,695,0,3,0,0,0,617,80,0,0,1,0,0,0,697,118,95,211,114,85,72
,Barneveld,GR2014_Barneveld,Gemeenteraad Barneveld 2014,0203,Barneveld,2014-03-19,"Stembureau Basisschool ""De Bron""",0203::SB2,3771 CS,844,678,0,1,0,0,0,596,83,0,0,0,0,0,0,679,187,104,131,110,85,61
,Barneveld,GR2014_Barneveld,Gemeenteraad Barneveld 2014,0203,Barneveld,2014-03-19,Stembureau Appartementencomplex Rumah Maluku,0203::SB3,3771 GR,1629,871,0,3,0,0,0,812,62,0,0,0,0,0,0,874,218,111,221,115,48,158
,Barneveld,GR2014_Barneveld,Gemeenteraad Barneveld 2014,0203,Barneveld,2014-03-19,Stembureau Ontmoetingscentrum Bronveld,0203::SB4,3772 GR,1025,664,1,1,0,0,0,592,74,0,0,0,0,0,0,666,92,67,254,100,47,104
,Barneveld,GR2014_Barneveld,Gemeenteraad Barneveld 2014,0203,Barneveld,2014-03-19,Stembureau Goede Herderkerk,0203::SB5,3772 BL,1401,1207,1,2,0,0,0,1065,145,0,0,0,0,0,0,1210,225,147,333,249,103,150
,Barneveld,GR2014_Barneveld,Gemeenteraad Barneveld 2014,0203,Barneveld,2014-03-19,Stembureau Ds. J. Fraanjeschool loc. De Vesting,0203::SB6,3772 AV,430,370,0,0,0,0,0,312,58,0,0,0,0,0,0,370,155,33,83,44,20,35
,Barneveld,GR2014_Barneveld,Gemeenteraad Barneveld 2014,0203,Barneveld,2014-03-19,Stembureau Schaffelaartheater ingang Harmonie,0203::SB7,3772 KV,1191,988,0,1,0,0,0,874,115,0,0,0,0,0,0,989,322,146,212,124,76,108
,Barneveld,GR2014_Barneveld,Gemeenteraad Barneveld 2014,0203,Barneveld,2014-03-19,Stembureau Basisschool Eben Haëzer,0203::SB8,3772 SR,1274,998,0,3,0,0,0,862,139,0,0,0,0,0,0,1001,302,113,256,174,66,87
,Barneveld,GR2014_Barneveld,Gemeenteraad Barneveld 2014,0203,Barneveld,2014-03-19,"Stembureau Verpleeghuis ""Norschoten""",0203::SB9,3773 AW,740,764,2,1,0,0,0,648,119,0,0,0,0,0,0,767,268,101,156,128,53,58
,Barneveld,GR2014_Barneveld,Gemeenteraad Barneveld 2014,0203,Barneveld,2014-03-19,"Stembureau Daltonschool ""Lange Voren""",0203::SB10,3773 AT,1312,1283,0,2,0,0,0,1137,150,0,0,0,2,0,0,1287,356,173,283,234,114,123
