contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Democraten 66 (D66),VVD,Partij van de Arbeid (P.v.d.A.),Hart voor Hilversum,SP (Socialistische Partij),CDA,GROENLINKS,ChristenUnie,Leefbaar Hilversum,Hilversum 1,Lijst Yilmaz
,Hilversum,GR2014_Hilversum,Gemeenteraad Hilversum 2014,0402,Hilversum,2014-03-19,Stembureau Raadhuis,0402::SB1,1217 JE,1341,1079,4,4,0,0,0,965,121,0,0,0,0,0,0,1086,301,240,93,126,83,73,57,34,24,42,6
,Hilversum,GR2014_Hilversum,Gemeenteraad Hilversum 2014,0402,Hilversum,2014-03-19,Stembureau Mozarthof School,0402::SB2,1217 CM,1544,971,0,2,0,0,0,844,129,0,0,0,0,0,0,973,271,446,42,48,12,66,25,14,20,27,0
,Hilversum,GR2014_Hilversum,Gemeenteraad Hilversum 2014,0402,Hilversum,2014-03-19,Stembureau Openbare Bibliotheek,0402::SB3,1217 EH,1813,1136,2,0,0,0,0,1015,123,0,0,0,0,0,0,1138,312,312,93,103,80,109,56,32,26,12,1
,Hilversum,GR2014_Hilversum,Gemeenteraad Hilversum 2014,0402,Hilversum,2014-03-19,Stembureau Chr. Verpleeghuis 'Gooizicht',0402::SB4,1217 SH,1390,805,3,2,0,0,0,718,92,0,0,0,0,0,0,810,228,169,78,87,65,73,32,27,15,29,2
,Hilversum,GR2014_Hilversum,Gemeenteraad Hilversum 2014,0402,Hilversum,2014-03-19,Stembureau Zorgcentrum 'De Boomberg',0402::SB5,1217 SV,2186,751,10,3,0,1,0,703,60,0,0,1,0,0,0,763,168,113,79,121,79,43,34,51,31,26,6
,Hilversum,GR2014_Hilversum,Gemeenteraad Hilversum 2014,0402,Hilversum,2014-03-19,Stembureau Anna Gebouw,0402::SB6,1211 NE,2455,863,7,8,0,0,0,810,68,0,0,0,0,0,0,878,172,97,58,231,98,52,60,29,44,17,5
,Hilversum,GR2014_Hilversum,Gemeenteraad Hilversum 2014,0402,Hilversum,2014-03-19,Stembureau 'Emmaushuis',0402::SB7,1216 RN,1823,963,1,6,0,2,0,851,121,0,0,2,0,0,0,972,230,154,78,120,107,78,61,76,17,40,2
,Hilversum,GR2014_Hilversum,Gemeenteraad Hilversum 2014,0402,Hilversum,2014-03-19,Stembureau Wijkcentrum 'De Koepel',0402::SB8,1216 JC,1518,1243,1,6,0,0,0,1164,86,0,0,0,0,0,0,1250,210,160,153,192,174,124,60,54,38,72,6
,Hilversum,GR2014_Hilversum,Gemeenteraad Hilversum 2014,0402,Hilversum,2014-03-19,Stembureau Augustinushof school,0402::SB9,1216 LD,1663,614,1,0,0,0,0,567,48,0,0,0,0,0,0,615,92,55,55,103,102,86,25,26,27,40,3
,Hilversum,GR2014_Hilversum,Gemeenteraad Hilversum 2014,0402,Hilversum,2014-03-19,Stembureau Flat 'Kerkelanden',0402::SB10,1216 SB,1606,759,1,5,1,0,0,718,48,0,0,0,1,0,0,766,115,106,79,86,81,136,46,30,39,37,4
