contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Inwonersbelang Hellevoetsluis,VVD,Partij van de Arbeid (P.v.d.A.),GROENLINKS,CDA,Democraten 66 (D66)
,Hellevoetsluis,GR2014_Hellevoetsluis,Gemeenteraad Hellevoetsluis 2014,0530,Hellevoetsluis,2014-03-19,Stembureau Hal Gemeentehuis,0530::SB1,3221 AL,1171,738,3,4,0,0,0,654,91,0,0,0,0,0,0,745,208,252,66,66,57,89
,Hellevoetsluis,GR2014_Hellevoetsluis,Gemeenteraad Hellevoetsluis 2014,0530,Hellevoetsluis,2014-03-19,Stembureau Werkloods Droogdok,0530::SB2,3221 AD,1366,289,6,0,0,0,0,265,30,0,0,0,0,0,0,295,105,47,42,30,31,34
,Hellevoetsluis,GR2014_Hellevoetsluis,Gemeenteraad Hellevoetsluis 2014,0530,Hellevoetsluis,2014-03-19,Stembureau 't Schrijverke,0530::SB3,3221 VP,1462,891,6,7,0,0,0,804,100,0,0,0,0,0,0,904,399,106,137,85,87,77
,Hellevoetsluis,GR2014_Hellevoetsluis,Gemeenteraad Hellevoetsluis 2014,0530,Hellevoetsluis,2014-03-19,Stembureau Verpleegh. Grootenhoek,0530::SB4,3222 AA,1460,601,1,2,0,0,0,549,55,0,0,0,0,0,0,604,257,125,84,50,51,34
,Hellevoetsluis,GR2014_Hellevoetsluis,Gemeenteraad Hellevoetsluis 2014,0530,Hellevoetsluis,2014-03-19,Stembureau School De Wateringe,0530::SB5,3222 XA,1218,664,1,4,0,0,0,593,76,0,0,0,0,0,0,669,253,99,141,67,61,43
,Hellevoetsluis,GR2014_Hellevoetsluis,Gemeenteraad Hellevoetsluis 2014,0530,Hellevoetsluis,2014-03-19,Stembureau School De Brug,0530::SB6,3223 XE,1376,541,1,5,0,0,0,488,59,0,0,0,0,0,0,547,252,83,60,62,51,33
,Hellevoetsluis,GR2014_Hellevoetsluis,Gemeenteraad Hellevoetsluis 2014,0530,Hellevoetsluis,2014-03-19,Stembureau Sporthal De Eendraght,0530::SB7,3223 EV,1308,795,2,4,0,0,0,718,83,0,0,0,0,0,0,801,344,149,80,56,95,71
,Hellevoetsluis,GR2014_Hellevoetsluis,Gemeenteraad Hellevoetsluis 2014,0530,Hellevoetsluis,2014-03-19,Stembureau Schoollocatie,0530::SB8,3224 TT,1320,720,7,7,0,0,0,663,71,0,0,0,0,0,0,734,328,75,101,76,76,64
,Hellevoetsluis,GR2014_Hellevoetsluis,Gemeenteraad Hellevoetsluis 2014,0530,Hellevoetsluis,2014-03-19,Stembureau De Bibliotheek,0530::SB9,3224 XL,1301,568,4,4,0,0,0,520,56,0,0,0,0,0,0,576,251,84,87,56,53,37
,Hellevoetsluis,GR2014_Hellevoetsluis,Gemeenteraad Hellevoetsluis 2014,0530,Hellevoetsluis,2014-03-19,Stembureau Woonzorgcentrum Voornesteyn,0530::SB10,3224 TD,1272,571,8,1,0,0,0,515,62,0,0,3,0,0,0,577,258,71,76,42,65,59
