contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Gemeentebelangen BES,VVD,GROENLINKS,CDA,Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),KIES Lokaal,Basis Inkomen Partij (BIP)
,Bergen (NH),GR2014_BergenNH,Gemeenteraad Bergen (NH) 2014,0373,Bergen (NH),2014-03-19,Stembureau Verpleegtehuis Oudtburgh,0373::SB1,,1694,935,5,5,0,0,0,854,91,0,0,0,0,0,0,945,135,169,162,125,152,79,101,12
,Bergen (NH),GR2014_BergenNH,Gemeenteraad Bergen (NH) 2014,0373,Bergen (NH),2014-03-19,Stembureau Frankenstate,0373::SB2,,1728,1161,3,5,0,0,0,1026,143,0,0,0,0,0,0,1169,148,386,136,108,229,70,82,2
,Bergen (NH),GR2014_BergenNH,Gemeenteraad Bergen (NH) 2014,0373,Bergen (NH),2014-03-19,Stembureau Wijksteunpunt,0373::SB3,,1692,1053,0,1,0,0,0,942,112,0,0,0,0,0,0,1054,154,224,143,127,210,64,122,9
,Bergen (NH),GR2014_BergenNH,Gemeenteraad Bergen (NH) 2014,0373,Bergen (NH),2014-03-19,Stembureau PCC Bergen,0373::SB4,,1732,1148,2,2,0,0,0,1056,96,0,0,0,0,0,0,1152,143,208,205,131,229,107,115,10
,Bergen (NH),GR2014_BergenNH,Gemeenteraad Bergen (NH) 2014,0373,Bergen (NH),2014-03-19,Stembureau T&O buurthuis,0373::SB5,,1527,899,4,2,0,0,0,834,71,0,0,0,0,0,0,905,150,108,213,100,140,85,92,11
,Bergen (NH),GR2014_BergenNH,Gemeenteraad Bergen (NH) 2014,0373,Bergen (NH),2014-03-19,Stembureau Zorgcentrum De Marke,0373::SB6,,1635,1124,0,0,0,0,0,1035,89,0,0,0,0,0,0,1124,190,166,158,189,199,106,107,9
,Bergen (NH),GR2014_BergenNH,Gemeenteraad Bergen (NH) 2014,0373,Bergen (NH),2014-03-19,Stembureau Hotel Victoria,0373::SB7,,323,237,2,0,0,0,0,209,30,0,0,0,0,0,0,239,26,66,54,10,41,11,27,2
,Bergen (NH),GR2014_BergenNH,Gemeenteraad Bergen (NH) 2014,0373,Bergen (NH),2014-03-19,Stembureau S.C.C. de Oorsprong,0373::SB8,,1218,696,0,0,0,0,0,631,65,0,0,0,0,0,0,696,132,118,137,71,84,76,76,2
,Bergen (NH),GR2014_BergenNH,Gemeenteraad Bergen (NH) 2014,0373,Bergen (NH),2014-03-19,Stembureau Dorpscentrum De Blinkerd,0373::SB9,,1069,691,2,3,0,0,0,624,71,0,0,1,0,1,0,695,125,108,120,112,102,69,52,3
,Bergen (NH),GR2014_BergenNH,Gemeenteraad Bergen (NH) 2014,0373,Bergen (NH),2014-03-19,Stembureau Groeterschool,0373::SB10,,1568,848,5,2,0,0,0,777,78,0,0,0,0,0,0,855,179,89,150,103,119,128,72,8
,Bergen (NH),GR2014_BergenNH,Gemeenteraad Bergen (NH) 2014,0373,Bergen (NH),2014-03-19,Stembureau De Sanderij,0373::SB11,,1355,796,0,1,0,0,0,719,78,0,0,0,0,0,0,797,150,115,142,93,103,103,84,6
,Bergen (NH),GR2014_BergenNH,Gemeenteraad Bergen (NH) 2014,0373,Bergen (NH),2014-03-19,Stembureau Woonzorgcombinatie Heegemunde,0373::SB12,,1075,690,0,2,0,1,0,623,70,0,0,0,1,0,0,693,15,33,58,61,15,13,494,1
,Bergen (NH),GR2014_BergenNH,Gemeenteraad Bergen (NH) 2014,0373,Bergen (NH),2014-03-19,Stembureau Dorpshuis De Schulp,0373::SB13,,1136,750,2,0,0,0,0,668,84,0,0,0,0,0,0,752,13,32,60,64,36,24,521,0
,Bergen (NH),GR2014_BergenNH,Gemeenteraad Bergen (NH) 2014,0373,Bergen (NH),2014-03-19,Stembureau Boswaidschool,0373::SB14,,1565,928,1,3,0,0,0,823,109,0,0,0,0,0,0,932,39,47,92,153,136,44,412,5
,Bergen (NH),GR2014_BergenNH,Gemeenteraad Bergen (NH) 2014,0373,Bergen (NH),2014-03-19,Stembureau Dorpshuis Hanswijk,0373::SB15,,1313,849,3,1,0,0,0,753,100,0,0,0,0,0,0,853,41,84,89,153,72,35,371,4
,Bergen (NH),GR2014_BergenNH,Gemeenteraad Bergen (NH) 2014,0373,Bergen (NH),2014-03-19,Stembureau O.K. Verenigingsgebouw,0373::SB16,,1351,836,0,1,0,0,0,753,84,0,0,0,0,0,0,837,32,60,87,69,129,63,393,3
,Bergen (NH),GR2014_BergenNH,Gemeenteraad Bergen (NH) 2014,0373,Bergen (NH),2014-03-19,Stembureau Zorgcentrum Agnes,0373::SB17,,1345,612,3,1,0,0,0,556,60,0,0,0,0,0,0,616,39,55,83,82,44,56,251,2
,Bergen (NH),GR2014_BergenNH,Gemeenteraad Bergen (NH) 2014,0373,Bergen (NH),2014-03-19,Stembureau Prins Hendrik Stichting,0373::SB18,,1382,768,2,2,0,0,0,706,66,0,0,0,0,0,0,772,30,38,103,78,72,73,370,4
