contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Essentie,SP (Socialistische Partij),Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.)
,Horst aan de Maas,GR2014_HorstaandeMaas,Gemeenteraad Horst aan de Maas 2014,1507,Horst aan de Maas,2014-03-19,Stembureau Gemeentehuis Horst a/d Maas (Horst),1507::SB1,,2812,1535,14,1,0,0,0,1340,210,0,0,0,0,0,0,1550,407,265,487,148,228
,Horst aan de Maas,GR2014_HorstaandeMaas,Gemeenteraad Horst aan de Maas 2014,1507,Horst aan de Maas,2014-03-19,Stembureau Verzorgingshuis Berkele Heem (Horst),1507::SB2,,2073,974,6,2,0,0,0,885,97,0,0,0,0,0,0,982,365,165,255,67,122
,Horst aan de Maas,GR2014_HorstaandeMaas,Gemeenteraad Horst aan de Maas 2014,1507,Horst aan de Maas,2014-03-19,Stembureau OJC Niks (Horst),1507::SB3,,2730,1439,2,2,0,0,0,1277,168,0,2,0,2,0,0,1445,370,193,528,108,240
,Horst aan de Maas,GR2014_HorstaandeMaas,Gemeenteraad Horst aan de Maas 2014,1507,Horst aan de Maas,2014-03-19,Stembureau De Lèste Geulde (Horst),1507::SB4,,1657,949,6,0,0,0,0,877,78,0,0,0,0,0,0,955,329,138,264,90,128
,Horst aan de Maas,GR2014_HorstaandeMaas,Gemeenteraad Horst aan de Maas 2014,1507,Horst aan de Maas,2014-03-19,Stembureau Kantine Dendron Sporthal (Horst),1507::SB5,,940,469,2,0,0,0,0,421,50,0,0,0,0,0,0,471,170,76,140,23,60
,Horst aan de Maas,GR2014_HorstaandeMaas,Gemeenteraad Horst aan de Maas 2014,1507,Horst aan de Maas,2014-03-19,Stembureau Woonz.compl. Aan de Brug (America),1507::SB6,,1671,867,1,3,0,0,0,757,113,0,0,1,0,1,0,870,333,219,209,31,75
,Horst aan de Maas,GR2014_HorstaandeMaas,Gemeenteraad Horst aan de Maas 2014,1507,Horst aan de Maas,2014-03-19,Stembureau Gem.huis 'De Zaal' (Griendtsveen),1507::SB7,,424,242,0,0,0,0,0,224,18,0,0,0,0,0,0,242,32,118,69,7,16
,Horst aan de Maas,GR2014_HorstaandeMaas,Gemeenteraad Horst aan de Maas 2014,1507,Horst aan de Maas,2014-03-19,Stembureau Zaal Debije (Hegelsom),1507::SB8,,1481,856,2,1,0,0,0,743,116,0,0,0,0,0,0,859,465,91,150,94,56
,Horst aan de Maas,GR2014_HorstaandeMaas,Gemeenteraad Horst aan de Maas 2014,1507,Horst aan de Maas,2014-03-19,Stembureau MFC de Zwingel (Melderslo),1507::SB9,,1568,787,7,1,0,0,0,704,91,0,0,0,0,0,0,795,377,117,200,47,46
,Horst aan de Maas,GR2014_HorstaandeMaas,Gemeenteraad Horst aan de Maas 2014,1507,Horst aan de Maas,2014-03-19,Stembureau Gem. huis 'De Meulewiek' (Meterik),1507::SB10,,1187,677,4,0,0,1,0,599,83,0,0,0,1,0,0,682,338,88,145,38,68
,Horst aan de Maas,GR2014_HorstaandeMaas,Gemeenteraad Horst aan de Maas 2014,1507,Horst aan de Maas,2014-03-19,Stembureau BS De Schakel (Broekhuizenvorst),1507::SB11,,868,472,1,0,0,1,0,442,30,0,0,1,0,0,0,472,121,127,119,68,37
,Horst aan de Maas,GR2014_HorstaandeMaas,Gemeenteraad Horst aan de Maas 2014,1507,Horst aan de Maas,2014-03-19,Stembureau Naesenhof (Broekhuizen),1507::SB12,,622,402,4,1,0,0,0,359,48,0,0,0,0,0,0,407,103,152,93,32,22
,Horst aan de Maas,GR2014_HorstaandeMaas,Gemeenteraad Horst aan de Maas 2014,1507,Horst aan de Maas,2014-03-19,Stembureau De Smetenhof (Lottum),1507::SB13,,1598,901,5,1,0,0,0,804,103,0,0,0,0,0,0,907,270,193,225,96,117
,Horst aan de Maas,GR2014_HorstaandeMaas,Gemeenteraad Horst aan de Maas 2014,1507,Horst aan de Maas,2014-03-19,Stembureau Woonzorgcompl. Grootoord (Gr.vorst),1507::SB14,,1729,870,3,0,0,0,0,797,76,0,0,0,0,0,0,873,278,123,286,89,94
,Horst aan de Maas,GR2014_HorstaandeMaas,Gemeenteraad Horst aan de Maas 2014,1507,Horst aan de Maas,2014-03-19,Stembureau Zorgc. La Providence (Gr. vorst),1507::SB15,,2094,1144,5,0,0,1,0,1029,121,0,0,0,1,0,0,1150,348,150,356,185,105
,Horst aan de Maas,GR2014_HorstaandeMaas,Gemeenteraad Horst aan de Maas 2014,1507,Horst aan de Maas,2014-03-19,Stembureau Voormalige bibliotheek Sevenum,1507::SB16,,2512,1457,9,3,0,0,0,1311,158,0,0,0,0,0,0,1469,370,548,291,106,142
,Horst aan de Maas,GR2014_HorstaandeMaas,Gemeenteraad Horst aan de Maas 2014,1507,Horst aan de Maas,2014-03-19,Stembureau Verzorgingshuis Sevenheym (Sevenum),1507::SB17,,2563,1371,1,5,0,0,0,1190,187,0,0,0,0,0,0,1377,436,438,209,126,162
,Horst aan de Maas,GR2014_HorstaandeMaas,Gemeenteraad Horst aan de Maas 2014,1507,Horst aan de Maas,2014-03-19,Stembureau De Torrekoel (Kronenberg),1507::SB18,,1146,701,1,1,0,0,0,620,83,0,0,0,0,0,0,703,234,269,94,30,74
,Horst aan de Maas,GR2014_HorstaandeMaas,Gemeenteraad Horst aan de Maas 2014,1507,Horst aan de Maas,2014-03-19,Stembureau 't Brugeind (Meerlo),1507::SB19,,1445,726,7,0,0,0,0,686,47,0,0,0,0,0,0,733,298,87,156,57,128
,Horst aan de Maas,GR2014_HorstaandeMaas,Gemeenteraad Horst aan de Maas 2014,1507,Horst aan de Maas,2014-03-19,Stembureau Café-Zaal Wilhelmina (Swolgen),1507::SB20,,982,581,0,2,0,0,0,495,88,0,0,0,0,0,0,583,321,115,85,30,30
,Horst aan de Maas,GR2014_HorstaandeMaas,Gemeenteraad Horst aan de Maas 2014,1507,Horst aan de Maas,2014-03-19,Stembureau Dienstencentrum (Tienray),1507::SB21,,960,473,2,0,0,0,0,422,53,0,0,0,0,0,0,475,132,50,179,19,93
