contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,Weert Lokaal,Partij van de Arbeid (P.v.d.A.),SP (Socialistische Partij),Democraten 66 (D66),GROENLINKS
,Weert,GR2014_Weert,Gemeenteraad Weert 2014,0988,Weert,2014-03-19,Stembureau 1-Stadhuis,0988::SB1,,1827,1436,8,2,0,0,0,1316,130,0,0,0,0,0,0,1446,312,265,371,134,183,150,21
,Weert,GR2014_Weert,Gemeenteraad Weert 2014,0988,Weert,2014-03-19,Stembureau 3-Odaschool Anjelierstraat,0988::SB2,,1858,892,11,3,0,0,0,814,92,0,0,0,0,0,0,906,149,112,239,81,191,108,12
,Weert,GR2014_Weert,Gemeenteraad Weert 2014,0988,Weert,2014-03-19,Stembureau 4-Blokhut Scouting Fatima,0988::SB3,,2107,940,0,11,1,0,0,857,93,0,0,1,0,0,0,950,77,117,319,144,211,59,13
,Weert,GR2014_Weert,Gemeenteraad Weert 2014,0988,Weert,2014-03-19,Stembureau 5-Jongerencentrum M29,0988::SB4,,1046,598,0,4,1,0,0,546,57,0,0,0,1,0,0,603,168,94,133,50,80,62,11
,Weert,GR2014_Weert,Gemeenteraad Weert 2014,0988,Weert,2014-03-19,Stembureau 6-Basisschool Aan de Bron,0988::SB5,,1457,789,3,9,0,0,0,717,85,0,1,0,1,0,0,802,98,96,270,107,119,78,21
,Weert,GR2014_Weert,Gemeenteraad Weert 2014,0988,Weert,2014-03-19,Stembureau 7-Zorgcentrum Hieronymus,0988::SB6,,1568,818,8,3,0,0,0,729,100,0,0,0,0,0,0,829,167,127,224,82,129,71,18
,Weert,GR2014_Weert,Gemeenteraad Weert 2014,0988,Weert,2014-03-19,Stembureau 8-Gemeenschapscentrum Pius X-hof,0988::SB7,,1820,712,4,5,0,0,0,641,80,0,0,0,0,0,0,721,91,98,175,100,156,67,25
,Weert,GR2014_Weert,Gemeenteraad Weert 2014,0988,Weert,2014-03-19,Stembureau 9-School Het Dal,0988::SB8,,1914,1020,8,9,0,0,0,928,109,0,0,0,0,0,0,1037,107,151,274,170,192,102,24
,Weert,GR2014_Weert,Gemeenteraad Weert 2014,0988,Weert,2014-03-19,Stembureau 10-Sportpark Graswinkel,0988::SB9,,1883,946,2,2,2,0,0,850,102,0,0,0,2,0,0,952,157,171,263,73,151,112,19
,Weert,GR2014_Weert,Gemeenteraad Weert 2014,0988,Weert,2014-03-19,Stembureau 11-MFA Kimpeveld,0988::SB10,,800,479,9,0,0,0,0,457,31,0,0,0,0,0,0,488,64,179,112,20,50,32,22
