contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,VVD,P.v.d.A.-GroenLinks,ChristenUnie/SGP,Politieke Unie (P.U.),ONS Noordoostpolder,Democraten 66 (D66),Partij van vrije Poldermensen (PvvP),SP (Socialistische Partij)
,Noordoostpolder,GR2014_Noordoostpolder,Gemeenteraad Noordoostpolder 2014,0171,Noordoostpolder,2014-03-19,"Stembureau Gemeentehuis,Harmen Visserplein 1",0171::SB1,,1401,997,2,5,0,0,0,907,97,0,0,0,0,0,0,1004,186,82,132,138,84,113,70,52,140
,Noordoostpolder,GR2014_Noordoostpolder,Gemeenteraad Noordoostpolder 2014,0171,Noordoostpolder,2014-03-19,"Stembureau Kerkcentrum de Ontmoeting, Europalaan 42",0171::SB2,,1282,895,9,5,0,0,0,835,74,0,0,0,0,0,0,909,140,59,71,204,54,96,72,71,128
,Noordoostpolder,GR2014_Noordoostpolder,Gemeenteraad Noordoostpolder 2014,0171,Noordoostpolder,2014-03-19,"Stembureau Hotel van der Valk, Het Hooiveld 9",0171::SB3,,1327,673,0,0,0,0,0,584,89,0,0,0,0,0,0,673,131,119,43,142,65,62,49,30,32
,Noordoostpolder,GR2014_Noordoostpolder,Gemeenteraad Noordoostpolder 2014,0171,Noordoostpolder,2014-03-19,"Stembureau Bosbadhal, Boslaan 28",0171::SB4,,1047,430,3,2,0,0,0,391,44,0,0,0,0,0,0,435,102,53,41,51,43,51,30,18,41
,Noordoostpolder,GR2014_Noordoostpolder,Gemeenteraad Noordoostpolder 2014,0171,Noordoostpolder,2014-03-19,Stembureau Verz.huis de Golfslag Smedingplein 2,0171::SB5,,1344,885,0,3,0,0,0,820,68,0,0,0,0,0,0,888,197,81,100,71,93,100,69,63,111
,Noordoostpolder,GR2014_Noordoostpolder,Gemeenteraad Noordoostpolder 2014,0171,Noordoostpolder,2014-03-19,"Stembureau Woonzorg Hof van Smeden,Smeden 5",0171::SB6,,1327,815,0,3,0,0,0,759,57,0,0,2,0,2,0,816,240,76,78,103,43,91,33,53,98
,Noordoostpolder,GR2014_Noordoostpolder,Gemeenteraad Noordoostpolder 2014,0171,Noordoostpolder,2014-03-19,"Stembureau Buurthuis Revelsant, Pallasstraat 65 A",0171::SB7,,1770,589,6,3,0,0,0,555,44,0,1,0,1,0,0,599,75,32,79,79,44,77,48,40,115
,Noordoostpolder,GR2014_Noordoostpolder,Gemeenteraad Noordoostpolder 2014,0171,Noordoostpolder,2014-03-19,"Stembureau Dienstencentr. Wittesteijn,Revelsant 80",0171::SB8,,1556,722,2,4,0,0,0,683,45,0,0,0,0,0,0,728,139,33,101,139,30,68,55,42,115
,Noordoostpolder,GR2014_Noordoostpolder,Gemeenteraad Noordoostpolder 2014,0171,Noordoostpolder,2014-03-19,"Stembureau Buurth.Espelervaart, Atlantischestr. 18",0171::SB9,,1940,1216,4,9,0,0,0,1115,114,0,0,0,0,0,0,1229,202,112,122,256,93,124,112,56,139
,Noordoostpolder,GR2014_Noordoostpolder,Gemeenteraad Noordoostpolder 2014,0171,Noordoostpolder,2014-03-19,"Stembureau Buurthuis de Brulboei, Markenstraat 1",0171::SB10,,1384,829,2,0,0,0,0,766,65,0,0,0,0,0,0,831,144,79,72,117,68,81,62,45,161
,Noordoostpolder,GR2014_Noordoostpolder,Gemeenteraad Noordoostpolder 2014,0171,Noordoostpolder,2014-03-19,"Stembureau Verpleegh. Talmahof, Genemuidenstr 4",0171::SB11,,1338,691,2,1,0,0,0,632,62,0,0,0,0,0,0,694,132,73,65,92,74,92,39,34,90
