contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Lokale Partij Vlissingen,Partij Souburg-Ritthem,Partij van de Arbeid (P.v.d.A.),VVD,CDA,SP (Socialistische Partij),GROENLINKS,Democraten 66 (D66),Progressief Ondernemend Vlissingen,ChristenUnie,OPA Vlissingen,Staatkundig Gereformeerde Partij (SGP)
,Vlissingen,GR2014_Vlissingen,Gemeenteraad Vlissingen 2014,0718,Vlissingen,2014-03-19,Stembureau Hal Stadhuis,0718::SB1,4382 LG,1308,931,0,2,0,0,0,831,102,0,0,0,0,0,0,933,240,29,98,64,78,146,56,82,73,17,18,30
,Vlissingen,GR2014_Vlissingen,Gemeenteraad Vlissingen 2014,0718,Vlissingen,2014-03-19,"Stembureau Speeltuinvereniging ""De Oude Stad""",0718::SB2,4381 AJ,1160,518,4,0,0,0,0,470,52,0,0,0,0,0,0,522,98,16,49,52,26,115,40,37,40,11,14,20
,Vlissingen,GR2014_Vlissingen,Gemeenteraad Vlissingen 2014,0718,Vlissingen,2014-03-19,"Stembureau Bibliotheek ""'t Spui""",0718::SB3,4381 HR,1310,751,3,1,0,0,0,690,65,0,0,0,0,0,0,755,224,7,77,48,30,112,34,89,86,14,10,20
,Vlissingen,GR2014_Vlissingen,Gemeenteraad Vlissingen 2014,0718,Vlissingen,2014-03-19,Stembureau Lokaal  Ger. Kerk Vrijgemaakt,0718::SB4,4381 VB,1321,507,1,1,0,0,0,468,41,0,0,0,0,0,0,509,102,13,43,37,43,81,39,47,39,15,15,33
,Vlissingen,GR2014_Vlissingen,Gemeenteraad Vlissingen 2014,0718,Vlissingen,2014-03-19,"Stembureau Lokaal  ""Het Vlot",0718::SB5,4382 SE,1089,387,4,1,0,0,0,356,36,0,0,0,0,0,0,392,86,1,61,13,25,97,17,26,21,12,16,12
,Vlissingen,GR2014_Vlissingen,Gemeenteraad Vlissingen 2014,0718,Vlissingen,2014-03-19,Stembureau Atrium  Zorgcentrum Ter Reede,0718::SB6,4382 CJ,1265,823,0,4,0,0,0,755,72,0,0,0,0,0,0,827,179,22,93,77,102,96,40,80,33,25,31,45
,Vlissingen,GR2014_Vlissingen,Gemeenteraad Vlissingen 2014,0718,Vlissingen,2014-03-19,Stembureau Kantine Beheer Gemeente Vlissingen,0718::SB7,4382 CJ,1133,362,0,0,0,0,0,327,35,0,0,0,0,0,0,362,81,9,36,36,41,32,17,54,20,8,4,24
,Vlissingen,GR2014_Vlissingen,Gemeenteraad Vlissingen 2014,0718,Vlissingen,2014-03-19,Stembureau Stichting Roat,0718::SB8,4383 SR,1032,374,1,0,0,0,0,330,45,0,0,0,0,0,0,375,82,7,55,25,21,71,19,34,14,18,13,15
,Vlissingen,GR2014_Vlissingen,Gemeenteraad Vlissingen 2014,0718,Vlissingen,2014-03-19,Stembureau Wijkcentrum Open Hof,0718::SB9,4384 EV,1562,981,0,1,0,0,0,942,40,0,0,0,0,0,0,982,209,9,107,87,71,152,62,105,44,36,33,66
,Vlissingen,GR2014_Vlissingen,Gemeenteraad Vlissingen 2014,0718,Vlissingen,2014-03-19,Stembureau Lokaal Theo Thijssenschool,0718::SB10,4384 PA,1294,583,4,7,0,0,0,536,58,0,0,0,0,0,0,594,121,14,52,49,63,53,34,83,56,20,12,26
,Vlissingen,GR2014_Vlissingen,Gemeenteraad Vlissingen 2014,0718,Vlissingen,2014-03-19,Stembureau Lokaal Apostolisch Genootschap,0718::SB11,4386 GZ,1333,909,0,2,0,0,0,813,98,0,0,0,0,0,0,911,227,16,61,124,71,67,45,126,70,27,23,52
,Vlissingen,GR2014_Vlissingen,Gemeenteraad Vlissingen 2014,0718,Vlissingen,2014-03-19,Stembureau Lokaal basisschool De Vlieger,0718::SB12,4385 AM,1287,561,2,2,0,0,0,564,1,0,0,0,0,0,0,565,129,41,58,17,28,109,24,48,26,23,18,40
,Vlissingen,GR2014_Vlissingen,Gemeenteraad Vlissingen 2014,0718,Vlissingen,2014-03-19,Stembureau De Schaapskooi,0718::SB13,4386 EA,1285,605,0,0,0,0,0,537,68,0,0,0,0,0,0,605,103,42,53,36,45,86,35,64,33,45,27,36
,Vlissingen,GR2014_Vlissingen,Gemeenteraad Vlissingen 2014,0718,Vlissingen,2014-03-19,Stembureau Adventkerk,0718::SB14,4386 AL,1386,775,0,2,0,0,0,704,73,0,0,0,0,0,0,777,79,180,44,43,46,64,44,83,39,60,16,77
,Vlissingen,GR2014_Vlissingen,Gemeenteraad Vlissingen 2014,0718,Vlissingen,2014-03-19,Stembureau Lokaal Tennisclub Souburg,0718::SB15,4388 AS,1116,576,1,1,0,0,0,511,67,0,0,0,0,0,0,578,29,267,51,12,32,41,19,32,17,36,6,34
,Vlissingen,GR2014_Vlissingen,Gemeenteraad Vlissingen 2014,0718,Vlissingen,2014-03-19,Stembureau Zorgcentrum De Zoute Viever,0718::SB16,4388 VJ,1257,546,1,1,0,0,0,498,50,0,0,0,0,0,0,548,25,260,45,16,42,50,21,27,10,14,10,26
,Vlissingen,GR2014_Vlissingen,Gemeenteraad Vlissingen 2014,0718,Vlissingen,2014-03-19,Stembureau Activiteitencentrum De Kwikstaart,0718::SB17,4388 KK,1279,693,0,1,0,0,0,642,52,0,0,0,0,0,0,694,18,381,46,18,52,45,25,11,10,31,13,43
,Vlissingen,GR2014_Vlissingen,Gemeenteraad Vlissingen 2014,0718,Vlissingen,2014-03-19,Stembureau Lokaal Bibliotheek Oost-Souburg,0718::SB18,4388 BN,1623,816,1,3,0,0,0,756,64,0,0,0,0,0,0,820,30,462,47,31,39,60,37,25,2,23,10,50
,Vlissingen,GR2014_Vlissingen,Gemeenteraad Vlissingen 2014,0718,Vlissingen,2014-03-19,Stembureau Lokaal wijkgebouw De Zwaan,0718::SB19,4388 HJ,1725,897,0,3,0,0,0,812,88,0,0,0,0,0,0,900,29,475,53,29,36,91,45,41,15,34,14,35
,Vlissingen,GR2014_Vlissingen,Gemeenteraad Vlissingen 2014,0718,Vlissingen,2014-03-19,Stembureau Wijkgebouw Ons Dorpsleven,0718::SB20,4389 TP,430,288,0,1,0,0,0,270,19,0,0,0,0,0,0,289,3,148,11,18,18,25,17,8,5,8,3,24
,Vlissingen,GR2014_Vlissingen,Gemeenteraad Vlissingen 2014,0718,Vlissingen,2014-03-19,Stembureau Bioscoop CineCity,0718::SB21,4381 LZ,1291,689,3,0,0,0,0,611,81,0,0,0,0,0,0,692,191,9,46,109,60,49,12,87,51,20,7,48
,Vlissingen,GR2014_Vlissingen,Gemeenteraad Vlissingen 2014,0718,Vlissingen,2014-03-19,"Stembureau Lokaal basisschool ""de Branding""",0718::SB22,4381 PP,1412,413,1,1,0,0,0,390,25,0,0,0,0,0,0,415,90,7,38,24,19,104,34,24,23,7,30,13
