contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),Gemeentebelangen Leeuwarderadeel,FNP,CDA,VVD
,Leeuwarderadeel,GR2014,Verkiezing Gemeenteraad 2014,,Leeuwarderadeel,2014-03-19,Stembureau Skilhiem Stiens,0081::SB1,9051 BR,971,535,0,0,0,0,0,501,34,0,0,0,0,0,0,535,149,70,78,170,68
,Leeuwarderadeel,GR2014,Verkiezing Gemeenteraad 2014,,Leeuwarderadeel,2014-03-19,Stembureau MFG De Skalm,0081::SB2,9051 BR,932,550,1,0,0,0,0,509,42,0,0,0,0,0,0,551,184,100,106,103,57
,Leeuwarderadeel,GR2014,Verkiezing Gemeenteraad 2014,,Leeuwarderadeel,2014-03-19,Stembureau De Bining,0081::SB3,9056 PW,629,385,3,2,0,0,0,343,47,0,0,0,0,0,0,390,110,111,101,28,35
,Leeuwarderadeel,GR2014,Verkiezing Gemeenteraad 2014,,Leeuwarderadeel,2014-03-19,Stembureau Gereformeerde kerk Hijum,0081::SB4,9054 KN,477,220,1,1,0,0,0,209,13,0,0,0,0,0,0,222,50,29,68,50,23
,Leeuwarderadeel,GR2014,Verkiezing Gemeenteraad 2014,,Leeuwarderadeel,2014-03-19,Stembureau Lokaliteit Ger. Kerk,0081::SB5,9055 MG,805,483,6,3,0,0,0,456,36,0,0,0,0,0,0,492,147,108,74,117,37
,Leeuwarderadeel,GR2014,Verkiezing Gemeenteraad 2014,,Leeuwarderadeel,2014-03-19,Stembureau De Hege Stins,0081::SB6,9051 ER,1061,724,3,4,0,0,0,676,55,0,0,0,0,0,0,731,224,124,101,214,61
,Leeuwarderadeel,GR2014,Verkiezing Gemeenteraad 2014,,Leeuwarderadeel,2014-03-19,Stembureau De Sprankel,0081::SB7,9051 KE,775,516,4,5,0,0,0,490,35,0,0,0,0,0,0,525,147,95,77,139,58
,Leeuwarderadeel,GR2014,Verkiezing Gemeenteraad 2014,,Leeuwarderadeel,2014-03-19,Stembureau Gemeentehuis,0081::SB8,9051 AR,840,580,8,3,0,0,0,542,49,0,0,0,0,0,0,591,164,91,110,119,96
,Leeuwarderadeel,GR2014,Verkiezing Gemeenteraad 2014,,Leeuwarderadeel,2014-03-19,Stembureau Talant,0081::SB9,9051 LP,1423,724,4,1,0,0,0,676,54,0,0,0,1,0,0,730,205,145,72,198,104
,Leeuwarderadeel,GR2014,Verkiezing Gemeenteraad 2014,,Leeuwarderadeel,2014-03-19,Stembureau Café De Drie Gemeenten,0081::SB10,9071 XC,215,112,1,1,0,0,0,103,11,0,0,0,0,0,0,114,17,36,40,14,5
