contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,VVD,Burgerbelangen Bodegraven-Reeuwijk,Staatkundig Gereformeerde Partij (SGP),GROENLINKS,ChristenUnie,Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66)
,Bodegraven-Reeuwijk,GR2014_BodegravenReeuwijk,Gemeenteraad Bodegraven-Reeuwijk 2014,1901,Bodegraven-Reeuwijk,2014-03-19,Stembureau Gemeentehuis,1901::SB1,2411 BD,2064,1657,12,6,0,0,0,1494,181,0,0,0,0,0,0,1675,274,292,399,200,113,147,102,130
,Bodegraven-Reeuwijk,GR2014_BodegravenReeuwijk,Gemeenteraad Bodegraven-Reeuwijk 2014,1901,Bodegraven-Reeuwijk,2014-03-19,Stembureau 'Vijverhof',1901::SB2,2411 AP,1855,891,2,3,0,0,0,817,79,0,0,0,0,0,0,896,196,110,231,103,45,76,77,53
,Bodegraven-Reeuwijk,GR2014_BodegravenReeuwijk,Gemeenteraad Bodegraven-Reeuwijk 2014,1901,Bodegraven-Reeuwijk,2014-03-19,Stembureau Ontmoetingskerk,1901::SB3,2411 ED,1593,862,3,6,0,0,0,766,105,0,0,0,0,0,0,871,170,123,171,111,64,89,60,74
,Bodegraven-Reeuwijk,GR2014_BodegravenReeuwijk,Gemeenteraad Bodegraven-Reeuwijk 2014,1901,Bodegraven-Reeuwijk,2014-03-19,Stembureau Parochiehuis,1901::SB4,2411 DS,1528,837,2,1,0,0,0,752,88,0,0,0,0,0,0,840,183,178,223,65,41,48,39,60
,Bodegraven-Reeuwijk,GR2014_BodegravenReeuwijk,Gemeenteraad Bodegraven-Reeuwijk 2014,1901,Bodegraven-Reeuwijk,2014-03-19,Stembureau Dienstencentrum 'Rijngaarde',1901::SB5,2411 EV,1477,1087,3,0,0,0,0,980,110,0,0,0,0,0,0,1090,224,122,256,148,51,134,59,93
,Bodegraven-Reeuwijk,GR2014_BodegravenReeuwijk,Gemeenteraad Bodegraven-Reeuwijk 2014,1901,Bodegraven-Reeuwijk,2014-03-19,Stembureau Voetbalvereniging ESTO,1901::SB6,2411 LM,1576,755,5,1,0,0,0,680,81,0,0,0,0,0,0,761,109,85,191,121,58,65,52,74
,Bodegraven-Reeuwijk,GR2014_BodegravenReeuwijk,Gemeenteraad Bodegraven-Reeuwijk 2014,1901,Bodegraven-Reeuwijk,2014-03-19,Stembureau Goede Herderschool,1901::SB7,2411 JL,1667,814,3,5,0,0,0,717,105,0,0,0,0,0,0,822,106,88,211,116,51,79,101,62
,Bodegraven-Reeuwijk,GR2014_BodegravenReeuwijk,Gemeenteraad Bodegraven-Reeuwijk 2014,1901,Bodegraven-Reeuwijk,2014-03-19,Stembureau sporthal 'De Sporthoeve',1901::SB8,2411 LG,1608,1207,8,0,0,0,0,1081,134,0,0,0,0,0,0,1215,167,178,351,106,107,111,78,109
,Bodegraven-Reeuwijk,GR2014_BodegravenReeuwijk,Gemeenteraad Bodegraven-Reeuwijk 2014,1901,Bodegraven-Reeuwijk,2014-03-19,Stembureau 'Hollandse Boerderij',1901::SB9,2411 PK,322,218,0,1,0,0,0,187,32,0,0,0,0,0,0,219,109,18,34,8,24,6,5,14
,Bodegraven-Reeuwijk,GR2014_BodegravenReeuwijk,Gemeenteraad Bodegraven-Reeuwijk 2014,1901,Bodegraven-Reeuwijk,2014-03-19,Stembureau 't Wierickehuis,1901::SB10,2415 AW,1328,731,1,1,0,0,0,622,111,0,0,0,0,0,0,733,177,128,163,82,46,37,32,66
,Bodegraven-Reeuwijk,GR2014_BodegravenReeuwijk,Gemeenteraad Bodegraven-Reeuwijk 2014,1901,Bodegraven-Reeuwijk,2014-03-19,Stembureau Ichthuskerk,1901::SB14,2811 LA,1507,721,2,2,0,0,0,651,74,0,0,0,0,0,0,725,101,141,230,75,29,67,26,52
,Bodegraven-Reeuwijk,GR2014_BodegravenReeuwijk,Gemeenteraad Bodegraven-Reeuwijk 2014,1901,Bodegraven-Reeuwijk,2014-03-19,Stembureau Dorpshuis De Kaag,1901::SB15,2811 LE,1440,931,2,6,0,0,0,812,127,0,0,0,0,0,0,939,108,114,479,100,45,28,14,43
,Bodegraven-Reeuwijk,GR2014_BodegravenReeuwijk,Gemeenteraad Bodegraven-Reeuwijk 2014,1901,Bodegraven-Reeuwijk,2014-03-19,Stembureau Zalencentrum De Brug,1901::SB16,2811 CA,1299,934,3,3,0,0,0,849,91,0,0,0,0,0,0,940,118,226,252,38,76,44,43,137
,Bodegraven-Reeuwijk,GR2014_BodegravenReeuwijk,Gemeenteraad Bodegraven-Reeuwijk 2014,1901,Bodegraven-Reeuwijk,2014-03-19,Stembureau Consistorie NH-Kerk,1901::SB17,2811 GG,748,478,0,0,0,0,0,404,74,0,0,0,0,0,0,478,49,146,97,44,32,21,20,69
,Bodegraven-Reeuwijk,GR2014_BodegravenReeuwijk,Gemeenteraad Bodegraven-Reeuwijk 2014,1901,Bodegraven-Reeuwijk,2014-03-19,Stembureau Openbare Bibliotheerk,1901::SB18,2811 TL,1135,831,2,2,0,0,0,776,59,0,0,0,0,0,0,835,84,117,331,42,63,80,53,61
,Bodegraven-Reeuwijk,GR2014_BodegravenReeuwijk,Gemeenteraad Bodegraven-Reeuwijk 2014,1901,Bodegraven-Reeuwijk,2014-03-19,Stembureau Zorgcentrum Reeuwijk (Reehaven),1901::SB19,2811 AE,1686,1082,6,3,1,0,0,983,108,0,0,0,0,0,0,1091,178,199,351,42,56,75,54,127
,Bodegraven-Reeuwijk,GR2014_BodegravenReeuwijk,Gemeenteraad Bodegraven-Reeuwijk 2014,1901,Bodegraven-Reeuwijk,2014-03-19,Stembureau Dorpshuis Custwijc,1901::SB20,3465 KG,1361,893,3,0,0,0,0,806,90,0,0,0,0,0,0,896,266,78,138,210,30,115,21,35
,Bodegraven-Reeuwijk,GR2014_BodegravenReeuwijk,Gemeenteraad Bodegraven-Reeuwijk 2014,1901,Bodegraven-Reeuwijk,2014-03-19,Stembureau Dienstverleningscentrum Kerverland,1901::SB21,3466 NC,1226,877,1,3,0,0,0,781,100,0,0,0,0,0,0,881,204,42,231,277,9,86,11,17
