contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,GemeenteBelangen,VVD,Progressieve Partij,Partij van de Arbeid (P.v.d.A.),ChristenUnie,HenkMeerdinkVolksvertegenwoordiging
,Aalten,GR2014_Aalten,Gemeenteraad Aalten 2014,0197,Aalten,2014-03-19,Stembureau Stegemanhof,0197::SB1,7122 CG,1120,865,2,8,0,0,0,803,72,0,0,0,0,0,0,875,235,100,119,195,57,109,50
,Aalten,GR2014_Aalten,Gemeenteraad Aalten 2014,0197,Aalten,2014-03-19,Stembureau Triangel,0197::SB2,7122 ZX,1343,691,3,2,0,0,0,624,72,0,0,0,0,0,0,696,196,90,89,123,59,84,50
,Aalten,GR2014_Aalten,Gemeenteraad Aalten 2014,0197,Aalten,2014-03-19,Stembureau R.K. Kerk,0197::SB3,7121 ES,1160,749,2,7,0,0,0,695,63,0,0,0,0,0,0,758,166,100,127,155,48,90,63
,Aalten,GR2014_Aalten,Gemeenteraad Aalten 2014,0197,Aalten,2014-03-19,Stembureau Zaal achter Westerkerk,0197::SB4,7122 BW,1160,800,6,2,0,0,0,726,82,0,0,0,0,0,0,808,176,95,119,163,73,109,65
,Aalten,GR2014_Aalten,Gemeenteraad Aalten 2014,0197,Aalten,2014-03-19,Stembureau Schaersvoorde,0197::SB5,7122 VM,1500,598,2,2,0,0,0,552,50,0,0,0,0,0,0,602,143,80,100,115,45,39,76
,Aalten,GR2014_Aalten,Gemeenteraad Aalten 2014,0197,Aalten,2014-03-19,Stembureau 't Spölhuuksken,0197::SB6,7121 VK,1372,843,5,2,0,0,0,781,69,0,0,0,0,0,0,850,192,123,91,173,85,80,99
,Aalten,GR2014_Aalten,Gemeenteraad Aalten 2014,0197,Aalten,2014-03-19,Stembureau Beth San,0197::SB7,7121 EG,1317,879,7,5,0,0,0,812,79,0,0,0,0,0,0,891,247,102,93,178,90,96,73
,Aalten,GR2014_Aalten,Gemeenteraad Aalten 2014,0197,Aalten,2014-03-19,Stembureau Sporthal Aladna,0197::SB8,7121 NW,1217,757,4,1,0,0,0,697,65,0,0,0,0,0,0,762,185,85,114,163,81,59,70
,Aalten,GR2014_Aalten,Gemeenteraad Aalten 2014,0197,Aalten,2014-03-19,Stembureau Ver.gebouw 't Dorpshuus,0197::SB9,7122 KH,732,457,1,0,0,0,0,415,43,0,0,0,0,0,0,458,237,38,54,42,13,14,59
,Aalten,GR2014_Aalten,Gemeenteraad Aalten 2014,0197,Aalten,2014-03-19,Stembureau Kulturhus Lintelo,0197::SB10,7122 LX,878,579,0,0,0,0,0,527,52,0,0,0,0,0,0,579,231,43,70,82,21,82,50
,Aalten,GR2014_Aalten,Gemeenteraad Aalten 2014,0197,Aalten,2014-03-19,Stembureau Geb. De Markerink,0197::SB11,7122 RK,844,524,1,2,0,0,0,469,58,0,0,0,0,0,0,527,232,29,55,57,36,41,74
,Aalten,GR2014_Aalten,Gemeenteraad Aalten 2014,0197,Aalten,2014-03-19,Stembureau Geb. de Ringkamp,0197::SB12,7121 KL,867,383,2,0,0,0,0,328,57,0,0,0,0,0,0,385,187,21,40,37,18,10,70
,Aalten,GR2014_Aalten,Gemeenteraad Aalten 2014,0197,Aalten,2014-03-19,Stembureau Ambthuis,0197::SB13,7126 BC,1129,861,2,1,0,0,0,796,68,0,0,0,0,0,0,864,206,36,68,227,40,29,255
,Aalten,GR2014_Aalten,Gemeenteraad Aalten 2014,0197,Aalten,2014-03-19,Stembureau Dr. Jenny,0197::SB14,7091 BR,1442,582,0,1,0,0,0,555,28,0,0,0,0,0,0,583,174,242,28,34,48,26,30
,Aalten,GR2014_Aalten,Gemeenteraad Aalten 2014,0197,Aalten,2014-03-19,Stembureau Ons Huis,0197::SB15,7091 CV,1491,747,7,4,0,0,0,697,61,0,0,0,0,0,0,758,150,322,46,69,80,43,37
,Aalten,GR2014_Aalten,Gemeenteraad Aalten 2014,0197,Aalten,2014-03-19,Stembureau cbs De Höve,0197::SB16,7095 AX,789,539,0,0,0,0,0,469,70,0,0,0,0,0,0,539,204,119,59,66,27,25,39
,Aalten,GR2014_Aalten,Gemeenteraad Aalten 2014,0197,Aalten,2014-03-19,Stembureau Sporthal,0197::SB17,7091 XC,1381,678,4,2,0,0,0,624,60,0,0,0,0,0,0,684,182,283,33,66,48,49,17
,Aalten,GR2014_Aalten,Gemeenteraad Aalten 2014,0197,Aalten,2014-03-19,Stembureau OBS de Wegwijzer (Duplo),0197::SB18,7091 DE,1498,915,1,1,0,1,0,846,72,0,0,0,1,0,0,918,208,430,51,71,76,45,34
