contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,Partij van de Arbeid (P.v.d.A.),GROENLINKS,SP (Socialistische Partij),VenLokaal,Democraten 66 (D66),Lokale Democraten,Partij Groot Venlo
,Venlo,GR2014_Venlo,Gemeenteraad Venlo 2014,0983,Venlo,2014-03-19,Stembureau Stadswinkel Venlo,0983::SB1,5911 HT,1806,872,10,3,0,0,0,806,79,0,0,0,0,0,0,885,260,111,198,49,71,45,70,61,7
,Venlo,GR2014_Venlo,Gemeenteraad Venlo 2014,0983,Venlo,2014-03-19,Stembureau Huize Beerendonck,0983::SB2,5911 AD,1779,932,9,3,0,0,0,866,78,0,0,0,0,0,0,944,285,129,143,54,122,53,91,37,18
,Venlo,GR2014_Venlo,Gemeenteraad Venlo 2014,0983,Venlo,2014-03-19,Stembureau Gemeentearchief Venlo,0983::SB3,5914 PV,1770,813,6,4,0,0,0,751,72,0,0,0,0,0,0,823,210,170,146,49,88,47,55,37,11
,Venlo,GR2014_Venlo,Gemeenteraad Venlo 2014,0983,Venlo,2014-03-19,Stembureau Lokaal Veestraat,0983::SB4,5914 RR,1563,596,7,7,0,0,0,543,67,0,0,0,0,0,0,610,67,96,126,33,112,32,31,84,15
,Venlo,GR2014_Venlo,Gemeenteraad Venlo 2014,0983,Venlo,2014-03-19,Stembureau Basissschool de Meule,0983::SB5,5914 XS,1647,809,1,5,0,0,0,728,87,0,0,0,0,0,0,815,168,149,142,30,101,80,60,67,12
,Venlo,GR2014_Venlo,Gemeenteraad Venlo 2014,0983,Venlo,2014-03-19,Stembureau Stichting de Witte Kerk,0983::SB6,5914 PE,1341,584,3,10,0,0,0,493,104,0,0,0,0,0,0,597,59,77,113,32,122,57,17,91,16
,Venlo,GR2014_Venlo,Gemeenteraad Venlo 2014,0983,Venlo,2014-03-19,Stembureau Gilde Opleidingen,0983::SB7,5913 ES,1460,903,1,0,0,0,0,816,88,0,0,0,0,0,0,904,318,156,157,34,64,51,82,31,10
,Venlo,GR2014_Venlo,Gemeenteraad Venlo 2014,0983,Venlo,2014-03-19,Stembureau De Bantuin,0983::SB8,5916 SW,1788,1042,1,0,0,0,0,905,138,0,0,0,0,0,0,1043,318,246,145,38,103,54,69,58,11
,Venlo,GR2014_Venlo,Gemeenteraad Venlo 2014,0983,Venlo,2014-03-19,Stembureau wijkgebouw d'n Dörpel,0983::SB9,5913 CZ,1943,1173,4,11,0,0,0,1069,119,0,0,0,0,0,0,1188,314,206,260,47,105,49,124,55,13
,Venlo,GR2014_Venlo,Gemeenteraad Venlo 2014,0983,Venlo,2014-03-19,Stembureau Schoolgebouw,0983::SB10,5913 VZ,1648,945,3,2,0,0,0,868,82,0,0,0,0,0,0,950,287,164,216,60,58,41,68,42,9
