contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Staatkundig Gereformeerde Partij (SGP),Partij van de Arbeid (P.v.d.A.),VVD,CDA,ChristenUnie,Algemeen Belang Tholen (ABT),SP (Socialistische Partij)
,Tholen,GR2014_Tholen,Gemeenteraad Tholen 2014,0716,Tholen,2014-03-19,"Stembureau Ver.gebouw ""de Wingerd""",0716::SB1,4691BP,1354,880,0,1,0,0,0,685,196,0,0,0,0,0,0,881,178,105,129,89,173,89,117
,Tholen,GR2014_Tholen,Gemeenteraad Tholen 2014,0716,Tholen,2014-03-19,Stembureau Dalemhof,0716::SB2,4691ZC,1260,924,0,0,0,0,0,802,122,0,0,0,0,0,0,924,208,90,126,124,147,113,116
,Tholen,GR2014_Tholen,Gemeenteraad Tholen 2014,0716,Tholen,2014-03-19,"Stembureau Gemeenschapscentrum ""Meulvliet""",0716::SB3,4691HT,1444,1019,2,2,0,0,0,850,173,0,0,0,0,0,0,1023,268,101,115,111,171,107,146
,Tholen,GR2014_Tholen,Gemeenteraad Tholen 2014,0716,Tholen,2014-03-19,Stembureau Zalencentrum Ger.Gemeente,0716::SB4,4691DS,1768,1090,0,3,0,0,0,934,159,0,0,0,0,0,0,1093,306,74,184,121,190,94,121
,Tholen,GR2014_Tholen,Gemeenteraad Tholen 2014,0716,Tholen,2014-03-19,Stembureau Dorpshuis 't Ouwe Raed' uus,0716::SB5,4693BV,1261,771,3,1,0,0,0,659,116,0,0,0,0,0,0,775,218,53,67,137,81,80,135
,Tholen,GR2014_Tholen,Gemeenteraad Tholen 2014,0716,Tholen,2014-03-19,Stembureau Holland Huis,0716::SB6,4694BR,1283,851,0,2,0,0,0,705,148,0,0,0,0,0,0,853,429,61,63,61,58,81,98
,Tholen,GR2014_Tholen,Gemeenteraad Tholen 2014,0716,Tholen,2014-03-19,"Stembureau Gemeenschapscentrum ""Haestinge""",0716::SB7,4695BA,1569,899,1,3,0,0,0,779,125,0,1,0,1,0,0,904,175,162,115,49,77,159,162
,Tholen,GR2014_Tholen,Gemeenteraad Tholen 2014,0716,Tholen,2014-03-19,Stembureau Zorgcentrum Maartenshof,0716::SB8,4695HV,1205,704,1,1,0,0,0,601,105,0,0,0,0,0,0,706,155,146,41,56,74,117,115
,Tholen,GR2014_Tholen,Gemeenteraad Tholen 2014,0716,Tholen,2014-03-19,Stembureau Dorpshuis de Stove,0716::SB9,4696BK,1276,862,0,4,0,0,0,697,169,0,0,0,0,0,0,866,444,55,40,60,64,147,52
,Tholen,GR2014_Tholen,Gemeenteraad Tholen 2014,0716,Tholen,2014-03-19,Stembureau Zorgcentrum de Schutse,0716::SB10,4697GM,1294,857,0,4,0,0,0,746,115,0,0,0,0,0,0,861,233,62,97,86,134,174,71
,Tholen,GR2014_Tholen,Gemeenteraad Tholen 2014,0716,Tholen,2014-03-19,"Stembureau Gemeenschapscentrum ""Wellevaete""",0716::SB11,4697BJ,1532,1041,0,4,0,0,0,901,144,0,0,0,0,0,0,1045,256,103,160,113,138,176,95
,Tholen,GR2014_Tholen,Gemeenteraad Tholen 2014,0716,Tholen,2014-03-19,"Stembureau Dorpshuis ""De Vossenkuil""",0716::SB12,4698AM,1023,650,3,0,0,0,0,569,84,0,0,0,0,0,0,653,67,88,157,116,46,60,116
,Tholen,GR2014_Tholen,Gemeenteraad Tholen 2014,0716,Tholen,2014-03-19,Stembureau Ver.Gebouw Ger.Gemeente in Ned.,0716::SB13,4698CJ,1021,580,0,0,0,0,0,492,88,0,0,0,0,0,0,580,86,44,108,110,67,71,94
,Tholen,GR2014_Tholen,Gemeenteraad Tholen 2014,0716,Tholen,2014-03-19,Stembureau Dorpshuis De Wimpel,0716::SB14,4675CS,1675,1093,1,1,0,0,0,922,173,0,0,0,0,0,0,1095,494,52,110,86,132,89,130
,Tholen,GR2014_Tholen,Gemeenteraad Tholen 2014,0716,Tholen,2014-03-19,Stembureau Dorpshuis Ons Dorpshuis,0716::SB15,4675RJ,339,202,1,0,0,0,0,181,22,0,0,0,0,0,0,203,26,16,14,70,21,28,27
