contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,VVD,Inwonersbelangen,Progressief Woerden (PvdA/GroenLinks),Democraten 66 (D66),ChristenUnie,Staatkundig Gereformeerde Partij (SGP),STERK Woerden (SW),LijstvanderDoes
,Woerden,GR2014_Woerden,Gemeenteraad Woerden 2014,0632,Woerden,2014-03-19,Stembureau Concordia vergaderzalen,0632::SB1,3441 BG,1589,1027,4,2,0,0,0,955,78,0,0,0,0,0,0,1033,154,144,131,145,184,54,19,76,120
,Woerden,GR2014_Woerden,Gemeenteraad Woerden 2014,0632,Woerden,2014-03-19,Stembureau Zorgcentrum 't Oude Landt,0632::SB2,3443 AH,1100,642,0,0,0,0,0,565,77,0,0,0,0,0,0,642,219,89,53,38,85,34,41,28,55
,Woerden,GR2014_Woerden,Gemeenteraad Woerden 2014,0632,Woerden,2014-03-19,Stembureau Eetcafe en zalen 'De Baron',0632::SB3,3445 AM,1250,831,1,1,0,0,0,735,98,0,0,0,0,0,0,833,177,88,74,129,144,61,49,43,66
,Woerden,GR2014_Woerden,Gemeenteraad Woerden 2014,0632,Woerden,2014-03-19,Stembureau R. de Jagerschool,0632::SB4,3445 ER,1331,879,1,0,0,0,0,801,79,0,0,0,0,0,0,880,171,86,86,114,138,92,72,48,72
,Woerden,GR2014_Woerden,Gemeenteraad Woerden 2014,0632,Woerden,2014-03-19,Stembureau Jan de Bakkerschool,0632::SB5,3442 XH,1259,677,1,1,0,0,0,617,62,0,0,0,0,0,0,679,138,38,99,92,77,48,66,28,91
,Woerden,GR2014_Woerden,Gemeenteraad Woerden 2014,0632,Woerden,2014-03-19,Stembureau RK-basisschool De Wegwijzer,0632::SB6,3442 JE,1238,770,4,2,0,0,0,681,95,0,0,0,0,0,0,776,131,59,64,135,111,51,27,52,140
,Woerden,GR2014_Woerden,Gemeenteraad Woerden 2014,0632,Woerden,2014-03-19,Stembureau Willem van Oranjeschool,0632::SB7,3442 HG,1090,532,2,2,0,0,0,496,40,0,0,0,0,0,0,536,72,37,84,66,87,36,15,36,99
,Woerden,GR2014_Woerden,Gemeenteraad Woerden 2014,0632,Woerden,2014-03-19,Stembureau Welzijn Woerden,0632::SB8,3443 EG,1581,899,1,2,0,0,0,810,92,0,0,0,0,0,0,902,138,72,92,150,119,49,38,65,176
,Woerden,GR2014_Woerden,Gemeenteraad Woerden 2014,0632,Woerden,2014-03-19,Stembureau Sporthal Thijs van der Polshal,0632::SB9,3443 CT,1341,816,2,1,0,0,0,736,83,0,0,0,0,0,0,819,170,64,61,92,86,23,33,87,200
,Woerden,GR2014_Woerden,Gemeenteraad Woerden 2014,0632,Woerden,2014-03-19,Stembureau Jenaplanschool De Kring,0632::SB10,3443 GZ,1325,638,0,4,0,0,0,569,73,0,0,0,0,0,0,642,120,37,76,81,54,29,22,74,145
,Woerden,GR2014_Woerden,Gemeenteraad Woerden 2014,0632,Woerden,2014-03-19,Stembureau Ontmoetingcentr.Kruiskerk,0632::SB11,3443 CD,1343,869,5,2,0,0,0,787,89,0,0,0,0,0,0,876,139,56,150,131,75,53,39,55,171
,Woerden,GR2014_Woerden,Gemeenteraad Woerden 2014,0632,Woerden,2014-03-19,Stembureau Obs De Achtsprong,0632::SB12,3448 CH,1058,542,0,0,0,0,0,483,59,0,0,0,0,0,0,542,82,56,62,106,81,18,10,50,77
,Woerden,GR2014_Woerden,Gemeenteraad Woerden 2014,0632,Woerden,2014-03-19,Stembureau Stichting Sinar Maluku (Voorm. WCM),0632::SB13,3448 CA,1013,395,0,0,0,0,0,356,39,0,0,0,0,0,0,395,58,30,38,87,67,20,9,34,52
,Woerden,GR2014_Woerden,Gemeenteraad Woerden 2014,0632,Woerden,2014-03-19,Stembureau Johan Frisoschool,0632::SB14,3448 DX,1315,798,2,3,0,0,0,735,68,0,0,0,0,0,0,803,146,69,112,114,161,45,14,59,78
,Woerden,GR2014_Woerden,Gemeenteraad Woerden 2014,0632,Woerden,2014-03-19,Stembureau Maranathakerk,0632::SB15,3448 DC,1276,861,2,2,0,0,0,795,70,0,0,0,0,0,0,865,137,97,109,111,124,44,37,70,132
,Woerden,GR2014_Woerden,Gemeenteraad Woerden 2014,0632,Woerden,2014-03-19,Stembureau KBS Franciscus,0632::SB16,3448 TH,1223,479,0,2,0,0,0,434,47,0,0,0,0,0,0,481,61,50,75,89,90,21,10,43,40
,Woerden,GR2014_Woerden,Gemeenteraad Woerden 2014,0632,Woerden,2014-03-19,Stembureau Constantijnschool,0632::SB17,3448 KA,1352,980,0,0,0,0,0,887,93,0,0,0,0,0,0,980,133,98,99,148,226,75,38,70,93
,Woerden,GR2014_Woerden,Gemeenteraad Woerden 2014,0632,Woerden,2014-03-19,Stembureau Stadhuis,0632::SB18,3447 GR,1133,634,2,4,0,0,0,550,90,0,0,0,0,0,0,640,115,85,65,84,109,42,10,48,76
,Woerden,GR2014_Woerden,Gemeenteraad Woerden 2014,0632,Woerden,2014-03-19,Stembureau Het Baken,0632::SB19,3446 GS,1205,828,2,2,0,0,0,736,96,0,0,0,0,0,0,832,181,126,90,79,156,58,19,46,73
