contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,VVD,Partij van de Arbeid (P.v.d.A.),GROENLINKS,Democraten 66 (D66),Gemeentebelangen Bronckhorst (GBB),SGP/ChristenUnie
,Bronckhorst,GR2014_Bronckhorst,Gemeenteraad Bronckhorst 2014,1876,Bronckhorst,2014-03-19,Stembureau Gemeentehuis,1876::SB1,7255 KA,1494,938,5,0,0,0,0,846,96,0,0,1,0,1,0,942,275,199,118,64,110,156,16
,Bronckhorst,GR2014_Bronckhorst,Gemeenteraad Bronckhorst 2014,1876,Bronckhorst,2014-03-19,Stembureau Sporthal De Kamp / Hengelo Gld,1876::SB2,7255 CX,1545,773,1,2,0,0,0,711,65,0,0,0,0,0,0,776,241,156,99,34,75,159,9
,Bronckhorst,GR2014_Bronckhorst,Gemeenteraad Bronckhorst 2014,1876,Bronckhorst,2014-03-19,Stembureau Ons Huis / Hengelo Gld,1876::SB3,7255 DM,1447,796,0,2,0,0,0,739,59,0,0,0,0,0,0,798,258,122,124,36,69,169,18
,Bronckhorst,GR2014_Bronckhorst,Gemeenteraad Bronckhorst 2014,1876,Bronckhorst,2014-03-19,Stembureau Dorpshuis De Horst / Keijenborg,1876::SB4,7256 BC,1473,902,1,0,0,0,0,828,75,0,0,0,0,0,0,903,565,95,46,46,46,96,8
,Bronckhorst,GR2014_Bronckhorst,Gemeenteraad Bronckhorst 2014,1876,Bronckhorst,2014-03-19,Stembureau Voormalige school Varssel,1876::SB5,7255 MR,669,375,3,2,0,0,0,343,37,0,0,0,0,0,0,380,134,71,44,27,37,50,12
,Bronckhorst,GR2014_Bronckhorst,Gemeenteraad Bronckhorst 2014,1876,Bronckhorst,2014-03-19,Stembureau Cult. centrum De Brink / Zelhem,1876::SB6,7021 CN,1484,824,1,2,0,0,0,738,89,0,0,0,0,0,0,827,160,138,121,45,61,199,100
,Bronckhorst,GR2014_Bronckhorst,Gemeenteraad Bronckhorst 2014,1876,Bronckhorst,2014-03-19,Stembureau Muziekcentrum Union Zelhem,1876::SB7,7021 KH,1442,767,4,1,0,0,0,696,76,0,0,0,0,0,0,772,165,114,106,21,79,219,63
,Bronckhorst,GR2014_Bronckhorst,Gemeenteraad Bronckhorst 2014,1876,Bronckhorst,2014-03-19,Stembureau Dorpshuis D'n Draejer / Zelhem,1876::SB8,7021 KT,918,507,3,0,0,0,1,454,55,0,0,0,0,0,0,510,191,98,41,26,37,63,51
,Bronckhorst,GR2014_Bronckhorst,Gemeenteraad Bronckhorst 2014,1876,Bronckhorst,2014-03-19,Stembureau ARX theater / Zelhem,1876::SB9,7021 HC,653,307,0,0,0,0,0,267,40,0,0,0,0,0,0,307,82,71,44,23,17,43,27
,Bronckhorst,GR2014_Bronckhorst,Gemeenteraad Bronckhorst 2014,1876,Bronckhorst,2014-03-19,Stembureau Voorm. basisschool Halle-Heide,1876::SB10,7025 CL,476,269,1,1,0,0,0,251,20,0,0,0,0,0,0,271,70,28,52,35,15,58,11
