contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Inwonerspartij Toekomst Houten,VVD,CDA,Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),GROENLINKS,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),Houten Anders! (HA!)
,Houten,GR2014_Houten,Gemeenteraad Houten 2014,0321,Houten,2014-03-19,Stembureau Gemeentehuis,0321::SB1,3995 DW,2128,1517,6,4,0,0,0,1372,155,0,0,0,0,0,0,1527,240,144,182,184,253,177,113,73,151
,Houten,GR2014_Houten,Gemeenteraad Houten 2014,0321,Houten,2014-03-19,Stembureau RK basisschool Heilige Familie,0321::SB2,3991 AA,1011,951,2,2,0,0,0,855,100,0,0,0,0,0,0,955,139,138,165,91,141,73,38,90,76
,Houten,GR2014_Houten,Gemeenteraad Houten 2014,0321,Houten,2014-03-19,Stembureau Verpleeghuis Het Houtens Erf,0321::SB3,3991 KZ,1554,970,3,0,0,0,0,875,98,0,0,0,0,0,0,973,127,160,150,98,163,71,64,77,60
,Houten,GR2014_Houten,Gemeenteraad Houten 2014,0321,Houten,2014-03-19,Stembureau PC Basisschool Wereldwijs - Locatie De Lobben,0321::SB4,3991 VJ,1404,737,1,2,0,0,0,666,74,0,0,0,0,0,0,740,143,72,113,74,104,93,57,27,54
,Houten,GR2014_Houten,Gemeenteraad Houten 2014,0321,Houten,2014-03-19,Stembureau SCC Nieuwoord (grote zaal),0321::SB5,3992 JR,1745,1145,3,1,0,1,0,1029,121,0,0,0,1,0,0,1150,133,129,126,114,218,147,107,89,82
,Houten,GR2014_Houten,Gemeenteraad Houten 2014,0321,Houten,2014-03-19,Stembureau PC basisschool Wereldwijs - Locatie De Slagen,0321::SB6,3991 WE,2227,1354,7,3,0,0,0,1219,145,0,0,0,0,0,0,1364,190,124,134,155,200,152,155,123,121
,Houten,GR2014_Houten,Gemeenteraad Houten 2014,0321,Houten,2014-03-19,Stembureau RKBS De Zevensprong,0321::SB7,3992 RD,2259,1489,3,4,0,0,0,1342,154,0,0,0,0,0,0,1496,184,150,171,176,332,151,132,78,115
,Houten,GR2014_Houten,Gemeenteraad Houten 2014,0321,Houten,2014-03-19,"Stembureau PCB Het Mozaïek, locatie De Haag",0321::SB8,3993 BG,2053,959,10,3,0,0,0,883,89,0,0,0,0,0,0,972,135,69,81,124,158,124,88,82,98
,Houten,GR2014_Houten,Gemeenteraad Houten 2014,0321,Houten,2014-03-19,Stembureau OBS Klavertje Vier,0321::SB9,3993 GE,1943,1086,2,3,0,0,0,981,111,0,1,0,1,0,0,1092,169,73,88,153,197,120,101,52,133
,Houten,GR2014_Houten,Gemeenteraad Houten 2014,0321,Houten,2014-03-19,"Stembureau PCB Het Mozaïek, locatie Het Gilde",0321::SB10,3994 BM,1692,971,3,4,0,0,0,874,104,0,0,0,0,0,0,978,134,90,110,134,184,114,92,50,63
,Houten,GR2014_Houten,Gemeenteraad Houten 2014,0321,Houten,2014-03-19,Stembureau OBS De Brug,0321::SB11,3994 EK,1257,964,1,2,0,0,0,873,94,0,0,0,0,0,0,967,127,118,123,135,217,68,65,41,70
,Houten,GR2014_Houten,Gemeenteraad Houten 2014,0321,Houten,2014-03-19,Stembureau SCC De Ploeg,0321::SB12,3997 MH,466,321,1,1,0,0,0,287,36,0,0,0,0,0,0,323,44,56,92,9,16,26,8,49,21
,Houten,GR2014_Houten,Gemeenteraad Houten 2014,0321,Houten,2014-03-19,Stembureau SCC De Wiese,0321::SB13,3998 MD,1322,802,1,0,0,0,0,712,91,0,0,0,0,0,0,803,52,243,223,50,73,31,31,59,40
,Houten,GR2014_Houten,Gemeenteraad Houten 2014,0321,Houten,2014-03-19,Stembureau SCC 't Gebouw,0321::SB14,3999 NR,691,418,0,0,0,0,0,359,59,0,0,0,0,0,0,418,34,93,60,21,35,11,21,129,14
,Houten,GR2014_Houten,Gemeenteraad Houten 2014,0321,Houten,2014-03-19,Stembureau RKBS De Vlinder,0321::SB15,3994 PB,2206,1307,0,1,0,0,0,1108,200,0,0,0,0,0,0,1308,149,251,172,99,301,94,83,68,90
,Houten,GR2014_Houten,Gemeenteraad Houten 2014,0321,Houten,2014-03-19,Stembureau Woonzorgcomplex De Loericker Stee,0321::SB16,3994 VT,2304,1342,7,3,0,0,0,1187,165,0,0,0,0,0,0,1352,182,196,165,135,220,101,124,74,145
,Houten,GR2014_Houten,Gemeenteraad Houten 2014,0321,Houten,2014-03-19,Stembureau Wijkcentrum De Vuurtoren,0321::SB18,3994 KE,2138,1130,1,1,0,0,0,992,140,0,0,0,0,0,0,1132,155,194,134,97,240,60,69,68,113
,Houten,GR2014_Houten,Gemeenteraad Houten 2014,0321,Houten,2014-03-19,Stembureau App.complex  De Gordel van Smaragd,0321::SB19,3994 NS,968,499,0,0,0,0,0,450,49,0,0,0,0,0,0,499,78,114,48,30,87,24,34,22,62
,Houten,GR2014_Houten,Gemeenteraad Houten 2014,0321,Houten,2014-03-19,Stembureau PCBS De Zonnewijzer,0321::SB20,3991 MV,2074,1040,5,1,0,0,0,909,137,0,0,0,0,0,0,1046,188,160,87,89,177,62,97,81,99
,Houten,GR2014_Houten,Gemeenteraad Houten 2014,0321,Houten,2014-03-19,Stembureau Wijkcentrum Schoneveld,0321::SB21,3991 MX,2453,1365,5,0,0,0,0,1183,187,0,0,0,0,0,0,1370,208,209,132,161,250,101,104,63,137
,Houten,GR2014_Houten,Gemeenteraad Houten 2014,0321,Houten,2014-03-19,Stembureau OBS De Plantage,0321::SB22,3991 ZE,2235,1128,1,0,0,0,0,972,157,0,0,0,0,0,0,1129,315,185,83,85,192,55,58,55,100
