contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,DORP-ABS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.)
,Schijndel,GR2014_Schijndel,Gemeenteraad Schijndel 2014,0844,Schijndel,2014-03-19,Stembureau Gemeentehuis,0844::SB1,5482 NG,1994,1040,1,1,0,0,0,949,93,0,0,0,0,0,0,1042,358,321,182,179
,Schijndel,GR2014_Schijndel,Gemeenteraad Schijndel 2014,0844,Schijndel,2014-03-19,Stembureau Mgr. Bekkershuis,0844::SB2,5482 JD,1746,899,6,1,0,0,0,843,63,0,0,0,0,0,0,906,231,252,266,150
,Schijndel,GR2014_Schijndel,Gemeenteraad Schijndel 2014,0844,Schijndel,2014-03-19,Stembureau Sportcomplex De Dioscuren,0844::SB3,5481 KD,1857,1049,7,2,0,0,0,940,118,0,0,0,0,0,0,1058,424,327,142,156
,Schijndel,GR2014_Schijndel,Gemeenteraad Schijndel 2014,0844,Schijndel,2014-03-19,Stembureau De Hoogakkers,0844::SB4,5482 AL,1360,556,6,2,0,0,0,515,49,0,0,0,0,0,0,564,78,180,199,99
,Schijndel,GR2014_Schijndel,Gemeenteraad Schijndel 2014,0844,Schijndel,2014-03-19,Stembureau EBC De Regenboog,0844::SB5,5482 BJ,1523,579,0,4,0,0,0,510,73,0,0,0,0,0,0,583,199,189,103,88
,Schijndel,GR2014_Schijndel,Gemeenteraad Schijndel 2014,0844,Schijndel,2014-03-19,Stembureau Sociaal Cultureel Centrum de Vink,0844::SB6,5482 EP,1230,687,0,4,0,0,0,616,75,0,0,0,0,0,0,691,130,191,278,88
,Schijndel,GR2014_Schijndel,Gemeenteraad Schijndel 2014,0844,Schijndel,2014-03-19,Stembureau Dorpscentrum De Schakel,0844::SB7,5482 DA,1363,667,5,3,0,0,0,598,77,0,0,0,0,0,0,675,244,202,140,81
,Schijndel,GR2014_Schijndel,Gemeenteraad Schijndel 2014,0844,Schijndel,2014-03-19,Stembureau 't Spectrum,0844::SB8,5482 WN,2037,1049,6,3,0,0,0,954,104,0,0,0,0,0,0,1058,396,322,138,193
,Schijndel,GR2014_Schijndel,Gemeenteraad Schijndel 2014,0844,Schijndel,2014-03-19,Stembureau Sociaal Cultureel Centrum de Kajuit,0844::SB9,5482 MA,1867,698,7,2,0,0,0,631,76,0,0,0,0,0,0,707,138,240,229,91
,Schijndel,GR2014_Schijndel,Gemeenteraad Schijndel 2014,0844,Schijndel,2014-03-19,Stembureau Café de Kikvorsch,0844::SB10,5481 EJ,1580,686,8,5,0,0,0,625,77,0,3,0,3,0,0,702,203,244,179,60
,Schijndel,GR2014_Schijndel,Gemeenteraad Schijndel 2014,0844,Schijndel,2014-03-19,Stembureau Het Gasthuis,0844::SB11,5481 HL,2007,792,6,4,0,0,0,732,70,0,0,0,0,0,0,802,183,248,222,139
