contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Lokaal Halderberge,CDA,WOS,VVD,"Progressief Halderb. (PvdA, D66, GROENLINKS)",Voor De Gemeenschap
,Halderberge,GR2014_Halderberge,Gemeenteraad Halderberge 2014,1655,Halderberge,2014-03-19,Stembureau Cult.centr.Fidei et Arti,1655::SB1,4731 HV,2007,855,11,6,0,0,0,768,104,0,0,0,0,0,0,872,284,217,43,153,121,37
,Halderberge,GR2014_Halderberge,Gemeenteraad Halderberge 2014,1655,Halderberge,2014-03-19,Stembureau Sportivo Healthcenter,1655::SB2,4731 LH,1476,505,9,1,0,0,0,446,69,0,0,0,0,0,0,515,134,108,19,128,73,43
,Halderberge,GR2014_Halderberge,Gemeenteraad Halderberge 2014,1655,Halderberge,2014-03-19,Stembureau Centrum Wonen&Zorg de Zellebergen,1655::SB3,4731 NZ,1766,769,10,5,0,0,0,687,97,0,0,0,0,0,0,784,239,185,43,120,128,54
,Halderberge,GR2014_Halderberge,Gemeenteraad Halderberge 2014,1655,Halderberge,2014-03-19,Stembureau Steunpunt voor ouderen Pagnevaart,1655::SB4,4731 BS,1607,683,4,6,0,0,0,643,50,0,0,0,0,0,0,693,195,176,34,112,97,69
,Halderberge,GR2014_Halderberge,Gemeenteraad Halderberge 2014,1655,Halderberge,2014-03-19,Stembureau Basisschool De Regenboog,1655::SB6,4731 VW,1904,757,4,3,0,0,0,673,91,0,0,0,0,0,0,764,218,138,41,164,157,39
,Halderberge,GR2014_Halderberge,Gemeenteraad Halderberge 2014,1655,Halderberge,2014-03-19,Stembureau Brandweerkazerne,1655::SB8,4741 EJ,1978,1040,8,6,0,0,0,934,120,0,0,0,0,0,0,1054,248,266,18,283,175,50
,Halderberge,GR2014_Halderberge,Gemeenteraad Halderberge 2014,1655,Halderberge,2014-03-19,Stembureau Trefpunt KBO,1655::SB9,4741 AG,1328,749,4,0,0,0,0,681,72,0,0,0,0,0,0,753,198,244,15,163,95,34
,Halderberge,GR2014_Halderberge,Gemeenteraad Halderberge 2014,1655,Halderberge,2014-03-19,Stembureau Zaal Hart van Gastel,1655::SB11,4751 HR,1288,604,1,1,0,0,0,540,66,0,0,0,0,0,0,606,35,155,226,63,40,85
,Halderberge,GR2014_Halderberge,Gemeenteraad Halderberge 2014,1655,Halderberge,2014-03-19,Stembureau Basisschool St.Bernardus,1655::SB12,4751 HK,1099,503,2,1,0,0,0,459,47,0,0,0,0,0,0,506,47,117,195,52,36,56
,Halderberge,GR2014_Halderberge,Gemeenteraad Halderberge 2014,1655,Halderberge,2014-03-19,Stembureau Centrum Het Veerhuis,1655::SB14,4751 CS,2009,926,2,7,0,0,0,838,97,0,0,0,0,0,0,935,46,197,464,77,43,99
,Halderberge,GR2014_Halderberge,Gemeenteraad Halderberge 2014,1655,Halderberge,2014-03-19,Stembureau Zaal/café Geerts,1655::SB15,4754 AC,1022,520,0,1,0,0,0,468,53,0,0,0,0,0,0,521,9,92,337,31,22,29
,Halderberge,GR2014_Halderberge,Gemeenteraad Halderberge 2014,1655,Halderberge,2014-03-19,Stembureau MFA 't Bossche Hart,1655::SB16,4744 BX,1839,832,1,1,0,0,0,741,93,0,0,0,0,0,0,834,346,81,23,213,133,36
,Halderberge,GR2014_Halderberge,Gemeenteraad Halderberge 2014,1655,Halderberge,2014-03-19,Stembureau Regionaal Archief West Brabant,1655::SB17,4731 CD,1452,681,1,4,0,0,0,602,84,0,0,0,0,0,0,686,215,142,27,134,118,45
,Halderberge,GR2014_Halderberge,Gemeenteraad Halderberge 2014,1655,Halderberge,2014-03-19,Stembureau Woon- en Zorgcomplex Blankershof,1655::SB18,4751 KK,947,298,0,1,0,0,0,262,37,0,0,0,0,0,0,299,12,55,140,48,16,27
,Halderberge,GR2014_Halderberge,Gemeenteraad Halderberge 2014,1655,Halderberge,2014-03-19,Stembureau Woon- en Zorgcentrum Kroonestede,1655::SB19,4741 JC,2078,820,3,3,0,0,0,726,100,0,0,0,0,0,0,826,200,219,25,231,106,39
