contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Gemeenschapslijst,HOI Werkt,CDA,VVD
,Hilvarenbeek,GR2014_Hilvarenbeek,Gemeenteraad Hilvarenbeek 2014,0798,Hilvarenbeek,2014-03-19,Stembureau Gemeentehuis,0798::SB1,5081CA,1377,1035,8,0,0,0,0,946,97,0,0,0,0,0,0,1043,289,417,117,212
,Hilvarenbeek,GR2014_Hilvarenbeek,Gemeenteraad Hilvarenbeek 2014,0798,Hilvarenbeek,2014-03-19,Stembureau Hotel Brabant,0798::SB2,5081AG,1229,560,4,1,0,0,0,511,55,0,0,0,1,0,0,566,121,258,46,135
,Hilvarenbeek,GR2014_Hilvarenbeek,Gemeenteraad Hilvarenbeek 2014,0798,Hilvarenbeek,2014-03-19,Stembureau Zorgcentrum 'De Clossenborch',0798::SB3,5081JV,1210,675,3,0,0,0,0,612,66,0,0,0,0,0,0,678,233,197,122,123
,Hilvarenbeek,GR2014_Hilvarenbeek,Gemeenteraad Hilvarenbeek 2014,0798,Hilvarenbeek,2014-03-19,Stembureau Cafe-zaal 'Schuttershof',0798::SB4,5085EG,924,569,3,0,0,0,0,519,53,0,0,0,0,0,0,572,299,144,68,58
,Hilvarenbeek,GR2014_Hilvarenbeek,Gemeenteraad Hilvarenbeek 2014,0798,Hilvarenbeek,2014-03-19,Stembureau Dorpsgebouw 't Gebint,0798::SB5,5084HG,696,442,4,3,0,0,0,408,41,0,0,0,0,0,0,449,273,82,58,29
,Hilvarenbeek,GR2014_Hilvarenbeek,Gemeenteraad Hilvarenbeek 2014,0798,Hilvarenbeek,2014-03-19,Stembureau Bassisschool Starrebos,0798::SB6,5081VE,1520,939,5,3,0,0,0,869,78,0,0,0,0,0,0,947,290,432,103,114
,Hilvarenbeek,GR2014_Hilvarenbeek,Gemeenteraad Hilvarenbeek 2014,0798,Hilvarenbeek,2014-03-19,Stembureau Bassischool De Doelakkers,0798::SB7,5081XM,1409,792,3,3,0,0,0,714,84,0,0,0,0,0,0,798,183,387,73,149
,Hilvarenbeek,GR2014_Hilvarenbeek,Gemeenteraad Hilvarenbeek 2014,0798,Hilvarenbeek,2014-03-19,Stembureau Restaria De Zwaan,0798::SB8,5087BA,1403,717,2,0,0,0,0,644,75,0,0,0,0,0,0,719,331,219,96,71
,Hilvarenbeek,GR2014_Hilvarenbeek,Gemeenteraad Hilvarenbeek 2014,0798,Hilvarenbeek,2014-03-19,Stembureau Zaal 'Den Horst',0798::SB9,5089NK,663,468,0,1,0,0,0,409,60,0,0,0,0,0,0,469,351,54,50,13
,Hilvarenbeek,GR2014_Hilvarenbeek,Gemeenteraad Hilvarenbeek 2014,0798,Hilvarenbeek,2014-03-19,Stembureau Partycentrum 'Hercules',0798::SB10,5087BJ,1507,880,8,4,0,0,0,804,88,0,0,0,0,0,0,892,368,269,173,70
