contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Gemeentebelangen,ChristenUnie,Partij van de Arbeid (P.v.d.A.),VVD,Democraten 66 (D66)
,Dalfsen,GR2014_Dalfsen,Gemeenteraad Dalfsen 2014,0148,Dalfsen,2014-03-19,Stembureau Rosengaerde,0148::SB1,7721 CT,1398,1148,0,3,0,0,0,1054,98,0,1,0,1,0,0,1152,252,437,171,121,58,109
,Dalfsen,GR2014_Dalfsen,Gemeenteraad Dalfsen 2014,0148,Dalfsen,2014-03-19,Stembureau Woonzorgcentrum 't Anker,0148::SB2,8152 BP,1362,828,1,1,0,0,0,761,69,0,0,0,0,0,0,830,382,257,31,68,45,45
,Dalfsen,GR2014_Dalfsen,Gemeenteraad Dalfsen 2014,0148,Dalfsen,2014-03-19,Stembureau De Wiekelaar,0148::SB3,7722 ST,1163,727,2,2,0,0,0,652,79,0,0,0,0,0,0,731,264,233,101,37,36,56
,Dalfsen,GR2014_Dalfsen,Gemeenteraad Dalfsen 2014,0148,Dalfsen,2014-03-19,Stembureau Parochiehuis Hoonhorst,0148::SB4,7722 LR,1263,883,8,0,0,0,0,811,80,0,0,0,0,0,0,891,282,372,86,50,24,69
,Dalfsen,GR2014_Dalfsen,Gemeenteraad Dalfsen 2014,0148,Dalfsen,2014-03-19,Stembureau Rest. Het Roode Hert,0148::SB5,7722 PJ,686,511,3,1,0,0,0,469,46,0,0,0,0,0,0,515,138,166,96,33,38,40
,Dalfsen,GR2014_Dalfsen,Gemeenteraad Dalfsen 2014,0148,Dalfsen,2014-03-19,Stembureau Geref. Kerk(Vrijgem.),0148::SB6,7721 XM,1836,1286,2,3,0,0,0,1168,123,0,0,0,0,0,0,1291,264,429,306,103,74,110
,Dalfsen,GR2014_Dalfsen,Gemeenteraad Dalfsen 2014,0148,Dalfsen,2014-03-19,Stembureau Gemeentehuis,0148::SB7,7721 AX,1023,843,5,3,0,0,0,781,70,0,0,0,0,0,0,851,170,255,101,117,76,124
,Dalfsen,GR2014_Dalfsen,Gemeenteraad Dalfsen 2014,0148,Dalfsen,2014-03-19,Stembureau Ned. Gereformeerde Kerk,0148::SB8,7721 DX,1341,1197,3,3,0,0,0,1109,94,0,0,0,0,0,0,1203,241,359,242,154,55,146
,Dalfsen,GR2014_Dalfsen,Gemeenteraad Dalfsen 2014,0148,Dalfsen,2014-03-19,Stembureau Kulturhus De Mozaiek,0148::SB9,8151 AZ,996,565,2,6,0,0,0,513,60,0,0,0,0,0,0,573,220,199,19,54,34,39
,Dalfsen,GR2014_Dalfsen,Gemeenteraad Dalfsen 2014,0148,Dalfsen,2014-03-19,Stembureau Verenigingsgebouw  Ankum,0148::SB10,7722 RK,1632,835,6,4,0,0,0,773,70,0,0,2,0,0,2,843,157,336,128,90,53,71
,Dalfsen,GR2014_Dalfsen,Gemeenteraad Dalfsen 2014,0148,Dalfsen,2014-03-19,Stembureau Hofje van Buisman,0148::SB11,8151 BL,1170,700,3,1,0,1,0,656,47,0,0,1,0,0,0,703,264,276,32,55,25,48
,Dalfsen,GR2014_Dalfsen,Gemeenteraad Dalfsen 2014,0148,Dalfsen,2014-03-19,Stembureau NH Jeugdgebouw,0148::SB12,7711 CD,1680,1139,6,1,1,0,0,1041,106,0,0,0,1,0,0,1147,313,491,149,63,70,53
,Dalfsen,GR2014_Dalfsen,Gemeenteraad Dalfsen 2014,0148,Dalfsen,2014-03-19,Stembureau CBS Het Kompas,0148::SB13,7711 GC,1062,534,1,1,0,0,0,468,68,0,0,0,0,0,0,536,157,163,117,33,33,31
,Dalfsen,GR2014_Dalfsen,Gemeenteraad Dalfsen 2014,0148,Dalfsen,2014-03-19,Stembureau Maranathakerk,0148::SB14,7711 HS,1444,892,4,2,0,0,0,809,89,0,0,0,0,0,0,898,187,404,186,32,51,32
,Dalfsen,GR2014_Dalfsen,Gemeenteraad Dalfsen 2014,0148,Dalfsen,2014-03-19,Stembureau Restaurant Madrid,0148::SB15,7722 HS,426,258,0,1,0,0,0,219,40,0,0,0,0,0,0,259,162,38,13,14,16,15
,Dalfsen,GR2014_Dalfsen,Gemeenteraad Dalfsen 2014,0148,Dalfsen,2014-03-19,Stembureau De Schakel,0148::SB16,7711 KK,1530,902,1,1,0,0,0,818,86,0,0,0,0,0,0,904,165,446,144,43,53,51
,Dalfsen,GR2014_Dalfsen,Gemeenteraad Dalfsen 2014,0148,Dalfsen,2014-03-19,Stembureau De Hulstkampen,0148::SB17,7711 JE,1379,892,4,2,0,0,0,821,77,0,0,0,0,0,0,898,208,399,170,66,18,31
