contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,BINT,VVD,Staatkundig Gereformeerde Partij (SGP),Christen Democratisch Appèl (CDA),Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),GROENLINKS,ChristenUnie
,Oud-Beijerland,GR2014_OudBeijerland,Gemeenteraad Oud-Beijerland 2014,0584,Oud-Beijerland,2014-03-19,"Stembureau Het Gemeentehuis, W. van Vlietstraat 6",0584::SB1,,1466,1112,8,6,0,0,0,989,137,0,0,0,0,0,0,1126,243,133,208,110,82,158,72,106
,Oud-Beijerland,GR2014_OudBeijerland,Gemeenteraad Oud-Beijerland 2014,0584,Oud-Beijerland,2014-03-19,"Stembureau ""Maranatha"", Kerkstraat 57",0584::SB2,,1365,895,6,2,0,0,0,800,104,0,0,0,1,0,0,904,207,50,272,83,62,76,49,96
,Oud-Beijerland,GR2014_OudBeijerland,Gemeenteraad Oud-Beijerland 2014,0584,Oud-Beijerland,2014-03-19,Stembureau De Egmontshof (Ingang Rembrandtstr.),0584::SB3,,1383,755,1,1,0,0,0,669,88,0,0,0,0,0,0,757,178,71,134,98,46,105,37,86
,Oud-Beijerland,GR2014_OudBeijerland,Gemeenteraad Oud-Beijerland 2014,0584,Oud-Beijerland,2014-03-19,"Stembureau De Lindenhoeve, Steenenstraat 24",0584::SB4,,1187,655,2,1,0,0,0,566,92,0,0,0,0,0,0,658,115,89,163,56,40,95,31,66
,Oud-Beijerland,GR2014_OudBeijerland,Gemeenteraad Oud-Beijerland 2014,0584,Oud-Beijerland,2014-03-19,"Stembureau Kantine voetbalver.""Zinkwegse Boys""",0584::SB5,,316,242,1,0,0,0,0,217,26,0,0,0,0,0,0,243,39,38,43,16,20,43,17,26
,Oud-Beijerland,GR2014_OudBeijerland,Gemeenteraad Oud-Beijerland 2014,0584,Oud-Beijerland,2014-03-19,"Stembureau De Boogerd, Hortensiastraat 5",0584::SB6,,1260,836,1,0,0,0,0,737,100,0,0,0,0,0,0,837,179,100,179,137,48,82,30,81
,Oud-Beijerland,GR2014_OudBeijerland,Gemeenteraad Oud-Beijerland 2014,0584,Oud-Beijerland,2014-03-19,"Stembureau Restaurant De Gravin, Koninginnepl.2-4",0584::SB7,,1334,684,2,5,0,0,0,620,71,0,0,0,0,0,0,691,175,68,124,69,40,115,19,74
,Oud-Beijerland,GR2014_OudBeijerland,Gemeenteraad Oud-Beijerland 2014,0584,Oud-Beijerland,2014-03-19,"Stembureau Zorglocatie Zoomhoek, Randweg 25",0584::SB8,,2133,1075,8,4,0,0,0,974,113,0,0,0,0,0,0,1087,340,109,95,107,66,178,83,97
,Oud-Beijerland,GR2014_OudBeijerland,Gemeenteraad Oud-Beijerland 2014,0584,Oud-Beijerland,2014-03-19,"Stembureau ""De Open Waard"", Molenaar 1",0584::SB9,,1940,1185,6,4,0,0,0,1058,137,0,0,0,0,0,0,1195,401,92,63,112,96,243,91,87
,Oud-Beijerland,GR2014_OudBeijerland,Gemeenteraad Oud-Beijerland 2014,0584,Oud-Beijerland,2014-03-19,"Stembureau Wijkgebouw ""O. Gorzen"", Lange Meet 31",0584::SB10,,1600,820,8,1,0,0,0,746,83,0,0,0,0,0,0,829,242,106,68,82,60,147,53,62
,Oud-Beijerland,GR2014_OudBeijerland,Gemeenteraad Oud-Beijerland 2014,0584,Oud-Beijerland,2014-03-19,"Stembureau OBL Verbindtwinkel, Oostdijk 24",0584::SB11,,1622,756,1,1,0,0,0,677,81,0,0,0,0,0,0,758,220,125,61,80,44,122,21,83
,Oud-Beijerland,GR2014_OudBeijerland,Gemeenteraad Oud-Beijerland 2014,0584,Oud-Beijerland,2014-03-19,"Stembureau De Zuidwester, van Schendelstraat 9",0584::SB12,,1358,645,1,2,0,0,0,569,79,0,0,0,0,0,0,648,140,123,61,79,33,146,24,39
,Oud-Beijerland,GR2014_OudBeijerland,Gemeenteraad Oud-Beijerland 2014,0584,Oud-Beijerland,2014-03-19,"Stembureau Bethelkerk, Bachlaan 43",0584::SB13,,1423,820,1,0,0,0,0,738,83,0,0,0,0,0,0,821,215,154,53,121,52,131,35,59
