contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),Protestants Christelijke Groepering,CDA,Democraten 66 (D66),Gemeentebelangen,Buren 2014,Partij voor de Dieren
,Buren,GR2014_Buren,Gemeenteraad Buren 2014,0214,Buren,2014-03-19,Stembureau Verzorgingshuis Oranjehof,0214::SB1,4116 DJ,1342,859,3,4,0,0,0,773,94,0,1,0,1,0,0,867,144,179,75,140,134,115,17,55
,Buren,GR2014_Buren,Gemeenteraad Buren 2014,0214,Buren,2014-03-19,Stembureau Dorpshuis  Erichem,0214::SB2,4117 GJ,1327,657,0,2,0,0,0,583,76,0,0,0,0,0,0,659,175,98,68,94,85,84,13,40
,Buren,GR2014_Buren,Gemeenteraad Buren 2014,0214,Buren,2014-03-19,Stembureau Dorpshuis  't Ecksternest,0214::SB3,4024 HM,1294,746,3,4,0,0,0,669,84,0,0,0,0,0,0,753,180,78,81,66,82,163,37,59
,Buren,GR2014_Buren,Gemeenteraad Buren 2014,0214,Buren,2014-03-19,Stembureau Dorpshuis De Hoekenburg Rijswijk,0214::SB4,4023 AV,416,269,0,0,0,0,0,229,40,0,0,0,0,0,0,269,66,52,9,34,22,53,12,21
,Buren,GR2014_Buren,Gemeenteraad Buren 2014,0214,Buren,2014-03-19,Stembureau Dorpshuis De Rozenhoek Ravenswaaij,0214::SB5,4119 LW,427,300,0,2,0,0,0,257,45,0,0,0,0,0,0,302,55,45,15,46,37,74,10,18
,Buren,GR2014_Buren,Gemeenteraad Buren 2014,0214,Buren,2014-03-19,Stembureau Dorpshuis Kerk-Avezaath,0214::SB6,4012 BC,1099,697,3,2,0,0,0,629,73,0,0,0,0,0,0,702,168,191,13,70,69,129,14,43
,Buren,GR2014_Buren,Gemeenteraad Buren 2014,0214,Buren,2014-03-19,Stembureau Dorpshuis de Oude School Zoelen,0214::SB7,4011 EM,1235,674,2,5,0,0,0,594,87,0,0,0,0,0,0,681,211,141,22,60,73,108,15,44
,Buren,GR2014_Buren,Gemeenteraad Buren 2014,0214,Buren,2014-03-19,Stembureau Dorpshuis 't Zoetzand  Beusichem,0214::SB8,4112 JL,1388,856,3,1,0,0,0,783,77,0,0,0,0,0,0,860,246,123,116,98,125,69,27,52
,Buren,GR2014_Buren,Gemeenteraad Buren 2014,0214,Buren,2014-03-19,Stembureau Gemeentehuis Maurik,0214::SB9,4021 VZ,1619,790,0,2,0,0,0,695,97,0,0,0,0,0,0,792,181,128,52,88,86,160,52,43
,Buren,GR2014_Buren,Gemeenteraad Buren 2014,0214,Buren,2014-03-19,Stembureau O.b.s. de Klepper,0214::SB10,4111 LD,746,399,3,0,0,0,0,362,40,0,0,0,0,0,0,402,71,68,39,36,95,59,7,24
,Buren,GR2014_Buren,Gemeenteraad Buren 2014,0214,Buren,2014-03-19,Stembureau Het Gildehuis,0214::SB11,4033 GP,1824,1046,3,1,0,1,0,900,151,0,0,0,1,0,0,1051,167,120,352,85,53,196,22,51
,Buren,GR2014_Buren,Gemeenteraad Buren 2014,0214,Buren,2014-03-19,Stembureau Verzorgingshuis de Valentijn Maurik,0214::SB12,4021 HN,1656,764,3,3,0,0,0,669,101,0,0,0,0,0,0,770,174,156,38,79,79,146,56,36
,Buren,GR2014_Buren,Gemeenteraad Buren 2014,0214,Buren,2014-03-19,Stembureau Meentschool Ommeren,0214::SB13,4032 NA,1476,771,2,2,0,1,0,641,135,0,0,0,1,0,0,776,139,71,197,69,55,175,23,42
,Buren,GR2014_Buren,Gemeenteraad Buren 2014,0214,Buren,2014-03-19,Stembureau O.b.s. Prins Willem-Alexander,0214::SB14,4112 JT,759,428,0,1,0,0,0,395,34,0,0,0,0,0,0,429,96,110,30,43,82,28,14,25
,Buren,GR2014_Buren,Gemeenteraad Buren 2014,0214,Buren,2014-03-19,Stembureau Dorpshuis Asch,0214::SB15,4115 RT,301,193,0,3,0,0,0,170,26,0,0,0,0,0,0,196,28,42,25,22,44,12,7,13
,Buren,GR2014_Buren,Gemeenteraad Buren 2014,0214,Buren,2014-03-19,Stembureau Verenigingsgebouw Ingen,0214::SB16,4031 KL,1612,809,1,1,0,0,0,721,90,0,0,0,0,0,0,811,165,108,98,71,92,171,27,77
,Buren,GR2014_Buren,Gemeenteraad Buren 2014,0214,Buren,2014-03-19,Stembureau Zaal Torenzicht Lienden,0214::SB17,4033 EC,1822,1014,1,1,0,0,0,886,130,0,0,0,0,0,0,1016,109,123,403,71,74,184,17,33
