contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,LEEFBAAR ZEEWOLDE,VVD,CDA,ChristenUnie,Partij van de Arbeid/GROENLINKS,Democraten 66 (D66),Burgerbelang,Zeewolde Liberaal
,Zeewolde,GR2014_Zeewolde,Gemeenteraad Zeewolde 2014,0050,Zeewolde,2014-03-19,Stembureau Gemeentehuis,0050::SB1,3891 ER,1361,1239,4,5,1,1,0,1154,95,0,0,0,1,0,0,1249,324,219,152,127,127,127,62,101
,Zeewolde,GR2014_Zeewolde,Gemeenteraad Zeewolde 2014,0050,Zeewolde,2014-03-19,Stembureau 't Wold,0050::SB2,3891 CB,1247,793,1,7,0,0,0,714,87,0,0,0,0,0,0,801,228,114,96,89,75,55,65,71
,Zeewolde,GR2014_Zeewolde,Gemeenteraad Zeewolde 2014,0050,Zeewolde,2014-03-19,Stembureau De Richtingwijzer,0050::SB3,3892 AL,1423,884,8,1,0,0,0,811,82,0,0,0,0,0,0,893,237,114,105,149,73,87,68,51
,Zeewolde,GR2014_Zeewolde,Gemeenteraad Zeewolde 2014,0050,Zeewolde,2014-03-19,Stembureau In de Lichtkring,0050::SB4,3891 DK,1481,825,2,1,0,0,0,736,92,0,0,0,0,0,0,828,217,70,89,193,74,80,38,64
,Zeewolde,GR2014_Zeewolde,Gemeenteraad Zeewolde 2014,0050,Zeewolde,2014-03-19,Stembureau De Zevenster,0050::SB5,3892 CA,972,621,0,0,0,0,0,544,77,0,0,0,0,0,0,621,198,110,65,72,63,44,28,41
,Zeewolde,GR2014_Zeewolde,Gemeenteraad Zeewolde 2014,0050,Zeewolde,2014-03-19,Stembureau De Delta,0050::SB6,3892 HZ,1706,998,5,2,0,0,0,894,111,0,0,0,0,0,0,1005,340,141,97,139,76,83,60,62
,Zeewolde,GR2014_Zeewolde,Gemeenteraad Zeewolde 2014,0050,Zeewolde,2014-03-19,Stembureau 't Kofschip,0050::SB7,3893 BE,1465,768,7,1,0,0,0,701,74,0,0,1,0,1,0,775,241,128,72,124,72,65,25,41
,Zeewolde,GR2014_Zeewolde,Gemeenteraad Zeewolde 2014,0050,Zeewolde,2014-03-19,Stembureau De Toermalijn,0050::SB8,3893 EB,1539,933,5,0,0,1,0,830,109,0,0,0,1,0,0,939,261,163,99,187,49,78,45,51
,Zeewolde,GR2014_Zeewolde,Gemeenteraad Zeewolde 2014,0050,Zeewolde,2014-03-19,Stembureau Het Mozaiek,0050::SB9,3893 EB,1600,960,0,1,0,0,0,845,116,0,0,0,0,0,0,961,270,168,120,171,65,79,25,62
,Zeewolde,GR2014_Zeewolde,Gemeenteraad Zeewolde 2014,0050,Zeewolde,2014-03-19,Stembureau Panta Rhei (10),0050::SB10,3894 BA,1310,626,0,1,0,0,0,510,117,0,0,0,0,0,0,627,84,166,147,97,23,46,22,41
,Zeewolde,GR2014_Zeewolde,Gemeenteraad Zeewolde 2014,0050,Zeewolde,2014-03-19,Stembureau Panta Rhei (11),0050::SB11,3894 BA,1715,689,2,1,0,0,0,599,93,0,0,0,0,0,0,692,163,149,105,83,43,63,43,40
