contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Winterswijks Belang,VVD,CDA,Partij van de Arbeid (P.v.d.A.),SP (Socialistische Partij),Democraten 66 (D66),7
,Winterswijk,GR2014_Winterswijk,Gemeenteraad Winterswijk 2014,0294,Winterswijk,2014-03-19,Stembureau Gemeentekantoor,0294::SB1,7101 GH,2346,1558,9,8,0,0,0,1466,111,0,0,0,2,0,0,1577,481,220,259,210,251,105,32
,Winterswijk,GR2014_Winterswijk,Gemeenteraad Winterswijk 2014,0294,Winterswijk,2014-03-19,Stembureau Vrije basisschool de Esch,0294::SB2,7101 JH,2128,1022,1,1,0,0,0,963,61,0,0,0,0,0,0,1024,340,166,217,124,111,61,3
,Winterswijk,GR2014_Winterswijk,Gemeenteraad Winterswijk 2014,0294,Winterswijk,2014-03-19,Stembureau Regionaal Verpleeghuis Pronsweide,0294::SB3,7101 BH,2038,1303,0,5,0,0,0,1180,128,0,0,0,0,0,0,1308,418,193,254,157,131,126,24
,Winterswijk,GR2014_Winterswijk,Gemeenteraad Winterswijk 2014,0294,Winterswijk,2014-03-19,Stembureau o.b.s. De Kolibrie,0294::SB4,7101 VG,1816,765,5,3,0,0,0,712,61,0,0,0,0,0,0,773,207,72,108,145,180,46,7
,Winterswijk,GR2014_Winterswijk,Gemeenteraad Winterswijk 2014,0294,Winterswijk,2014-03-19,Stembureau Woonzorgcentrum Pelkwijk,0294::SB5,7101 WL,1841,1004,4,4,0,0,0,935,77,0,0,0,0,0,0,1012,266,141,165,165,173,82,12
,Winterswijk,GR2014_Winterswijk,Gemeenteraad Winterswijk 2014,0294,Winterswijk,2014-03-19,Stembureau Woonzorgcentrum Vredensehof,0294::SB6,7101 LM,1951,1083,7,0,0,1,0,1007,84,0,0,0,1,0,0,1091,312,104,191,232,161,71,12
,Winterswijk,GR2014_Winterswijk,Gemeenteraad Winterswijk 2014,0294,Winterswijk,2014-03-19,Stembureau Woonzorgcentrum De Berkhof,0294::SB7,7103 VX,2100,1077,6,2,0,0,0,1012,72,0,0,1,0,0,0,1084,305,141,197,176,183,61,14
,Winterswijk,GR2014_Winterswijk,Gemeenteraad Winterswijk 2014,0294,Winterswijk,2014-03-19,Stembureau o.b.s. Bargerpaske,0294::SB8,7103 AW,2471,1646,9,6,0,0,0,1527,134,0,0,0,0,0,0,1661,495,242,313,268,202,116,10
,Winterswijk,GR2014_Winterswijk,Gemeenteraad Winterswijk 2014,0294,Winterswijk,2014-03-19,Stembureau o.b.s. De Schakel,0294::SB9,7102 CN,1802,1017,6,3,0,0,0,934,92,0,0,0,0,0,0,1026,312,146,191,131,148,75,14
,Winterswijk,GR2014_Winterswijk,Gemeenteraad Winterswijk 2014,0294,Winterswijk,2014-03-19,Stembureau Verenigingsgebouw De Eendracht,0294::SB10,7104 AK,1134,748,1,0,0,0,0,691,58,0,0,0,0,0,0,749,84,180,322,90,30,37,5
,Winterswijk,GR2014_Winterswijk,Gemeenteraad Winterswijk 2014,0294,Winterswijk,2014-03-19,Stembureau Centrumgebouw bij camp. de Twee Bruggen,0294::SB11,7109 AH,722,439,0,1,1,0,0,393,46,0,0,1,0,0,0,439,113,128,133,23,18,19,5
,Winterswijk,GR2014_Winterswijk,Gemeenteraad Winterswijk 2014,0294,Winterswijk,2014-03-19,Stembureau Emmaschool Henxel,0294::SB12,7113 AE,844,523,2,0,0,0,0,484,41,0,0,0,0,0,0,525,62,218,149,34,29,26,5
,Winterswijk,GR2014_Winterswijk,Gemeenteraad Winterswijk 2014,0294,Winterswijk,2014-03-19,Stembureau Julianagebouw Woold,0294::SB13,7108 BP,1508,840,0,1,0,0,0,752,89,0,0,0,0,0,0,841,182,364,148,56,31,50,9
,Winterswijk,GR2014_Winterswijk,Gemeenteraad Winterswijk 2014,0294,Winterswijk,2014-03-19,Stembureau SKB,0294::SB14,7101 BN,0,190,1,1,0,0,0,180,12,0,0,0,0,0,0,192,49,34,36,34,21,15,1
