contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Gemeentebelangen Binnenmaas,CDA,VVD,Partij van de Arbeid (P.v.d.A.),Staatkundig Gereformeerde Partij (SGP),GROENLINKS,Democraten 66 (D66),ChristenUnie,Piratenpartij
,Binnenmaas,GR2014_Binnenmaas,Gemeenteraad Binnenmaas 2014,0585,Binnenmaas,2014-03-19,"Stembureau Cult. Centr. 'De Drie Lelies', Puttershoek",0585::SB1,3297 AM,1638,945,6,3,0,0,0,850,104,0,0,0,0,0,0,954,255,159,107,129,133,46,65,27,24
,Binnenmaas,GR2014_Binnenmaas,Gemeenteraad Binnenmaas 2014,0585,Binnenmaas,2014-03-19,"Stembureau Obs 'Het Driespan', Puttershoek",0585::SB2,3297 BS,1482,845,3,2,0,1,0,758,93,0,0,0,1,0,0,851,270,154,79,99,104,22,70,24,23
,Binnenmaas,GR2014_Binnenmaas,Gemeenteraad Binnenmaas 2014,0585,Binnenmaas,2014-03-19,"Stembureau Zorgwaard loc. 't Huys te Hoecke', Puttershoek",0585::SB3,3297 SE,1298,729,3,1,0,0,0,657,76,0,0,0,0,0,0,733,212,185,68,92,53,24,47,34,14
,Binnenmaas,GR2014_Binnenmaas,Gemeenteraad Binnenmaas 2014,0585,Binnenmaas,2014-03-19,"Stembureau Dienstencentrum 't Weegje, 's-Gravendeel",0585::SB4,3295 CT,1231,803,2,1,0,0,0,730,76,0,0,0,0,0,0,806,301,193,51,80,94,18,24,29,13
,Binnenmaas,GR2014_Binnenmaas,Gemeenteraad Binnenmaas 2014,0585,Binnenmaas,2014-03-19,"Stembureau Partycentr. Concordia, 's-Gravendeel",0585::SB5,3295 AG,1284,610,0,1,0,0,0,530,81,0,0,0,0,0,0,611,207,127,57,65,81,13,23,23,14
,Binnenmaas,GR2014_Binnenmaas,Gemeenteraad Binnenmaas 2014,0585,Binnenmaas,2014-03-19,"Stembureau Buurthuis 'De Biesband', 's-Gravendeel",0585::SB6,3295 TH,1322,598,1,3,0,0,0,523,79,0,0,0,0,0,0,602,208,134,44,58,69,16,26,38,5
,Binnenmaas,GR2014_Binnenmaas,Gemeenteraad Binnenmaas 2014,0585,Binnenmaas,2014-03-19,"Stembureau Sporthal De Schenkel, 's-Gravendeel",0585::SB7,3295 KK,1272,548,0,1,0,0,0,494,55,0,0,0,0,0,0,549,155,134,51,52,61,16,29,43,7
,Binnenmaas,GR2014_Binnenmaas,Gemeenteraad Binnenmaas 2014,0585,Binnenmaas,2014-03-19,"Stembureau Buurthuis 'Ronduit', 's-Gravendeel",0585::SB8,3295 EK,476,249,2,2,0,0,0,218,35,0,0,0,0,0,0,253,78,35,32,13,12,10,38,20,11
,Binnenmaas,GR2014_Binnenmaas,Gemeenteraad Binnenmaas 2014,0585,Binnenmaas,2014-03-19,"Stembureau Bibliotheek Hoeksche Waard, 's-Gravendeel",0585::SB9,3295 BV,1358,1030,2,2,0,0,0,911,123,0,0,0,0,0,0,1034,312,293,101,97,91,30,42,49,15
,Binnenmaas,GR2014_Binnenmaas,Gemeenteraad Binnenmaas 2014,0585,Binnenmaas,2014-03-19,"Stembureau Burg. van Bommelschool, Heinenoord",0585::SB10,3274 LV,720,418,0,2,0,0,0,375,45,0,0,0,0,0,0,420,112,80,59,22,68,27,23,14,13
