contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,SGP-ChristenUnie,PRO Sliedrecht,Partij van de Arbeid (P.v.d.A.),CDA,VVD
,Sliedrecht,GR2014_Sliedrecht,Gemeenteraad Sliedrecht 2014,0610,Sliedrecht,2014-03-19,"Stembureau Raadhuis, Dr. Langeveldplein 30",0610::SB1,3361 HE,1152,636,0,1,0,0,0,542,95,0,0,0,0,0,0,637,212,175,78,86,85
,Sliedrecht,GR2014_Sliedrecht,Gemeenteraad Sliedrecht 2014,0610,Sliedrecht,2014-03-19,"Stembureau De Reling, Industrieweg 13",0610::SB2,3361 HJ,1089,550,0,0,0,0,0,481,69,0,0,0,0,0,0,550,214,125,48,87,76
,Sliedrecht,GR2014_Sliedrecht,Gemeenteraad Sliedrecht 2014,0610,Sliedrecht,2014-03-19,"Stembureau Hoofdgebouw Merwebolder, Touwbaan 1",0610::SB3,3363 WB,2446,838,6,2,0,0,0,713,133,0,0,0,0,0,0,846,266,226,90,145,111
,Sliedrecht,GR2014_Sliedrecht,Gemeenteraad Sliedrecht 2014,0610,Sliedrecht,2014-03-19,"Stembureau school De Sprong, Elzenhof 124",0610::SB4,3363 HE,797,631,2,4,0,0,0,569,68,0,0,0,0,0,0,637,233,178,78,80,62
,Sliedrecht,GR2014_Sliedrecht,Gemeenteraad Sliedrecht 2014,0610,Sliedrecht,2014-03-19,"Stembureau Roald Dahlschool, Prickwaert 204",0610::SB5,3363 BJ,977,651,2,1,0,0,0,558,96,0,0,0,0,0,0,654,192,198,73,96,92
,Sliedrecht,GR2014_Sliedrecht,Gemeenteraad Sliedrecht 2014,0610,Sliedrecht,2014-03-19,"Stembureau Huize Overslydrecht, Scheldelaan 3",0610::SB6,3363 CK,1344,985,3,3,0,0,0,874,117,0,0,0,0,0,0,991,402,248,115,151,69
,Sliedrecht,GR2014_Sliedrecht,Gemeenteraad Sliedrecht 2014,0610,Sliedrecht,2014-03-19,"Stembureau BSO Pluk, Maaslaan 10",0610::SB7,3363 CJ,982,371,1,0,0,0,0,315,57,0,0,0,0,0,0,372,175,80,40,56,20
,Sliedrecht,GR2014_Sliedrecht,Gemeenteraad Sliedrecht 2014,0610,Sliedrecht,2014-03-19,"Stembureau Henri Dunantschool, Kerkstraat 15",0610::SB8,3361 BP,1360,871,2,6,0,0,0,781,98,0,0,0,0,0,0,879,294,233,113,135,96
,Sliedrecht,GR2014_Sliedrecht,Gemeenteraad Sliedrecht 2014,0610,Sliedrecht,2014-03-19,"Stembureau Willem-Alexanderschool, Valkweg 2",0610::SB9,3362 GH,1066,490,1,2,0,0,0,442,53,0,2,0,2,0,0,495,120,132,55,116,67
,Sliedrecht,GR2014_Sliedrecht,Gemeenteraad Sliedrecht 2014,0610,Sliedrecht,2014-03-19,"Stembureau Trimclubgebouw ABC, Thorbeckelaan 102",0610::SB10,3362 BV,954,660,0,2,0,0,0,573,89,0,0,0,0,0,0,662,203,207,125,76,49
,Sliedrecht,GR2014_Sliedrecht,Gemeenteraad Sliedrecht 2014,0610,Sliedrecht,2014-03-19,"Stembureau De Stoeprand, ingang P.C. Hooftlaan",0610::SB11,3361 CH,881,838,1,1,0,0,0,735,105,0,0,0,0,0,0,840,273,246,109,135,75
,Sliedrecht,GR2014_Sliedrecht,Gemeenteraad Sliedrecht 2014,0610,Sliedrecht,2014-03-19,"Stembureau Zorgcentrum Parkzicht, Lijsterweg 27",0610::SB12,3362 BB,1824,964,0,5,0,0,0,856,113,0,0,0,0,0,0,969,356,243,135,160,70
,Sliedrecht,GR2014_Sliedrecht,Gemeenteraad Sliedrecht 2014,0610,Sliedrecht,2014-03-19,"Stembureau Tuinfluiterflat, ingang Kievitlaan",0610::SB13,,1419,849,4,1,0,0,0,737,117,0,0,0,0,0,0,854,305,216,116,114,98
,Sliedrecht,GR2014_Sliedrecht,Gemeenteraad Sliedrecht 2014,0610,Sliedrecht,2014-03-19,"Stembureau Willem-Alexanderschool, vd Waalsln 2",0610::SB14,3362 SP,1488,748,1,0,0,0,0,648,101,0,0,0,0,0,0,749,260,184,83,131,90
,Sliedrecht,GR2014_Sliedrecht,Gemeenteraad Sliedrecht 2014,0610,Sliedrecht,2014-03-19,"Stembureau School De Wilgen, Valkweg 4",0610::SB15,3362 GH,1281,947,3,1,0,0,0,835,116,0,0,0,0,0,0,951,190,336,160,106,155
