contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Leefbaar Capelle,Partij van de Arbeid (P.v.d.A.),VVD,Democraten 66 (D66),CDA,Staatkundig Gereformeerde Partij (SGP),ChristenUnie,SP (Socialistische Partij),CAPELLE.Nu!
,Capelle aan den IJssel,GR2014_CapelleaandenIJssel,Gemeenteraad Capelle aan den IJssel 2014,0502,Capelle aan den IJssel,2014-03-19,Stembureau Gemeentehuis,0502::SB1,2903 AR,1146,1140,4,6,0,0,0,1019,131,0,0,0,0,0,0,1150,300,130,112,147,82,173,77,99,20
,Capelle aan den IJssel,GR2014_CapelleaandenIJssel,Gemeenteraad Capelle aan den IJssel 2014,0502,Capelle aan den IJssel,2014-03-19,Stembureau Gemeentehuis,0502::SB2,2903 AR,1328,592,1,3,0,0,0,523,73,0,0,0,0,0,0,596,168,69,64,65,43,77,40,55,11
,Capelle aan den IJssel,GR2014_CapelleaandenIJssel,Gemeenteraad Capelle aan den IJssel 2014,0502,Capelle aan den IJssel,2014-03-19,Stembureau Vergaderzaal,0502::SB3,2902 TA,1860,733,3,6,0,0,0,662,80,0,0,0,0,0,0,742,259,72,108,71,57,50,46,55,15
,Capelle aan den IJssel,GR2014_CapelleaandenIJssel,Gemeenteraad Capelle aan den IJssel 2014,0502,Capelle aan den IJssel,2014-03-19,Stembureau Zorgcentrum De Rozenburcht,0502::SB4,2902 BW,1832,1209,5,3,0,0,0,1092,125,0,0,0,0,0,0,1217,373,113,154,141,79,145,87,101,16
,Capelle aan den IJssel,GR2014_CapelleaandenIJssel,Gemeenteraad Capelle aan den IJssel 2014,0502,Capelle aan den IJssel,2014-03-19,Stembureau Nieuwe Westerkerk,0502::SB5,2902 CT,1475,597,3,6,0,0,0,552,54,0,0,0,0,0,0,606,200,60,72,64,34,67,47,46,7
,Capelle aan den IJssel,GR2014_CapelleaandenIJssel,Gemeenteraad Capelle aan den IJssel 2014,0502,Capelle aan den IJssel,2014-03-19,"Stembureau PCB ""De Horizon""",0502::SB6,2903 TJ,1513,683,1,16,0,0,0,618,82,0,0,0,0,0,0,700,218,84,50,69,49,78,48,59,28
,Capelle aan den IJssel,GR2014_CapelleaandenIJssel,Gemeenteraad Capelle aan den IJssel 2014,0502,Capelle aan den IJssel,2014-03-19,"Stembureau Verzorgingshuis ""De Vijverhof""",0502::SB7,2903 RJ,2224,1147,1,9,0,0,0,1027,130,0,0,0,0,0,0,1157,319,141,98,98,129,159,89,96,18
,Capelle aan den IJssel,GR2014_CapelleaandenIJssel,Gemeenteraad Capelle aan den IJssel 2014,0502,Capelle aan den IJssel,2014-03-19,"Stembureau Woonzorgcentrum ""d'Amandelhof""",0502::SB8,2903 RL,1624,638,4,4,0,0,0,590,57,0,1,0,1,0,0,647,157,120,29,39,33,139,36,66,19
,Capelle aan den IJssel,GR2014_CapelleaandenIJssel,Gemeenteraad Capelle aan den IJssel 2014,0502,Capelle aan den IJssel,2014-03-19,"Stembureau Verzorgingshuis""De Roo van Capelle""",0502::SB9,2904 XM,1201,670,3,2,0,0,0,613,62,0,0,0,0,0,0,675,258,60,56,89,44,35,35,79,14
,Capelle aan den IJssel,GR2014_CapelleaandenIJssel,Gemeenteraad Capelle aan den IJssel 2014,0502,Capelle aan den IJssel,2014-03-19,"Stembureau Senioren Residentie ""IJsselzicht""",0502::SB10,2904 AE,1641,1164,0,2,0,0,0,1040,126,0,0,0,0,0,0,1166,343,108,260,186,79,48,47,81,12
,Capelle aan den IJssel,GR2014_CapelleaandenIJssel,Gemeenteraad Capelle aan den IJssel 2014,0502,Capelle aan den IJssel,2014-03-19,"Stembureau Wijkcentrum ""De  Trefterp""",0502::SB11,2904 EN,1596,615,0,3,0,0,0,566,52,0,0,0,0,0,0,618,249,86,43,80,20,19,34,70,14
,Capelle aan den IJssel,GR2014_CapelleaandenIJssel,Gemeenteraad Capelle aan den IJssel 2014,0502,Capelle aan den IJssel,2014-03-19,"Stembureau PCB ""De Horizon""",0502::SB12,2904 SC,1668,981,2,0,0,0,0,889,94,0,0,0,0,0,0,983,412,93,102,151,62,25,51,75,10
,Capelle aan den IJssel,GR2014_CapelleaandenIJssel,Gemeenteraad Capelle aan den IJssel 2014,0502,Capelle aan den IJssel,2014-03-19,"Stembureau Kerkelijk Centrum ""De Gaarde""",0502::SB13,2905 NP,1601,907,1,0,0,0,0,826,82,0,0,0,0,0,0,908,354,76,79,148,49,23,52,92,34
,Capelle aan den IJssel,GR2014_CapelleaandenIJssel,Gemeenteraad Capelle aan den IJssel 2014,0502,Capelle aan den IJssel,2014-03-19,"Stembureau Buurtcentrum ""De Trefhoek""",0502::SB14,2905 TW,1596,435,5,2,0,0,0,400,42,0,0,0,0,0,0,442,153,61,32,44,10,10,23,90,12
,Capelle aan den IJssel,GR2014_CapelleaandenIJssel,Gemeenteraad Capelle aan den IJssel 2014,0502,Capelle aan den IJssel,2014-03-19,Stembureau De Serre,0502::SB15,2905 XT,1963,670,4,4,0,0,0,624,54,0,0,0,0,0,0,678,289,121,19,32,19,21,27,110,32
,Capelle aan den IJssel,GR2014_CapelleaandenIJssel,Gemeenteraad Capelle aan den IJssel 2014,0502,Capelle aan den IJssel,2014-03-19,"Stembureau PCB ""Sjalomschool""",0502::SB16,2907 NB,2013,837,1,6,0,0,0,763,81,0,0,0,0,0,0,844,328,93,69,94,30,18,65,119,21
