contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Ouderen Partij Zandvoort,CDA,Partij van de Arbeid (P.v.d.A.),Gemeente Belangen Zandvoort (G.B.Z.),Democraten 66 (D66),Sociaal Zandvoort,8
,Zandvoort,GR2014_Zandvoort,Gemeenteraad Zandvoort 2014,0473,Zandvoort,2014-03-19,Stembureau Zandvoorts Museum,0473::SB1,2042 KA,1387,1007,8,6,0,0,0,894,127,0,0,0,0,0,0,1021,194,265,125,72,103,190,43,15
,Zandvoort,GR2014_Zandvoort,Gemeenteraad Zandvoort 2014,0473,Zandvoort,2014-03-19,Stembureau Strandhotel Centerparcs,0473::SB2,2041 JB,1315,510,2,4,0,0,0,475,41,0,0,0,0,0,0,516,117,123,56,31,73,81,20,9
,Zandvoort,GR2014_Zandvoort,Gemeenteraad Zandvoort 2014,0473,Zandvoort,2014-03-19,Stembureau Oranje Nassauschool,0473::SB3,2042 CH,1492,851,3,2,0,0,0,764,92,0,0,0,0,0,0,856,173,199,126,64,90,169,25,5
,Zandvoort,GR2014_Zandvoort,Gemeenteraad Zandvoort 2014,0473,Zandvoort,2014-03-19,"Stembureau Brede-School ""De Blauwe Tram""",0473::SB4,2042 VD,1463,565,4,0,0,0,0,493,76,0,0,0,0,0,0,569,142,118,77,38,54,95,23,18
,Zandvoort,GR2014_Zandvoort,Gemeenteraad Zandvoort 2014,0473,Zandvoort,2014-03-19,Stembureau Rode Kruisgebouw,0473::SB5,2041 NN,1668,873,3,7,0,0,0,796,87,0,0,0,0,0,0,883,68,223,157,75,153,88,105,4
,Zandvoort,GR2014_Zandvoort,Gemeenteraad Zandvoort 2014,0473,Zandvoort,2014-03-19,"Stembureau Brede-school ""De Blauwe Tram""",0473::SB6,2042 VD,1108,458,1,1,0,0,0,412,48,0,0,0,0,0,0,460,104,111,74,33,29,80,22,5
,Zandvoort,GR2014_Zandvoort,Gemeenteraad Zandvoort 2014,0473,Zandvoort,2014-03-19,Stembureau Stichting Pluspunt Zandvoort (A),0473::SB7,2041 VW,1140,508,0,0,0,0,0,454,54,0,0,0,0,0,0,508,71,170,81,37,46,41,53,9
,Zandvoort,GR2014_Zandvoort,Gemeenteraad Zandvoort 2014,0473,Zandvoort,2014-03-19,Stembureau Woonzorgcentrum Huis in de Duinen,0473::SB8,2042 XR,1002,460,0,2,0,0,0,408,54,0,0,0,0,0,0,462,72,152,81,42,41,51,18,3
,Zandvoort,GR2014_Zandvoort,Gemeenteraad Zandvoort 2014,0473,Zandvoort,2014-03-19,Stembureau Nieuw-Unicum,0473::SB9,2042 XK,184,113,0,0,0,0,0,109,4,0,0,0,0,0,0,113,10,26,22,18,3,20,14,0
,Zandvoort,GR2014_Zandvoort,Gemeenteraad Zandvoort 2014,0473,Zandvoort,2014-03-19,Stembureau Woonzorgcentrum  A.G.Bodaan,0473::SB10,2116 TR,793,507,3,1,0,0,0,461,50,0,0,0,0,0,0,511,174,93,64,28,19,124,5,0
,Zandvoort,GR2014_Zandvoort,Gemeenteraad Zandvoort 2014,0473,Zandvoort,2014-03-19,Stembureau Stichting Pluspunt Zandvoort (B),0473::SB11,2041 VP,1140,544,3,3,0,0,0,513,37,0,0,0,0,0,0,550,54,188,72,38,61,60,59,12
,Zandvoort,GR2014_Zandvoort,Gemeenteraad Zandvoort 2014,0473,Zandvoort,2014-03-19,Stembureau Station NS,0473::SB12,2041 AB,1161,737,11,6,1,0,0,668,87,0,0,0,1,0,0,755,146,202,85,56,83,116,27,22
