contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Partij van de Arbeid (P.v.d.A.),VVD,GROENLINKS,ChristenUnie
,De Marne,GR2014_DeMarne,Gemeenteraad De Marne 2014,1663,De Marne,2014-03-19,Stembureau ULRUM,1663::SB1,9971 AJ,1129,646,8,1,0,0,0,577,78,0,0,0,0,0,0,655,300,80,80,41,145
,De Marne,GR2014_DeMarne,Gemeenteraad De Marne 2014,1663,De Marne,2014-03-19,Stembureau VIERHUIZEN,1663::SB2,9975 VS,298,159,5,0,0,0,0,138,26,0,0,0,0,0,0,164,40,22,48,39,10
,De Marne,GR2014_DeMarne,Gemeenteraad De Marne 2014,1663,De Marne,2014-03-19,Stembureau ZOUTKAMP,1663::SB3,9974 PG,951,379,40,9,0,0,0,370,58,0,0,0,0,0,0,428,140,79,69,56,35
,De Marne,GR2014_DeMarne,Gemeenteraad De Marne 2014,1663,De Marne,2014-03-19,Stembureau HOUWERZIJL,1663::SB4,9973 PD,195,133,1,2,0,0,0,122,14,0,0,0,0,0,0,136,37,26,12,39,19
,De Marne,GR2014_DeMarne,Gemeenteraad De Marne 2014,1663,De Marne,2014-03-19,Stembureau WEHE-DEN HOORN,1663::SB5,9964 AA,655,341,5,7,0,0,0,327,26,0,0,0,0,0,0,353,66,96,60,99,20
,De Marne,GR2014_DeMarne,Gemeenteraad De Marne 2014,1663,De Marne,2014-03-19,Stembureau LEENS,1663::SB6,9965 TD,1415,816,16,1,0,0,0,744,89,0,0,0,0,0,0,833,259,91,93,83,290
,De Marne,GR2014_DeMarne,Gemeenteraad De Marne 2014,1663,De Marne,2014-03-19,Stembureau ZUURDIJK,1663::SB7,9966 VB,124,98,1,1,0,0,0,91,9,0,0,0,0,0,0,100,7,34,25,21,11
,De Marne,GR2014_DeMarne,Gemeenteraad De Marne 2014,1663,De Marne,2014-03-19,Stembureau WARFHUIZEN,1663::SB8,9963 PH,208,122,1,1,0,0,0,110,14,0,0,0,0,0,0,124,23,24,9,63,3
,De Marne,GR2014_DeMarne,Gemeenteraad De Marne 2014,1663,De Marne,2014-03-19,Stembureau SCHOUWERZIJL,1663::SB9,9962 TA,105,92,5,1,0,0,0,95,3,0,0,0,0,0,0,98,10,12,6,55,9
,De Marne,GR2014_DeMarne,Gemeenteraad De Marne 2014,1663,De Marne,2014-03-19,Stembureau MENSINGEWEER,1663::SB10,9961 PB,163,101,4,0,0,0,0,100,5,0,0,0,0,0,0,105,22,23,18,31,7
,De Marne,GR2014_DeMarne,Gemeenteraad De Marne 2014,1663,De Marne,2014-03-19,Stembureau KLOOSTERBUREN,1663::SB11,9977 RN,741,391,6,2,0,0,0,351,48,0,0,0,0,0,0,399,177,56,57,83,18
,De Marne,GR2014_DeMarne,Gemeenteraad De Marne 2014,1663,De Marne,2014-03-19,Stembureau KRUISWEG,1663::SB12,9977 PN,456,231,12,6,0,0,0,233,16,0,0,0,0,0,0,249,75,44,40,59,13
,De Marne,GR2014_DeMarne,Gemeenteraad De Marne 2014,1663,De Marne,2014-03-19,Stembureau EENRUM,1663::SB13,9967 SE,1210,716,14,9,0,0,0,684,56,0,1,0,1,0,0,740,42,326,179,153,16
,De Marne,GR2014_DeMarne,Gemeenteraad De Marne 2014,1663,De Marne,2014-03-19,Stembureau PIETERBUREN,1663::SB14,9968 AL,368,230,1,1,0,0,0,212,20,0,0,0,0,0,0,232,33,57,53,63,24
,De Marne,GR2014_DeMarne,Gemeenteraad De Marne 2014,1663,De Marne,2014-03-19,Stembureau WESTERNIELAND,1663::SB15,9969 PC,210,125,7,1,0,0,0,127,6,0,0,0,0,0,0,133,16,28,15,45,21
