contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,PVV (Partij voor de Vrijheid),Partij van de Arbeid (P.v.d.A.),VVD,Democraten 66 (D66),GROENLINKS,Leefbaar Almere,SP (Socialistische Partij),CDA,ChristenUnie,Almere Liberaal,Almere Partij/OPA,Klimaat en Omgevings Partij Almere (KOP),13,De Partij van de Dialoog,Groen Liberaal
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau Stadhuis,0034::SB1,,1260,1296,9,15,0,0,0,1185,136,0,0,0,1,0,0,1321,233,226,134,217,62,136,124,54,42,24,18,13,0,3,10
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau Zorgcentrum De Overloop,0034::SB2,,1150,526,5,1,0,0,0,485,47,0,0,0,0,0,0,532,147,60,40,44,10,98,60,19,12,7,13,4,5,2,5
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau School De Polderhof,0034::SB3,,1317,689,0,3,0,0,0,621,71,0,0,0,0,0,0,692,116,78,48,79,39,156,74,39,26,11,14,6,1,0,2
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau School De Loofhut,0034::SB4,,1122,672,0,1,0,0,0,604,69,0,0,0,0,0,0,673,124,59,94,109,58,80,65,25,16,9,18,9,1,0,5
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau School De Dubbeldekker,0034::SB5,,1107,628,3,1,0,0,0,578,54,0,0,0,0,0,0,632,115,74,44,85,48,120,64,13,10,19,15,14,0,2,5
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau Activiteitencentrum Wierdendok I,0034::SB6,,1365,484,1,1,0,0,0,425,61,0,0,0,0,0,0,486,102,60,49,57,37,77,40,20,5,8,18,5,0,0,6
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau School De Klaverweide,0034::SB7,,1639,794,5,4,0,0,0,726,77,0,0,0,0,0,0,803,183,61,105,105,35,126,75,21,17,15,23,16,0,2,10
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau School Het Drieluik I,0034::SB8,,1205,600,4,1,0,0,0,543,63,0,1,0,1,0,0,606,117,65,97,91,34,54,54,36,20,3,15,8,0,2,4
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau Buurtcentrum Amerika,0034::SB9,,1398,823,0,3,0,0,0,716,110,0,0,0,0,0,0,826,140,126,140,163,41,59,54,33,23,17,7,6,0,1,13
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau Gebiedskantoor Haven,0034::SB10,,1405,481,3,2,0,0,0,451,34,0,0,1,0,0,0,485,134,46,35,56,16,88,53,22,7,6,9,5,0,0,4
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau School De Ontdekking,0034::SB11,,1376,544,2,2,0,0,0,477,71,0,0,0,0,0,0,548,79,53,139,128,16,36,21,28,21,7,8,4,0,0,4
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau Buurtcentrum Meenten en Grienden,0034::SB12,,1509,830,2,2,0,0,0,764,70,0,0,0,0,0,0,834,155,71,70,104,50,142,107,45,22,11,18,16,3,0,16
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau School De Regenboog,0034::SB13,,1318,731,4,3,0,0,0,689,54,0,5,0,5,0,0,743,140,84,56,97,43,123,95,19,17,14,22,8,0,2,11
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau School De Wierwinde,0034::SB14,,1407,685,1,1,0,0,0,606,81,0,0,0,0,0,0,687,163,80,87,90,28,100,59,11,18,9,18,10,1,1,10
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau School De Flierefluiter,0034::SB15,,1522,1128,6,5,0,0,0,1028,111,0,0,0,0,0,0,1139,208,98,114,172,68,179,96,61,24,16,44,32,1,4,11
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau School Het Samenspel Midden,0034::SB16,,1626,604,1,9,0,0,0,551,63,0,0,0,0,0,0,614,159,112,56,85,19,48,54,24,12,10,13,6,1,3,2
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau School De Achtbaan,0034::SB17,,1614,783,2,3,0,0,0,712,76,0,0,0,0,0,0,788,200,113,63,79,26,96,110,31,13,7,26,8,1,0,10
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau School Het Spectrum II,0034::SB18,,1540,698,3,1,0,0,0,626,76,0,0,0,0,0,0,702,127,71,93,95,41,83,69,27,26,13,9,25,1,3,15
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau School De Driemaster II,0034::SB19,,1562,453,4,8,0,0,0,419,46,0,0,0,0,0,0,465,87,65,37,50,23,48,78,12,31,4,9,2,0,4,3
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau Schoolgebouw voorheen De Limerick,0034::SB20,,1432,569,3,3,0,0,0,513,62,0,0,0,0,0,0,575,145,63,73,94,15,49,43,28,17,17,20,2,0,0,3
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau School Het Samenspel Noord,0034::SB21,,1469,486,1,0,0,0,0,416,71,0,0,0,0,0,0,487,85,110,19,71,16,47,70,8,22,6,13,4,2,1,12
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau School Digitalis I,0034::SB23,,1273,674,2,1,0,0,0,595,82,0,0,0,0,0,0,677,162,105,54,94,27,57,91,24,17,11,15,5,2,6,4
,Almere,GR2014_Almere,Gemeenteraad Almere 2014,0034,Almere,2014-03-19,Stembureau School De Kameleon,0034::SB24,,1686,742,1,3,0,0,0,683,64,0,1,0,1,0,0,747,151,85,70,104,25,95,81,39,33,11,21,12,0,3,12
