contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,VVD,Partij van de Arbeid (P.v.d.A.),Leefbaar Apeldoorn,Democraten 66 (D66),Gemeentebelangen,ChristenUnie,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,Progressief Sociaal Apeldoorn (PSA),Verenigde Senioren Partij,Hart voor Apeldoorn/OPA,14
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau Stadhuis,0200::SB1,,1224,1355,7,4,0,0,0,1240,127,0,1,0,1,0,0,1367,136,167,162,81,335,51,176,110,28,44,24,25,14,2
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau Kadaster,0200::SB2,,1154,690,2,0,0,0,0,637,55,0,0,0,0,0,0,692,64,89,76,55,130,58,59,37,14,36,24,21,24,3
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau De Oude Enk,0200::SB3,,1546,852,5,3,0,1,0,794,65,0,0,1,0,0,0,859,96,85,91,60,149,63,78,63,20,45,35,44,22,1
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau Duivensportcentrum Apeldoorn e/o,0200::SB4,,1687,854,1,1,0,0,0,787,69,0,0,0,0,0,0,856,88,101,86,72,182,38,89,54,23,47,32,24,18,0
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau Voormalig consultatiebureau,0200::SB5,,1305,573,0,2,0,0,0,518,57,0,0,0,0,0,0,575,58,98,64,54,109,35,39,26,7,27,17,29,7,3
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau Lokaal bij Goede Herderkerk,0200::SB6,,1277,1008,1,1,0,0,0,910,100,0,0,0,0,0,0,1010,100,132,120,74,181,55,111,84,30,45,17,34,22,3
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau Speeltuin Kindervreugd,0200::SB7,,1024,375,4,1,0,0,0,331,49,0,0,0,0,0,0,380,31,20,75,30,57,44,28,21,18,27,2,13,7,2
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau School Spitsbergen,0200::SB8,,1371,355,0,0,0,0,0,353,2,0,0,0,0,0,0,355,45,19,68,16,62,43,35,24,4,14,12,8,5,0
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,"Stembureau Zorggroep Apeldoorn, loc. Mandala",0200::SB9,,1013,723,3,0,0,0,0,656,70,0,0,0,0,0,0,726,94,71,90,50,110,43,102,70,23,29,17,14,8,2
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau Wijkcentrum Orca,0200::SB10,,1294,693,2,1,0,0,0,623,73,0,0,0,0,0,0,696,60,41,126,54,90,64,79,43,23,51,15,29,16,2
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau Lokaal bij Sint Victor Parochie,0200::SB11,,1371,949,1,0,0,0,0,868,82,0,0,0,0,0,0,950,110,157,87,35,229,44,102,88,23,26,18,15,10,5
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau School Berg en Bos,0200::SB12,,1326,1094,1,0,0,5,0,972,129,0,1,0,6,0,0,1101,133,426,33,41,266,24,60,30,29,26,1,9,16,0
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau Stichting Walterbosch,0200::SB13,,1436,985,3,5,0,0,0,905,88,0,0,0,0,0,0,993,139,157,80,56,188,46,109,75,35,40,11,26,21,2
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau Kerkgebouw Hersteld Hervormde Gemeente,0200::SB14,,1202,598,1,0,0,0,0,546,53,0,0,0,0,0,0,599,97,87,60,28,126,9,81,36,20,21,7,20,6,0
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau Woon- en Zorgcentrum De Loohof,0200::SB15,,907,595,2,0,0,0,0,557,40,0,0,0,0,0,0,597,91,131,39,27,137,14,67,33,19,11,5,18,3,0
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau Locatie Berkenhove (voorheen Spainkbosd),0200::SB16,,1174,882,4,1,0,1,0,838,48,0,0,1,0,0,0,886,110,89,95,57,179,35,87,82,17,42,16,43,27,3
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau Serviceflat Lindenhove,0200::SB17,,1187,763,2,1,0,0,0,701,65,0,0,0,0,0,0,766,109,132,67,40,140,35,97,45,17,32,7,30,11,1
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau Gereformeerde Kerk,0200::SB18,,1426,987,1,6,0,1,0,876,119,0,0,0,1,0,0,995,121,198,67,36,274,30,116,62,25,25,9,14,8,2
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau Koningin Julianaschool,0200::SB19,,1468,877,0,1,1,0,0,805,72,0,0,1,0,0,0,877,105,100,80,64,165,37,137,64,33,41,21,15,13,2
,Apeldoorn,GR2014_Apeldoorn,Gemeenteraad Apeldoorn 2014,0200,Apeldoorn,2014-03-19,Stembureau CODA museum,0200::SB20,,1185,586,0,0,0,0,0,550,36,0,0,0,0,0,0,586,29,86,68,22,140,32,53,56,17,41,27,5,8,2
