contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Vrije Hapertse Partij (VHP),Bladel Transparant,VVD,PRO5
,Bladel,GR2014_Bladel,Gemeenteraad Bladel 2014,1728,Bladel,2014-03-19,Stembureau Zorgcentrum Kempenland,1728::SB1,,1692,655,6,1,0,0,0,587,75,0,0,0,0,0,0,662,218,12,182,69,174
,Bladel,GR2014_Bladel,Gemeenteraad Bladel 2014,1728,Bladel,2014-03-19,Stembureau Gemeentehuis,1728::SB2,,1696,1153,24,3,0,0,0,1055,129,0,0,0,4,0,0,1184,246,54,388,132,333
,Bladel,GR2014_Bladel,Gemeenteraad Bladel 2014,1728,Bladel,2014-03-19,Stembureau Den Herd,1728::SB3,,1697,837,9,0,0,0,0,743,103,0,0,0,0,0,0,846,190,13,296,64,274
,Bladel,GR2014_Bladel,Gemeenteraad Bladel 2014,1728,Bladel,2014-03-19,Stembureau Sporthal 't Spant er,1728::SB4,,1820,791,4,5,0,0,0,723,77,0,0,0,0,0,0,800,120,17,270,87,297
,Bladel,GR2014_Bladel,Gemeenteraad Bladel 2014,1728,Bladel,2014-03-19,Stembureau Sporthal 't Spant er,1728::SB5,,1314,452,0,1,0,0,0,410,43,0,0,0,0,0,0,453,84,4,162,53,149
,Bladel,GR2014_Bladel,Gemeenteraad Bladel 2014,1728,Bladel,2014-03-19,Stembureau De Poel,1728::SB6,,679,395,0,0,0,0,0,361,34,0,0,0,0,0,0,395,148,8,27,28,184
,Bladel,GR2014_Bladel,Gemeenteraad Bladel 2014,1728,Bladel,2014-03-19,Stembureau Den Tref,1728::SB7,,2135,1453,10,1,0,0,0,1326,138,0,0,0,0,0,0,1464,172,966,72,76,167
,Bladel,GR2014_Bladel,Gemeenteraad Bladel 2014,1728,Bladel,2014-03-19,Stembureau Den Tref,1728::SB8,,2079,749,3,2,0,0,0,667,87,0,0,0,0,0,0,754,60,544,41,25,79
,Bladel,GR2014_Bladel,Gemeenteraad Bladel 2014,1728,Bladel,2014-03-19,Stembureau D'n Anloop,1728::SB10,,1740,883,7,3,0,0,0,796,97,0,0,0,0,0,0,893,594,46,72,70,101
,Bladel,GR2014_Bladel,Gemeenteraad Bladel 2014,1728,Bladel,2014-03-19,Stembureau D'n Aord,1728::SB11,,801,418,1,0,0,0,0,378,41,0,0,0,0,0,0,419,160,16,25,31,186
