contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Progressief Rhenen/GROENLINKS,Staatkundig Gereformeerde Partij (SGP),VVD,CDA,RHENENS BELANG,Partij van de Arbeid (P.v.d.A.),ChristenUnie,8EURI.NL,Democraten 66 (D66),TROTS op Nederland Lijst Rita Verdonk
,Rhenen,GR2014_Rhenen,Gemeenteraad Rhenen 2014,0340,Rhenen,2014-03-19,Stembureau Het Oude Raadhuis,0340::SB1,3911LJ,1659,808,1,1,0,0,0,714,96,0,0,0,0,0,0,810,206,84,114,87,119,45,76,3,61,13
,Rhenen,GR2014_Rhenen,Gemeenteraad Rhenen 2014,0340,Rhenen,2014-03-19,Stembureau Gemeentehuis,0340::SB2,3911MG,1674,1226,2,3,1,0,0,1087,145,0,0,0,1,0,0,1232,313,131,165,71,163,116,134,8,98,27
,Rhenen,GR2014_Rhenen,Gemeenteraad Rhenen 2014,0340,Rhenen,2014-03-19,Stembureau De Vlam,0340::SB3,3911XK,1031,666,1,0,0,0,0,615,52,0,0,0,0,0,0,667,172,75,90,98,73,22,48,3,71,14
,Rhenen,GR2014_Rhenen,Gemeenteraad Rhenen 2014,0340,Rhenen,2014-03-19,Stembureau Restaurant Cunera,0340::SB4,3911AS,1596,1221,0,0,0,0,0,1108,114,0,1,0,1,0,0,1222,419,94,190,131,130,44,86,8,98,21
,Rhenen,GR2014_Rhenen,Gemeenteraad Rhenen 2014,0340,Rhenen,2014-03-19,Stembureau Ontmoetingskerk,0340::SB5,3911AE,1393,929,1,4,0,0,0,828,106,0,0,0,0,0,0,934,197,135,77,116,123,80,88,16,64,33
,Rhenen,GR2014_Rhenen,Gemeenteraad Rhenen 2014,0340,Rhenen,2014-03-19,Stembureau Rhenendael,0340::SB6,3911RM,816,508,0,1,0,0,0,444,65,0,0,0,0,0,0,509,21,108,106,109,48,17,45,1,43,10
,Rhenen,GR2014_Rhenen,Gemeenteraad Rhenen 2014,0340,Rhenen,2014-03-19,Stembureau Dorpshuis Achterberg,0340::SB7,3911CX,1027,1133,3,0,0,0,0,950,187,1,0,0,1,0,0,1137,45,651,57,115,93,19,112,2,35,4
,Rhenen,GR2014_Rhenen,Gemeenteraad Rhenen 2014,0340,Rhenen,2014-03-19,Stembureau Het Bestegoed I,0340::SB8,3921CM,1725,889,3,2,0,0,0,774,120,0,0,0,0,0,0,894,108,193,161,80,104,59,105,10,39,30
,Rhenen,GR2014_Rhenen,Gemeenteraad Rhenen 2014,0340,Rhenen,2014-03-19,Stembureau Het Bestegoed II,0340::SB9,3921CM,1624,1057,2,2,0,0,0,930,131,0,0,0,0,0,0,1061,119,286,164,82,106,62,135,9,64,30
,Rhenen,GR2014_Rhenen,Gemeenteraad Rhenen 2014,0340,Rhenen,2014-03-19,Stembureau De Tollekamp,0340::SB10,3911ND,1384,654,0,2,0,0,0,576,80,0,0,0,0,0,0,656,144,84,52,85,99,67,57,8,52,6
,Rhenen,GR2014_Rhenen,Gemeenteraad Rhenen 2014,0340,Rhenen,2014-03-19,Stembureau Bethelkerk Achterberg,0340::SB11,3911CS,753,240,1,0,0,0,0,192,49,0,0,0,0,0,0,241,3,118,9,39,25,2,34,1,7,2
