contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Gemeentebelangen Neerijnen,CDA,VVD,Staatkundig Gereformeerde Partij (SGP),Partij van de Arbeid (P.v.d.A.),Lijst Beukers,Voor Neerijnen,Artikel50
,Neerijnen,GR2014_Neerijnen,Gemeenteraad Neerijnen 2014,0304,Neerijnen,2014-03-19,Stembureau Gemeentehuis Neerijnen,0304::SB1,4182 CA,665,400,3,0,0,0,0,324,79,0,0,0,0,0,0,403,21,28,57,176,17,25,76,0
,Neerijnen,GR2014_Neerijnen,Gemeenteraad Neerijnen 2014,0304,Neerijnen,2014-03-19,Stembureau Dorpshuis de Koeldert Waardenburg,0304::SB2,4181 CK,1349,855,5,1,0,0,0,729,132,0,0,0,0,0,0,861,149,47,64,405,63,42,60,25
,Neerijnen,GR2014_Neerijnen,Gemeenteraad Neerijnen 2014,0304,Neerijnen,2014-03-19,Stembureau Dorpshuis Tuil,0304::SB3,4176 BH,615,359,3,4,0,0,0,312,54,0,0,0,0,0,0,366,73,23,53,59,33,21,87,10
,Neerijnen,GR2014_Neerijnen,Gemeenteraad Neerijnen 2014,0304,Neerijnen,2014-03-19,Stembureau Zorgcentrum de Wittenberg Haaften,0304::SB4,4175 EE,1072,632,4,3,0,0,0,551,88,0,0,0,0,0,0,639,116,74,63,130,59,23,155,12
,Neerijnen,GR2014_Neerijnen,Gemeenteraad Neerijnen 2014,0304,Neerijnen,2014-03-19,Stembureau Kulturhus Haaften,0304::SB5,4175 HA,918,507,2,6,0,0,0,469,46,0,0,0,0,0,0,515,96,55,62,84,65,18,104,23
,Neerijnen,GR2014_Neerijnen,Gemeenteraad Neerijnen 2014,0304,Neerijnen,2014-03-19,Stembureau Dorpshuis Hellouw,0304::SB6,4174 GW,764,457,3,0,0,0,0,395,65,0,0,0,0,0,0,460,173,45,47,86,28,17,55,6
,Neerijnen,GR2014_Neerijnen,Gemeenteraad Neerijnen 2014,0304,Neerijnen,2014-03-19,Stembureau Gemeenschapshuis Keijsershof Opijnen,0304::SB7,4184 EE,875,505,3,6,0,0,0,448,66,0,0,0,0,0,0,514,76,61,76,69,64,28,104,27
,Neerijnen,GR2014_Neerijnen,Gemeenteraad Neerijnen 2014,0304,Neerijnen,2014-03-19,Stembureau Dorpshuis Est,0304::SB8,4185 NA,436,308,0,0,0,0,0,272,36,0,0,0,0,0,0,308,26,114,39,56,17,1,43,12
,Neerijnen,GR2014_Neerijnen,Gemeenteraad Neerijnen 2014,0304,Neerijnen,2014-03-19,Stembureau Dorpshuis Toevershof Varik,0304::SB9,4064 CK,1117,599,21,9,0,0,0,556,73,0,0,0,0,0,0,629,39,61,137,22,107,23,203,7
,Neerijnen,GR2014_Neerijnen,Gemeenteraad Neerijnen 2014,0304,Neerijnen,2014-03-19,Stembureau MFC Huis op Hemert Ophemert,0304::SB10,4061 AR,1296,720,8,11,0,0,0,666,73,0,0,0,0,0,0,739,134,95,160,44,87,12,170,18
