contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,SGP-ChristenUnie,Partij van de Arbeid (P.v.d.A.),Lokale Partij Borsele,VVD,Democraten 66 (D66),OPA Borsele
,Borsele,GR2014_Borsele,Gemeenteraad Borsele 2014,0654,Borsele,2014-03-19,Stembureau Heinkenszand 1,0654::SB1,4451 KB,1101,689,1,4,0,0,0,625,69,0,0,0,0,0,0,694,169,20,135,119,75,89,82
,Borsele,GR2014_Borsele,Gemeenteraad Borsele 2014,0654,Borsele,2014-03-19,Stembureau Heinkenszand 2,0654::SB2,4451 KB,1092,586,3,0,0,0,0,534,55,0,0,0,0,0,0,589,154,20,107,109,65,74,57
,Borsele,GR2014_Borsele,Gemeenteraad Borsele 2014,0654,Borsele,2014-03-19,Stembureau Heinkenszand 3,0654::SB3,4451 LA,1043,503,1,1,0,0,0,455,50,0,0,0,0,0,0,505,163,23,68,92,60,56,41
,Borsele,GR2014_Borsele,Gemeenteraad Borsele 2014,0654,Borsele,2014-03-19,Stembureau Lewedorp 5,0654::SB5,4456 AL,682,384,3,3,0,0,0,339,51,0,0,0,0,0,0,390,139,30,60,61,35,23,36
,Borsele,GR2014_Borsele,Gemeenteraad Borsele 2014,0654,Borsele,2014-03-19,Stembureau Nieuwdorp,0654::SB6,4455 TL,906,555,2,1,0,0,0,495,63,0,0,0,0,0,0,558,109,209,68,86,29,31,23
,Borsele,GR2014_Borsele,Gemeenteraad Borsele 2014,0654,Borsele,2014-03-19,Stembureau 's-Heerenhoek 7,0654::SB7,4453 BE,802,406,2,2,0,0,0,366,44,0,0,0,0,0,0,410,113,7,107,77,62,25,15
,Borsele,GR2014_Borsele,Gemeenteraad Borsele 2014,0654,Borsele,2014-03-19,Stembureau Borssele,0654::SB8,4454 AS,1009,692,0,3,0,0,0,613,81,0,0,1,0,1,0,694,63,430,33,88,20,30,28
,Borsele,GR2014_Borsele,Gemeenteraad Borsele 2014,0654,Borsele,2014-03-19,Stembureau Driewegen,0654::SB9,4438 AH,452,265,3,1,0,0,0,239,30,0,0,0,0,0,0,269,76,12,32,69,30,31,15
,Borsele,GR2014_Borsele,Gemeenteraad Borsele 2014,0654,Borsele,2014-03-19,Stembureau Ellewoutsdijk,0654::SB10,4437 AE,337,146,0,0,0,0,0,140,6,0,0,0,0,0,0,146,28,5,29,33,16,19,16
,Borsele,GR2014_Borsele,Gemeenteraad Borsele 2014,0654,Borsele,2014-03-19,Stembureau Ovezande,0654::SB11,4441 AE,941,610,2,2,0,0,0,541,73,0,0,0,0,0,0,614,371,9,60,68,20,64,18
