contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),VVD,CDA,Democraten 66 (D66),GROENLINKS,SP (Socialistische Partij),TROTS,Algemeen Ouderen Verbond,Gemeente Belangen Schiedam,PS (Progressief Schiedam),Leefbaar Schiedam,12,S.O.S. - SCHIEDAM,ChristenUnie-SGP
,Schiedam,GR2014_Schiedam,Gemeenteraad Schiedam 2014,0606,Schiedam,2014-03-19,Stembureau Stadskantoor (Lunchkamer),0606::SB1,,1938,1004,6,7,0,0,0,911,106,0,0,0,0,0,0,1017,145,103,55,144,75,98,30,93,49,60,86,19,26,21
,Schiedam,GR2014_Schiedam,Gemeenteraad Schiedam 2014,0606,Schiedam,2014-03-19,Stembureau Parochiecentrum De Wilgenburg,0606::SB2,,2789,747,5,2,0,0,0,670,84,0,0,0,0,0,0,754,115,43,64,97,46,86,21,84,25,53,56,28,16,13
,Schiedam,GR2014_Schiedam,Gemeenteraad Schiedam 2014,0606,Schiedam,2014-03-19,Stembureau Station Schiedam Centrum,0606::SB3,,2012,850,8,12,0,0,0,796,74,0,0,0,0,0,0,870,120,61,38,166,70,103,9,42,29,49,86,27,21,29
,Schiedam,GR2014_Schiedam,Gemeenteraad Schiedam 2014,0606,Schiedam,2014-03-19,Stembureau Stadskantoor (Klant Contact Centrum),0606::SB4,,1905,1116,8,7,0,0,0,1009,122,0,0,0,0,0,0,1131,156,105,54,187,83,133,25,77,50,46,96,38,34,32
,Schiedam,GR2014_Schiedam,Gemeenteraad Schiedam 2014,0606,Schiedam,2014-03-19,Stembureau Wijkgebouw Kluphuis Oost,0606::SB5,,1820,646,4,4,0,0,0,584,70,0,0,0,0,0,0,654,120,25,23,50,39,90,15,59,39,30,63,58,15,20
,Schiedam,GR2014_Schiedam,Gemeenteraad Schiedam 2014,0606,Schiedam,2014-03-19,Stembureau Openbare Basisschool De Peperklip,0606::SB6,,2391,720,16,6,0,0,0,654,87,0,0,1,0,1,0,741,148,43,24,67,43,127,16,31,15,36,68,67,11,24
,Schiedam,GR2014_Schiedam,Gemeenteraad Schiedam 2014,0606,Schiedam,2014-03-19,Stembureau Basisschool De Gorzen,0606::SB8,,2550,1031,5,8,0,0,0,936,108,0,0,0,0,0,0,1044,92,96,49,104,34,137,16,147,70,96,125,21,30,14
,Schiedam,GR2014_Schiedam,Gemeenteraad Schiedam 2014,0606,Schiedam,2014-03-19,Stembureau Bewonersvereniging Schiedam Zuid,0606::SB10,,2200,815,2,6,0,0,0,730,93,0,0,0,0,0,0,823,114,56,29,49,20,118,17,133,44,112,92,9,15,7
,Schiedam,GR2014_Schiedam,Gemeenteraad Schiedam 2014,0606,Schiedam,2014-03-19,Stembureau Zorgcentrum Frankeland,0606::SB11,,1922,921,7,9,0,0,0,852,84,0,0,1,0,0,0,936,99,117,97,142,43,83,18,132,26,40,75,17,12,20
,Schiedam,GR2014_Schiedam,Gemeenteraad Schiedam 2014,0606,Schiedam,2014-03-19,Stembureau Wijkcentrum De Erker,0606::SB12,,2724,1141,4,7,0,0,0,1011,144,0,3,0,3,0,0,1155,135,49,109,99,68,167,36,89,43,59,128,113,24,22
,Schiedam,GR2014_Schiedam,Gemeenteraad Schiedam 2014,0606,Schiedam,2014-03-19,Stembureau Jacobs Gasthuis,0606::SB14,,2062,953,6,6,0,0,0,878,87,0,0,0,0,0,0,965,85,133,88,177,98,86,12,47,36,61,62,6,18,44
,Schiedam,GR2014_Schiedam,Gemeenteraad Schiedam 2014,0606,Schiedam,2014-03-19,Stembureau Zorgcentrum François Haverschmidt,0606::SB15,,2065,1020,4,3,0,0,0,919,108,0,0,0,0,0,0,1027,84,212,94,198,57,82,18,61,39,72,61,2,16,24
,Schiedam,GR2014_Schiedam,Gemeenteraad Schiedam 2014,0606,Schiedam,2014-03-19,Stembureau Openbare Basisschool De Kring,0606::SB16,,1884,739,2,2,0,0,0,658,85,0,0,0,0,0,0,743,118,60,52,89,45,75,15,47,35,45,101,28,20,9
,Schiedam,GR2014_Schiedam,Gemeenteraad Schiedam 2014,0606,Schiedam,2014-03-19,Stembureau Pronova College,0606::SB17,,2473,860,1,10,0,0,0,753,118,0,0,0,0,0,0,871,191,34,62,127,35,105,9,44,24,16,32,166,5,10
,Schiedam,GR2014_Schiedam,Gemeenteraad Schiedam 2014,0606,Schiedam,2014-03-19,Stembureau Zorgcentrum Schiewaegh,0606::SB19,,2285,943,7,14,0,0,0,848,117,0,0,0,0,0,0,965,171,51,87,84,30,127,6,115,29,34,74,76,21,38
,Schiedam,GR2014_Schiedam,Gemeenteraad Schiedam 2014,0606,Schiedam,2014-03-19,Stembureau Wijkcentrum Dreesplein,0606::SB20,,2148,781,5,10,0,0,0,660,136,0,0,0,0,0,0,796,170,29,47,88,39,115,3,47,20,16,34,139,16,18
,Schiedam,GR2014_Schiedam,Gemeenteraad Schiedam 2014,0606,Schiedam,2014-03-19,Stembureau Wijkcentrum Dreesplein,0606::SB21,,2615,988,12,11,0,0,0,861,150,0,0,0,0,0,0,1011,187,51,64,94,43,134,8,76,21,16,50,209,20,15
